"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"
"SEC11"	"SEC11"	398733	399236	"signal peptidase subunit"	""
"RPS26B"	"YER131W"	423952	424311	"Ribosomal Protein of the Small subunit"	""
"ACE2"	"YLR131C"	404510	406822	"Activator of CUP1 Expression"	""
"NPL6"	"YMR091C"	450058	451365	"Nuclear Protein Localization"	""
"CMC2"	"YBL059C-A"	110125	110539	"Cx9C Motif-Containing protein"	""
"PRM1"	"YNL279W"	110917	112902	"Pheromone-Regulated Membrane protein"	""
"RSC1"	"YGR056W"	601661	604447	"Remodel the Structure of Chromatin"	""
"ISW2"	"YOR304W"	884514	887876	"Imitation SWitch subfamily"	""
"RPL2B"	"YIL018W"	316768	317932	"Ribosomal Protein of the Large subunit"	""
"GTB1"	"YDR221W"	907330	909438	"&alpha;-glucosidase II &beta; subunit"	"protein <i>N</i>-glycosylation (yeast) processing in the ER"
"SCD6"	"YPR129W"	792687	793736	"Suppressor of Clathrin Deficiency"	""
"DAL5"	"YJR152W"	719666	721297	"Degradation of Allantoin"	""
"GPP1"	"GPP1"	255115	255867	"DL-glycerol-3-phosphatase"	"glycerol biosynthesis"
"TMN3"	"YER113C"	387932	390052	"TransMembrane Nine"	""
"MDN1"	"YLR106C"	349006	363738	"MiDasiN"	""
"MOT3"	"YMR070W"	409154	410626	"Modifier of Transcription"	""
"BSD2"	"YBR290W"	782591	783556	"Bypass Sod1p Defects"	""
"DSL1"	"YNL258C"	158109	160373	"Dependence on SLy1-20"	""
"ERV1"	"YGR029W"	543553	544205	"Essential for Respiration and Viability"	""
"RFM1"	"YOR279C"	843698	844630	"Repression Factor of Middle sporulation element"	""
"ECM12"	"YHR021W-A"	149225	149680	"ExtraCellular Mutant"	""
"VPS64"	"YDR200C"	854279	856093	"Vacuolar Protein Sorting"	""
"YTH1"	"YPR107C"	741438	742064	"Yeast THirty kDa Homolog"	""
"IBA57"	"YJR122W"	649776	651269	"Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins"	""
"EPT1"	"EPT1"	354815	356081	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase"	"phospholipid biosynthesis (Kennedy pathway)" // "choline biosynthesis" // "phosphatidylcholine resynthesis via glycerophosphocholine"
"PUP3"	"YER094C"	348729	349346	"PUtative Proteasome subunit"	""
"SMC4"	"YLR086W"	302243	306499	"Structural Maintenance of Chromosomes"	""
"CSM3"	"YMR048W"	366981	367934	"Chromosome Segregation in Meiosis"	""
"FMP21"	"YBR269C"	742160	742576	"Found in Mitochondrial Proteome"	""
"NAR1"	"YNL240C"	198502	199977	"Nuclear Architecture Related"	""
"PAU11"	"YGL261C"	6290	6652	"seriPAUperin"	""
"CDC31"	"YOR257W"	811008	811493	"Cell Division Cycle"	""
"RIX1"	"YHR197W"	493896	496187	"RIbosome eXport"	""
"CSN9"	"YDR179C"	818708	819196	"Cop9 SigNalosome subunit"	""
"MDM36"	"YPR083W"	704854	706593	"Mitochondrial Distribution and Morphology"	""
"IME1"	"YJR094C"	604569	605651	"Inducer of MEiosis"	""
"ARG4"	"ARG4"	140011	141402	"argininosuccinate lyase"	"arginine biosynthesis" // "urea cycle"
"VHR2"	"YER064C"	282705	284222	"VHt1 Regulator"	""
"PET309"	"YLR067C"	267813	270710	"PETite colonies"	""
"FAR8"	"YMR029C"	328660	330231	"Factor ARrest"	""
"YBR241C"	"YBR241C"	702589	704055	"YBR241C"	""
"PEX17"	"YNL214W"	245617	246216	"PEroXisome related"	""
"CSE1"	"YGL238W"	49552	52434	"Chromosome SEgregation"	""
"KIN4"	"YOR233W"	775846	778248	"KINase"	""
"SPC97"	"YHR172W"	448335	450806	"Spindle Pole Component"	""
"SAC3"	"YDR159W"	771877	775782	"Suppressor of ACtin"	""
"TFB4"	"YPR056W"	671126	672142	"Transcription Factor B subunit 4"	""
"LIA1"	"YJR070C"	569621	570598	"Ligand of eIF5A"	"hypusine biosynthesis"
"LSC2"	"LSC2"	978036	979319	"beta subunit of succinyl-CoA ligase"	"TCA cycle, aerobic respiration"
"YEN1"	"YER041W"	232461	234740	"YEN1"	""
"STU2"	"YLR045C"	235037	237703	"Suppressor of tub2"	""
"MVP1"	"YMR004W"	274017	275552	"MVP1"	""
"YBP1"	"YBR216C"	655576	657600	"Yap1-Binding Protein"	""
"KAR1"	"YNL188W"	286308	287609	"KARyogamy"	""
"MDM34"	"YGL219C"	82878	84257	"Mitochondrial Distribution and Morphology"	""
"RPB10"	"YOR210W"	738320	738532	"RNA Polymerase B"	""
"VPS54"	"YDR027C"	494649	497318	"Vacuolar Protein Sorting"	""
"YSP1"	"YHR155W"	407103	410789	"Yeast Suicide Protein"	""
"YCF1"	"YDR135C"	723004	727551	"Yeast Cadmium Factor"	""
"NTS2-1"	"NTS2-1"	458433	459675	"NTS2-1"	""
"HTS1"	"YPR033C"	637379	639019	"Histidine-Trna Synthetase"	"tRNA charging"
"ETS2-1"	"ETS2-1"	451575	451785	"External Transcribed Spacer"	""
"UTR1"	"YJR049C"	526884	528476	"NAD(+)/NADH kinase subunit"	"superpathway NAD/NADP - NADH/NADPH interconversion" // "NAD/NADP-NADH/NADPH cytosolic interconversion"
"RDN37-2"	"RDN37-2"	460712	467569	"RDN37-2"	""
"ERG25"	"ERG25"	610564	611493	"C-4 methyl sterol oxidase"	"superpathway of ergosterol biosynthesis" // "zymosterol biosynthesis"
"ITS1-1"	"ITS1-1"	455572	455932	"Internal Transcribed Spacer"	""
"RPN3"	"YER021W"	196948	198519	"Regulatory Particle Non-ATPase"	""
"RDN25-1"	"RDN25-1"	451786	455181	"RDN25-1"	""
"POM34"	"YLR018C"	178707	179606	"POre Membrane"	""
"ITS2-2"	"ITS2-2"	464319	464550	"Internal Transcribed Spacer"	""
"MAK3"	"MAK3"	664960	665490	"N-acetyltransferase"	""
"RDN5-3"	"RDN5-3"	472465	472583	"RDN5-3"	""
"DAT1"	"YML113W"	44045	44791	"DATin"	""
"ITS1-2"	"ITS1-2"	464709	465069	"Internal Transcribed Spacer"	""
"AIM4"	"YBR194W"	610038	610409	"Altered Inheritance rate of Mitochondria"	""
"NTS2-2"	"NTS2-2"	467570	468812	"NTS2-2"	""
"BNI5"	"YNL166C"	322219	323565	"Bud Neck Involved"	""
"15S_RRNA"	"15S_rRNA"	6546	8194	"15S_RRNA"	""
"GCN1"	"YGL195W"	131525	139543	"General Control Nonderepressible"	""
"RDN58-1"	"RDN58-1"	455414	455571	"RDN58-1"	""
"GSP2"	"YOR185C"	681444	682106	"Genetic Suppressor of Prp20-1"	""
"ITS2-1"	"ITS2-1"	455182	455413	"Internal Transcribed Spacer"	""
"RAD57"	"YDR004W"	455201	456583	"RADiation sensitive"	""
"RDN25-2"	"RDN25-2"	460923	464318	"RDN25-2"	""
"WSS1"	"YHR134W"	371749	372558	"Weak Suppressor of Smt3"	""
"ETS2-2"	"ETS2-2"	460712	460922	"External Transcribed Spacer"	""
"PDS1"	"YDR113C"	680496	681617	"Precocious Dissociation of Sisters"	""
"RDN18-1"	"RDN18-1"	455933	457732	"RDN18-1"	""
"YPR013C"	"YPR013C"	584632	585585	"Changed Mutation Rate"	""
"RDN5-5"	"RDN5-5"	485697	485815	"RDN5-5"	""
"MDE1"	"YJR024C"	470230	470964	"Methylthioribulose-1-phosphate DEhydratase"	"methionine salvage pathway"
"RDN5-1"	"RDN5-1"	459676	459796	"RDN5-1"	""
"AMS1"	"AMS1"	210416	213667	"alpha mannosidase"	""
"ETS1-2"	"ETS1-2"	466870	467569	"External Transcribed Spacer"	""
"DSF1"	"YEL070W"	19589	21097	"Deletion Suppressor of mptFive/pufFive mutation"	""
"21S_RRNA"	"21S_rRNA"	58009	62447	"21S_RRNA"	""
"MMP1"	"YLL061W"	17956	19707	"S-MethylMethionine Permease"	""
"RDN58-2"	"RDN58-2"	464551	464708	"RDN58-2"	""
"MET12"	"MET12"	504339	506312	"MTHFR"	"folate interconversions" // "folate transformations"
"ETS1-1"	"ETS1-1"	457733	458432	"External Transcribed Spacer"	""
"PRE8"	"YML092C"	85987	86739	"PRoteinase yscE"	""
"RDN37-1"	"RDN37-1"	451575	458432	"RDN37-1"	""
"SEC66"	"YBR171W"	578364	578984	"SECretory"	""
"NTS1-2"	"NTS1-2"	459797	460711	"NTS1-2"	""
"MFA2"	"YNL145W"	352414	352530	"Mating Factor A"	""
"RDN18-2"	"RDN18-2"	465070	466869	"RDN18-2"	""
"ROK1"	"YGL171W"	182390	184084	"Rescuer Of Kem1"	""
"RDN5-6"	"RDN5-6"	489349	489469	"RDN5-6"	""
"YRR1"	"YOR162C"	639560	641992	"Yeast Reveromycin-A Resistant"	""
"RDN5-2"	"RDN5-2"	468813	468931	"RDN5-2"	""
"GCS1"	"YDL226C"	51115	52173	"Growth Cold Sensitive"	""
"RDN5-4"	"RDN5-4"	482045	482163	"RDN5-4"	""
"ERP5"	"YHR110W"	332282	332920	"Emp24p/Erv25p Related Protein"	""
"tE(UUC)Q"	"tE(UUC)Q"	35373	35444	"tE(UUC)Q"	""
"RLI1"	"YDR091C"	626708	628534	"RNase L Inhibitor"	""
"tP(UGG)L"	"tP(UGG)L"	92548	92650	"tP(UGG)L"	""
"MDL2"	"YPL270W"	30482	32803	"MultiDrug resistance-Like"	""
"tF(GAA)P1"	"tF(GAA)P1"	560198	560289	"tF(GAA)P1"	""
"REE1"	"YJL217W"	23133	23729	"REgulation of Enolase"	""
"tV(AAC)K2"	"tV(AAC)K2"	379680	379753	"tV(AAC)K2"	""
"QCR6"	"QCR6"	224326	224769	"ubiquinol-cytochrome C reductase subunit 6"	"aerobic respiration (cytochrome c)" // "aerobic respiration (linear view)"
"EMT2"	"tM(CAU)O2"	976421	976493	"Elongator MeThionine-accepting tRNA"	""
"TCA17"	"YEL048C"	64709	65167	"TRAPP Complex Associated protein"	""
"SUP7"	"tY(GUA)J1"	354244	354332	"SUP7"	""
"PRP19"	"YLL036C"	66745	68256	"Pre-RNA Processing"	""
"tL(UAA)N"	"tL(UAA)N"	726134	726217	"tL(UAA)N"	""
"DGA1"	"DGA1"	794076	795332	"acyl-CoA:diacylglycerol acyltransferase"	"monoacylglycerol metabolism" // "triacylglycerol biosynthesis"
"tG(GCC)J1"	"tG(GCC)J1"	396726	396796	"tG(GCC)J1"	""
"RPS1B"	"YML063W"	146482	147249	"Ribosomal Protein of the Small subunit"	""
"CDC65"	"tQ(CUG)M"	808246	808317	"Cell Division Cycle"	""
"TBS1"	"YBR150C"	541209	544493	"ThiaBendazole Sensitive"	""
"tD(GUC)I1"	"tD(GUC)I1"	324303	324374	"tD(GUC)I1"	""
"NCS2"	"YNL119W"	401040	402521	"Needs Cla4 to Survive"	""
"tV(AAC)G1"	"tV(AAC)G1"	412294	412367	"tV(AAC)G1"	""
"INO80"	"YGL150C"	221104	225573	"INOsitol requiring"	""
"tK(CUU)G1"	"tK(CUU)G1"	122269	122341	"tK(CUU)G1"	""
"SFL1"	"YOR140W"	586981	589281	"Suppressor gene for FLocculation"	""
"SUP6"	"tY(GUA)F2"	210619	210707	"SUP6"	""
"RTN2"	"YDL204W"	94605	95786	"ReTiculoN-like"	""
"tQ(UUG)E2"	"tQ(UUG)E2"	131082	131153	"tQ(UUG)E2"	""
"RTC3"	"YHR087W"	280820	281155	"Restriction of Telomere Capping"	""
"tV(UAC)D"	"tV(UAC)D"	488797	488870	"tV(UAC)D"	""
"PAA1"	"YDR071C"	588827	589402	"PolyAmine Acetyltransferase"	""
"tK(CUU)D1"	"tK(CUU)D1"	1201750	1201822	"tK(CUU)D1"	""
"GAL4"	"YPL248C"	79711	82356	"GALactose metabolism"	""
"SUP53"	"tL(CAA)C"	90859	90972	"SUPpressor"	""
"RPS14B"	"YJL191W"	73787	74611	"Ribosomal Protein of the Small subunit"	""
"tC(GCA)B"	"tC(GCA)B"	643007	643078	"tC(GCA)B"	""
"ILV1"	"ILV1"	328477	330207	"threonine deaminase"	"superpathway of leucine, valine, and isoleucine biosynthesis" // "isoleucine biosynthesis"
"tT(UGU)Q1"	"tT(UGU)Q1"	63862	63937	"tT(UGU)Q1"	""
"GEA2"	"YEL022W"	111421	115800	"Guanine nucleotide Exchange on ARF"	""
"EMT4"	"tM(CAU)M"	572883	572955	"Elongator MeThionine-accepting tRNA"	""
"BPT1"	"YLL015W"	116432	121111	"Bile Pigment Transporter"	""
"tA(UGC)Q"	"tA(UGC)Q"	69846	69921	"tA(UGC)Q"	""
"LSC1"	"LSC1"	593057	594046	"alpha subunit of succinyl-CoA ligase"	"TCA cycle, aerobic respiration"
"tL(UAG)L1"	"tL(UAG)L1"	592519	592619	"tL(UAG)L1"	""
"VPS71"	"YML041C"	194913	195755	"Vacuolar Protein Sorting"	""
"tC(GCA)P1"	"tC(GCA)P1"	435893	435964	"tC(GCA)P1"	""
"ATG14"	"YBR128C"	493081	494115	"AuTophaGy related"	""
"tR(UCU)K"	"tR(UCU)K"	162487	162558	"tR(UCU)K"	""
"APP1"	"YNL094W"	447611	449374	"Actin Patch Protein"	""
"SUF1"	"tG(UCC)O"	110962	111033	"SUF1"	""
"CWC23"	"YGL128C"	269293	270144	"Complexed With Cef1p"	""
"tT(AGU)J"	"tT(AGU)J"	59100	59172	"tT(AGU)J"	""
"TRS33"	"YOR115C"	538659	539465	"TRapp Subunit"	""
"tI(AAU)N1"	"tI(AAU)N1"	569867	569940	"tI(AAU)N1"	""
"RPL41A"	"YDL184C"	130407	130484	"Ribosomal Protein of the Large subunit"	""
"tD(GUC)J3"	"tD(GUC)J3"	374424	374495	"tD(GUC)J3"	""
"RRP3"	"YHR065C"	227532	229037	"Ribosomal RNA Processing"	""
"tT(UGU)H"	"tT(UGU)H"	466990	467061	"tT(UGU)H"	""
"VMS1"	"YDR049W"	553254	555152	"VCP/Cdc48-associated Mitochondrial Stress-responsive"	""
"tS(AGA)G"	"tS(AGA)G"	561662	561743	"tS(AGA)G"	""
"NEW1"	"YPL226W"	121767	125357	"Nu+"	""
"tH(GUG)G1"	"tH(GUG)G1"	110625	110696	"tH(GUG)G1"	""
"SET2"	"YJL168C"	102227	104428	"SET domain-containing"	""
"SUF9"	"tP(UGG)F"	101376	101478	"SUF9"	""
"DLD3"	"DLD3"	16355	17845	"D-Lactate Dehydrogenase"	"methylglyoxal catabolism"
"tK(CUU)E2"	"tK(CUU)E2"	435752	435824	"tK(CUU)E2"	""
"WIP1"	"YDR374W-A"	1224757	1225026	"W-lIke Protein"	""
"tS(AGA)D3"	"tS(AGA)D3"	1305630	1305712	"tS(AGA)D3"	""
"MDM35"	"YKL053C-A"	339182	339442	"Mitochondrial Distribution and Morphology"	""
"tG(GCC)D2"	"tG(GCC)D2"	992832	992902	"tG(GCC)D2"	""
"MDH2"	"MDH2"	81787	82920	"cytosolic malate dehydrogenase subunit"	"gluconeogenesis" // "glyoxylate cycle" // "aspartate degradation II"
"tE(UUC)C"	"tE(UUC)C"	82462	82533	"tE(UUC)C"	""
"TAF11"	"YML015C"	241989	243029	"TATA binding protein-Associated Factor"	""
"SUP56"	"tL(CAA)A"	181141	181254	"SUPpressor"	""
"VID24"	"YBR105C"	450881	451969	"Vacuolar Import and Degradation"	""
"tR(UCU)Q1"	"tR(UCU)Q1"	67309	67381	"tR(UCU)Q1"	""
"APJ1"	"YNL077W"	481391	482977	"Anti-Prion DnaJ"	""
"tH(GUG)M"	"tH(GUG)M"	363064	363135	"tH(GUG)M"	""
"MLC1"	"YGL106W"	306560	307009	"Myosin Light Chain"	""
"SUP16"	"tS(UGA)P"	689565	689646	"SUP16"	""
"PTC5"	"YOR090C"	491123	492841	"Phosphatase Two C"	""
"tK(UUU)L"	"tK(UUU)L"	875376	875471	"tK(UUU)L"	""
"CLB3"	"YDL155W"	176773	178056	"CycLin B"	""
"tV(AAC)O"	"tV(AAC)O"	663812	663885	"tV(AAC)O"	""
"MSC7"	"YHR039C"	184875	186809	"Meiotic Sister-Chromatid recombination"	""
"tL(UAA)K"	"tL(UAA)K"	84208	84291	"tL(UAA)K"	""
"PGC1"	"YPL206C"	162632	163597	"phosphatidylglycerol phospholipase C"	"phosphatidylglycerol degradation" // "glycerophosphodiester degradation"
"SUF5"	"tG(CCC)O"	594354	594425	"SUF5"	""
"TIM17"	"YJL143W"	147101	147577	"Translocase of the Inner Mitochondrial membrane"	""
"tR(UCU)J1"	"tR(UCU)J1"	355374	355445	"tR(UCU)J1"	""
"PPZ2"	"PPZ2"	1334821	1336953	"serine-threonine phosphatase Z"	""
"tD(GUC)N"	"tD(GUC)N"	519099	519169	"tD(GUC)N"	""
"FIT1"	"YDR534C"	1503314	1504900	"Facilitator of Iron Transport"	""
"tA(AGC)J"	"tA(AGC)J"	197313	197385	"tA(AGC)J"	""
"PTR2"	"YKR093W"	615730	617535	"Peptide TRansport"	""
"tQ(UUG)H"	"tQ(UUG)H"	134321	134392	"tQ(UUG)H"	""
"CPR8"	"CPR8"	676177	677103	"cyclophilin"	""
"tR(UCU)G1"	"tR(UCU)G1"	405470	405541	"tR(UCU)G1"	""
"COX19"	"YLL018C-A"	108676	108972	"Cytochrome c OXidase"	"aerobic respiration (cytochrome c)" // "aerobic respiration (linear view)"
"tG(GCC)G1"	"tG(GCC)G1"	845649	845719	"tG(GCC)G1"	""
"SPT7"	"YBR081C"	401253	405251	"SuPpressor of Ty's"	""
"tG(GCC)F2"	"tG(GCC)F2"	180974	181044	"tG(GCC)F2"	""
"ARP5"	"YNL059C"	512668	514935	"Actin-Related Protein"	""
"tI(AAU)E1"	"tI(AAU)E1"	443202	443275	"tI(AAU)E1"	""
"MMS2"	"YGL087C"	346406	346904	"Methyl MethaneSulfonate sensitivity"	""
"tR(UCU)D"	"tR(UCU)D"	568882	568953	"tR(UCU)D"	""
"VPS5"	"YOR069W"	453768	455795	"Vacuolar Protein Sorting"	""
"tF(GAA)D"	"tF(GAA)D"	1095370	1095461	"tF(GAA)D"	""
"RPL41B"	"YDL133C-A"	221724	221801	"Ribosomal Protein of the Large subunit"	""
"tS(AGA)B"	"tS(AGA)B"	227075	227156	"tS(AGA)B"	""
"SPO13"	"YHR014W"	132047	132922	"SPOrulation"	""
"tP(UGG)Q"	"tP(UGG)Q"	731	802	"tP(UGG)Q"	""
"UIP4"	"YPL186C"	194512	195426	"Ulp1 Interacting Protein"	""
"tE(UUC)M"	"tE(UUC)M"	290801	290872	"tE(UUC)M"	""
"ASF1"	"YJL115W"	196287	197126	"Anti-Silencing Function"	""
"tK(UUU)P"	"tK(UUU)P"	769207	769302	"tK(UUU)P"	""
"FMN1"	"FMN1"	935236	935892	"riboflavin kinase"	"flavin biosynthesis III (fungi)"
"tI(AAU)L1"	"tI(AAU)L1"	734802	734875	"tI(AAU)L1"	""
"GIN4"	"YDR507C"	1462358	1465786	"Growth Inhibitory"	""
"tS(GCU)O"	"tS(GCU)O"	274673	274773	"tS(GCU)O"	""
"AIM29"	"YKR074W"	579209	579676	"Altered Inheritance rate of Mitochondria"	""
"tK(CUU)K"	"tK(CUU)K"	202999	203071	"tK(CUU)K"	""
"SPS19"	"SPS19"	259578	260456	"2,4-dienoyl-CoA reductase"	"oleate &beta;-oxidation (reductase-dependent)" // "10-<i>cis</i>-heptadecenoyl-CoA degradation" // "10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent)" // "fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"
"tT(AGU)N2"	"tT(AGU)N2"	560693	560765	"tT(AGU)N2"	""
"GMC2"	"YLR445W"	1024189	1024837	"Grand Meiotic recombination Cluster"	""
"IMT3"	"tM(CAU)J3"	517813	517884	"Initiator Methionine tRNA"	""
"RPB9"	"YGL070C"	374459	374827	"RNA Polymerase B"	""
"tW(CCA)M"	"tW(CCA)M"	379303	379408	"tW(CCA)M"	""
"UBP14"	"YBR058C"	353672	356017	"UBiquitin-specific Protease"	""
"SUP17"	"tS(UGA)I"	248850	248931	"SUP17"	""
"KTR5"	"YNL029C"	577205	578773	"Kre Two Related"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"tF(GAA)H2"	"tF(GAA)H2"	358478	358569	"tF(GAA)H2"	""
"IRC23"	"YOR044W"	413007	413480	"Increased Recombination Centers"	""
"tL(CAA)G3"	"tL(CAA)G3"	857378	857491	"tL(CAA)G3"	""
"IWR1"	"YDL115C"	253995	255126	"Interacts With RNA polymerase II"	""
"tE(UUC)G2"	"tE(UUC)G2"	401527	401598	"tE(UUC)G2"	""
"CBP2"	"YHL038C"	23617	25509	"Cytochrome B mRNA Processing"	""
"tA(AGC)F"	"tA(AGC)F"	204924	204996	"tA(AGC)F"	""
"ATG29"	"YPL166W"	237338	237979	"AuTophaGy related"	""
"tG(GCC)E"	"tG(GCC)E"	61890	61960	"tG(GCC)E"	""
"TOK1"	"YJL093C"	254737	256812	"TOK1"	""
"tQ(UUG)D2"	"tQ(UUG)D2"	645153	645224	"tQ(UUG)D2"	""
"HEM13"	"HEM13"	546642	547628	"aerobic coproporphyrinogen oxidase"	"superpathway of heme biosynthesis" // "heme biosynthesis"
"tA(AGC)D"	"tA(AGC)D"	410379	410451	"tA(AGC)D"	""
"PAC11"	"YDR488C"	1429188	1430789	"Perishes in the Absence of CIN8"	""
"tL(UAA)B2"	"tL(UAA)B2"	347603	347686	"tL(UAA)B2"	""
"TRK2"	"YKR050W"	527815	530484	"TRansport of potassium (K)"	""
"tM(CAU)Q1"	"tM(CAU)Q1"	72630	72705	"tM(CAU)Q1"	""
"ADE4"	"ADE4"	865559	867091	"phosphoribosylpyrophosphate amidotransferase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of thiamin diphosphate biosynthesis III (eukaryotes)" // "5-aminoimidazole ribonucleotide biosynthesis I" // "4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"
"tA(AGC)M1"	"tA(AGC)M1"	321147	321219	"tA(AGC)M1"	""
"ATG17"	"YLR423C"	971917	973170	"AuTophaGy related"	""
"tS(AGA)L"	"tS(AGA)L"	167944	168025	"tS(AGA)L"	""
"RIM8"	"YGL045W"	414102	415730	"Regulator of IME2"	""
"tI(AAU)P1"	"tI(AAU)P1"	819529	819602	"tI(AAU)P1"	""
"EDS1"	"YBR033W"	301944	304703	"Expression Dependent on Slt2"	""
"tD(GUC)L1"	"tD(GUC)L1"	427132	427203	"tD(GUC)L1"	""
"HRB1"	"YNL004W"	622915	624621	"Hypothetical RNA-Binding protein"	""
"SUF11"	"tP(UGG)O2"	464450	464551	"SUF11"	""
"HST3"	"YOR025W"	378219	379562	"Homolog of SIR Two (SIR2)"	""
"tD(GUC)K"	"tD(GUC)K"	513332	513403	"tD(GUC)K"	""
"UBX3"	"YDL091C"	293392	294759	"UBiquitin regulatory X"	""
"tP(UGG)N1"	"tP(UGG)N1"	547094	547196	"tP(UGG)N1"	""
"APM2"	"YHL019C"	67731	69548	"clathrin Adaptor Protein complex Medium chain"	""
"tL(UAG)J"	"tL(UAG)J"	617919	618019	"tL(UAG)J"	""
"PXA1"	"YPL147W"	273255	275867	"PeroXisomal ABC-transporter"	""
"tV(AAC)M1"	"tV(AAC)M1"	372445	372518	"tV(AAC)M1"	""
"TRM3"	"TRM3"	258915	263225	"tRna ribose methylase"	""
"tI(AAU)I1"	"tI(AAU)I1"	183440	183513	"tI(AAU)I1"	""
"ICS3"	"YJL077C"	294666	295061	"Increased Copper Sensitivity"	""
"tW(CCA)G2"	"tW(CCA)G2"	878710	878815	"tW(CCA)G2"	""
"TLG1"	"YDR468C"	1398026	1398700	"T-snare affecting a Late Golgi compartment"	""
"tK(UUU)G2"	"tK(UUU)G2"	700953	701048	"tK(UUU)G2"	""
"GCN3"	"YKR026C"	488738	489655	"General Control Nonderepressible"	""
"tD(GUC)G1"	"tD(GUC)G1"	531610	531681	"tD(GUC)G1"	""
"SWP1"	"SWP1"	560996	561856	"oligosaccharyl transferase complex &delta; subunit"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"
"SUP19"	"tS(UGA)E"	288443	288524	"SUP19"	""
"AFG2"	"YLR397C"	912550	914892	"ATPase Family Gene"	""
"tE(UUC)E1"	"tE(UUC)E1"	177099	177170	"tE(UUC)E1"	""
"CKB1"	"YGL019W"	458156	458992	"Casein Kinase Beta subunit"	""
"tL(UAA)D"	"tL(UAA)D"	519743	519826	"tL(UAA)D"	""
"RCR1"	"YBR005W"	245906	246547	"Resistance to Congo Red"	""
"tQ(UUG)C"	"tQ(UUG)C"	168301	168372	"tQ(UUG)C"	""
"GLC8"	"YMR311C"	896914	897603	"GLyCogen"	""
"tG(GCC)B"	"tG(GCC)B"	197629	197699	"tG(GCC)B"	""
"UTP23"	"YOR004W"	333592	334356	"U Three-associated Protein"	""
"tY(GUA)Q"	"tY(GUA)Q"	70824	70907	"tY(GUA)Q"	""
"CBS1"	"YDL069C"	333121	333810	"Cytochrome B Synthesis"	""
"tI(GAU)Q"	"tI(GAU)Q"	70162	70237	"tI(GAU)Q"	""
"COS6"	"YGR295C"	1081584	1082729	"COnserved Sequence"	""
"tF(GAA)Q"	"tF(GAA)Q"	77431	77505	"tF(GAA)Q"	""
"TAF14"	"YPL129W"	305298	306137	"TATA binding protein-Associated Factor"	""
"tQ(UUG)L"	"tQ(UUG)L"	448650	448721	"tQ(UUG)L"	""
"CPR4"	"CPR4"	239055	240011	"cyclophilin"	""
"tF(GAA)P2"	"tF(GAA)P2"	622540	622631	"tF(GAA)P2"	""
"IRC8"	"YJL051W"	339787	342255	"Increased Recombination Centers"	""
"tW(CCA)K"	"tW(CCA)K"	302918	303023	"tW(CCA)K"	""
"ADA2"	"YDR448W"	1356065	1357369	"transcriptional ADAptor"	""
"tN(GUU)O1"	"tN(GUU)O1"	228331	228404	"tN(GUU)O1"	""
"ECM9"	"YKR004C"	446799	448036	"ExtraCellular Mutant"	""
"SUP4"	"tY(GUA)J2"	542956	543044	"SUP4"	""
"CPR3"	"CPR3"	111002	111550	"cyclophilin"	""
"tN(GUU)N1"	"tN(GUU)N1"	102716	102789	"tN(GUU)N1"	""
"RPL2A"	"YFR031C-A"	220507	221418	"Ribosomal Protein of the Large subunit"	""
"tG(GCC)J2"	"tG(GCC)J2"	531828	531898	"tG(GCC)J2"	""
"RPL23A"	"YBL087C"	59822	60739	"Ribosomal Protein of the Large subunit"	""
"tR(UCU)M1"	"tR(UCU)M1"	747892	747963	"tR(UCU)M1"	""
"CTF3"	"YLR381W"	879723	881924	"Chromosome Transmission Fidelity"	""
"tD(GUC)I2"	"tD(GUC)I2"	336349	336420	"tD(GUC)I2"	""
"HSH155"	"YMR288W"	845571	848486	"Human Sap Homolog"	""
"tV(AAC)G2"	"tV(AAC)G2"	823482	823555	"tV(AAC)G2"	""
"NOP8"	"YOL144W"	53098	54552	"NucleOlar Protein"	""
"tK(CUU)G2"	"tK(CUU)G2"	185714	185786	"tK(CUU)G2"	""
"MTF2"	"YDL044C"	373967	375289	"Mitochondrial Transcription Factor"	""
"tA(AGC)G"	"tA(AGC)G"	774349	774421	"tA(AGC)G"	""
"MAM3"	"YOL060C"	214017	216137	"MAM3"	""
"tR(ACG)E"	"tR(ACG)E"	492352	492424	"tR(ACG)E"	""
"HUA1"	"YGR268C"	1026057	1026653	"HUA1"	""
"tX(XXX)D"	"tX(XXX)D"	1150842	1150941	"tX(XXX)D"	""
"GDE1"	"YPL110C"	341068	344739	"glycerophosphocholine phosphodiesterase"	"phosphatidylcholine resynthesis via glycerophosphocholine" // "phospholipid remodeling (phosphatidylethanolamine)" // "glycerophosphodiester degradation"
"tK(CUU)D2"	"tK(CUU)D2"	1352466	1352538	"tK(CUU)D2"	""
"MAL32"	"MAL32"	805351	807105	"maltase"	""
