"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000001420"	"YIL158W"	"S. cerevisiae"	"AIM20"	"Altered Inheritance rate of Mitochondria"	"Protein of unknown function"	"Protein of unknown function; overexpression causes cell cycle delay or arrest; green fluorescent protein (GFP)-fusion protein localizes to vacuole; null mutant displays elevated frequency of mitochondrial genome loss; relocalizes from nucleus to cytoplasm upon DNA replication stress; AIM20 has a paralog, SKG1, that arose from the whole genome duplication"	"Verified"	"Protein whose biological role is unknown; localized to nucleus, cytoplasm, and vacuole|uniprot_proteome=UP000002311"	"Null mutant has increased competitive fitness in rich medium, synthetic medium, and medium containing a non-fermentable carbon source; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant is sensitive to both hyperosmotic and oxidative stress; null mutant displays an increased chronological lifespan; heterozygous null mutant is haploproficient; overexpression results in a decreased growth rate, an accumulation of large-budded cells with a 2N DNA content, and an undivided nucleus in one cell body, indicative of a pre-M phase arrest or delay; overexpression results in increased invasive growth on nitrogen-sufficient medium"	"4642-YIL158W_NumOfGenes_2"	NA
"S000001421"	"YIL159W"	"S. cerevisiae"	"BNR1"	"BNi1 Related"	"Formin"	"Formin; nucleates the formation of linear actin filaments; involved in processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; activity is regulated by Hof1p and by the Bud14p-Kel1p-Kel2p complex; dephosphorylated and delocalized from the division site in a Glc7p/Ref2p-dependent manner; functionally redundant with BNI1"	"Verified"	NA	NA	"4643-YIL159W"	NA
"S000001422"	"YIL160C"	"S. cerevisiae"	"POT1"	"Peroxisomal Oxoacyl Thiolase"	"3-ketoacyl-CoA thiolase with broad chain length specificity"	"3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids"	"Verified"	NA	NA	"4644-YIL160C"	NA
"S000001423"	"YIL161W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; mRNA is enriched in Scp160p-associated mRNPs; YIL161W is a non-essential gene"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study|uniprot_proteome=UP000002311"	NA	"4645-YIL161W"	NA
"S000001424"	"YIL162W"	"S. cerevisiae"	"SUC2"	"SUCrose"	"Invertase"	"Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively"	"Verified"	"Beta-fructofuranosidase (invertase) that hydrolyzes sucrose into glucose and fructose; involved in carbohydrate catabolism; two distinct forms are localized to cytoplasm and secreted extracellularly|uniprot_proteome=UP000002311"	"Non-essential gene; mutant is unable to utilize sucrose, raffinose or inulin as carbon sources; in systematic studies null mutant shows decreased growth rate and lowered competitive fitness"	"4646-YIL162W"	NA
"S000001425"	"YIL163C"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; mRNA identified as translated by ribosome profiling data"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"4647-YIL163C"	NA
"S000001426"	"YIL164C"	"S. cerevisiae"	"NIT1"	"NITrilase superfamily"	"Nitrilase"	"Nitrilase; member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene"	"Verified"	NA	NA	"4648-YIL164C"	NA
"S000001427"	"YIL165C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; mutant exhibits mitophagy defects; in closely related species and other S. cerevisiae strain backgrounds YIL165C and adjacent ORF, YIL164C, likely constitute a single ORF encoding a nitrilase gene"	"Uncharacterized"	NA	NA	"4649-YIL165C"	NA
"S000001428"	"YIL166C"	"S. cerevisiae"	NA	NA	"Putative protein with similarity to allantoate permease"	"Putative protein with similarity to allantoate permease; similar to the allantoate permease (Dal5p) subfamily of the major facilitator superfamily; mRNA expression is elevated by sulfur limitation; YIL166C is a non-essential gene"	"Uncharacterized"	NA	NA	"4650-YIL166C"	NA
"S000001431"	"YIL169C"	"S. cerevisiae"	"CSS1"	"Condition Specific Secretion"	"Protein of unknown function, secreted when constitutively expressed"	"Protein of unknown function, secreted when constitutively expressed; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cell periphery, SWAT-GFP fusion also localizes to the extracellular region, and mCherry fusion also localizes to the vacuole; S/T rich and highly similar to YOL155C, a putative glucan alpha-1,4-glucosidase; transcript is induced in both high and low pH environments; non-essential gene"	"Verified"	"Protein whose biological role is unknown; localizes to both the cell periphery and extracellular region|uniprot_proteome=UP000002311"	NA	"4652-YIL169C_NumOfGenes_2"	NA
"S000001434"	"YIL172C"	"S. cerevisiae"	"IMA3"	"IsoMAltase"	"Alpha-glucosidase"	"Alpha-glucosidase; weak, but broad substrate specificity for alpha-1,4- and alpha-1,6-glucosides; member of IMA isomaltase family; not required for isomaltose utilization, but Ima3p overexpression allows the ima1 null mutant to grow on isomaltose; lower activitiy and thermostability in vitro than Ima2p despite sequence difference of only 3 amino acids; cleaves alpha-1,3 linkage of nigerose and turanose, but not alpha-1,5 of leucrose; identical to IMA4"	"Verified"	NA	NA	"4654-YIL172C_NumOfGenes_6"	NA
"S000001435"	"YIL173W"	"S. cerevisiae"	"VTH1"	"Vps Ten Homolog"	"Putative membrane glycoprotein"	"Putative membrane glycoprotein; has strong similarity to Vth2p and Pep1p/Vps10p; may be involved in vacuolar protein sorting"	"Verified"	NA	NA	"4912-YJL222W_NumOfGenes_5"	"find panID based on not collapsed gene"
"S000001438"	"YIL176C"	"S. cerevisiae"	"PAU14"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; identical to Pau1p"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	"find panID based blast"
"S000001439"	"YIL177C"	"S. cerevisiae"	NA	NA	"Putative Y' element ATP-dependent helicase"	"Putative Y' element ATP-dependent helicase"	"Uncharacterized"	NA	NA	"5919-YLR467W_NumOfGenes_63"	"find panID based on not collapsed gene"
"S000001440"	"YIR001C"	"S. cerevisiae"	"SGN1"	"Slower Growth on Non-fermentable carbon sources"	"Cytoplasmic RNA-binding protein"	"Cytoplasmic RNA-binding protein; contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation"	"Verified"	NA	NA	"4655-YIR001C"	NA
"S000001441"	"YIR002C"	"S. cerevisiae"	"MPH1"	"Mutator PHenotype"	"3'-5' DNA helicase involved in error-free bypass of DNA lesions"	"3'-5' DNA helicase involved in error-free bypass of DNA lesions; binds flap DNA, stimulates activity of Rad27p and Dna2p; prevents crossovers between ectopic sequences by removing substrates for Mus81-Mms4 or Rad1-Rad10 cleavage; homolog of human FANCM Fanconi anemia protein that is involved in stabilizing and remodeling blocked replication forks; member of SF2 DExD/H superfamily of helicases; nonsense or missense mutations in FANCM can make people more likely to get cancer"	"Verified"	"3-5 DNA helicase and DNA/RNA helicase; binds flap-structured DNA; involved in Okazaki fragment processing, recombinational repair, interstrand cross-link repair, and negative regulation of strand invasion; also involved in donor selection in mating type switching; localizes to the nucleus and colocalizes with telomeric regions of chromosomes|uniprot_proteome=UP000002311"	NA	"4656-YIR002C"	NA
"S000001442"	"YIR003W"	"S. cerevisiae"	"AIM21"	"Altered Inheritance rate of Mitochondria"	"Protein of unknown function"	"Protein of unknown function; involved in mitochondrial migration along actin filament; may interact with ribosomes; GFP-fusion protein colocalizes with Sac1p to the actin cytoskeleton"	"Verified"	"Protein with a role in mitochondrial movement along actin filaments; localized to the actin cytoskeleton, shmoo tip, and ribosomes|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant is slightly heat sensitive; null mutant displays increased survival following a ramped heat stimulus, but decreased resistance to starvation stress; null mutant displays increased biofilm formation, and has an endocytosis defect; heterozygous diploid null is haploinsufficient"	"4657-YIR003W"	NA
"S000001443"	"YIR004W"	"S. cerevisiae"	"DJP1"	"DnaJ Protein"	"Cytosolic J-domain-containing protein"	"Cytosolic J-domain-containing protein; required for peroxisomal protein import and involved in peroxisome assembly; facilitates import of Mim1p and Mim2p into the mitochondrial outer membrane; homologous to E. coli DnaJ"	"Verified"	"Cytosolic protein that facilitates protein import into both peroxisomes and the mitochondrial outer membrane|uniprot_proteome=UP000002311"	NA	"4658-YIR004W"	NA
"S000001444"	"YIR005W"	"S. cerevisiae"	"IST3"	"Increased Sodium Tolerance"	"Component of the U2 snRNP"	"Component of the U2 snRNP; required for the first catalytic step of splicing and for spliceosomal assembly; interacts with Rds3p and is required for Mer1p-activated splicing; diploid mutants have a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids"	"Verified"	NA	NA	"4659-YIR005W"	NA
"S000001445"	"YIR006C"	"S. cerevisiae"	"PAN1"	"Poly(A)-binding protein-dependent poly(A) riboNuclease"	"Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p"	"Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease"	"Verified"	NA	NA	"4660-YIR006C"	NA
"S000001446"	"YIR007W"	"S. cerevisiae"	"EGH1"	"Cryptococcus neoformans EGCrP2 Homolog"	"Steryl-beta-glucosidase with broad specificity for aglycones"	"Steryl-beta-glucosidase with broad specificity for aglycones; has a role in ergosteryl-beta-glucoside catabolism; required for normal vacuolar morphology; has similarity to the C. neoformans ergosteryl-beta-glucosidase EGCrP2; localizes to the cytosol"	"Verified"	"Steryl-beta-glucosidase, involved in catabolism of beta-glucosides; localized to the cytosol|uniprot_proteome=UP000002311"	NA	"4661-YIR007W"	NA
"S000001447"	"YIR008C"	"S. cerevisiae"	"PRI1"	"DNA PRImase"	"Subunit of DNA primase"	"Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair"	"Verified"	NA	NA	"4662-YIR008C"	NA
"S000001448"	"YIR009W"	"S. cerevisiae"	"MSL1"	"MUD Synthetic Lethal"	"U2B component of U2 snRNP"	"U2B component of U2 snRNP; involved in splicing, binds the U2 snRNA stem-loop IV in vitro but requires association of Lea1p for in vivo binding; does not contain the conserved C-terminal RNA binding domain found in other family members"	"Verified"	NA	NA	"4663-YIR009W"	NA
"S000001449"	"YIR010W"	"S. cerevisiae"	"DSN1"	"Dosage Suppressor of NNF1"	"Essential component of the MIND kinetochore complex"	"Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; Dsn1p phosphorylation promotes interaction between outer and inner kinetochore proteins; kinetochore receptor for monopolin, via interaction with subunit Csm1p; essential for meiotic but not mitotic chromosome segregation; MIND complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; modified by sumoylation; phosphorylated by monopolin subunit Hrr25p"	"Verified"	NA	NA	"4664-YIR010W"	NA
"S000001450"	"YIR011C"	"S. cerevisiae"	"STS1"	"Sec Twenty-three Suppressor 1"	"Protein required for localizing proteasomes to the nucleus"	"Protein required for localizing proteasomes to the nucleus; involved in cotranslational protein degradation; mediates interaction between nuclear import factor Srp1p and the proteasome; Sts1p and Srp1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation; involved in ubiquitin-mediated protein degradation"	"Verified"	NA	NA	"4665-YIR011C"	NA
"S000001451"	"YIR012W"	"S. cerevisiae"	"SQT1"	"Suppressor of QSR1 Truncations"	"Specific chaperone for ribosomal protein Rpl10p"	"Specific chaperone for ribosomal protein Rpl10p; binds nascent Rpl10p during translation; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"4666-YIR012W"	NA
"S000001452"	"YIR013C"	"S. cerevisiae"	"GAT4"	NA	"Protein containing GATA family zinc finger motifs"	"Protein containing GATA family zinc finger motifs; involved in spore wall assembly; sequence similarity to GAT3, and the double mutant gat3 gat4 exhibits reduced dityrosine fluorescence relative to the single mutants"	"Verified"	NA	NA	"4667-YIR013C"	NA
"S000001453"	"YIR014W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression directly regulated by the metabolic and meiotic transcriptional regulator Ume6p; YIR014W is a non-essential gene"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the vacuole in a large-scale study|uniprot_proteome=UP000002311"	NA	"4668-YIR014W"	NA
"S000001454"	"YIR015W"	"S. cerevisiae"	"RPR2"	"RNase P Ribonucleoprotein"	"Subunit of nuclear RNase P"	"Subunit of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; not shared between RNase MRP and RNase P, in contrast to all other RNase P protein subunits; protein abundance increases in response to DNA replication stress"	"Verified"	NA	NA	"4669-YIR015W"	NA
"S000001455"	"YIR016W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; expression directly regulated by the metabolic and meiotic transcriptional regulator Ume6p; overexpression causes a cell cycle delay or arrest; non-essential gene; YIR016W has a paralog, YOL036W, that arose from the whole genome duplication"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"4670-YIR016W"	NA
"S000001456"	"YIR017C"	"S. cerevisiae"	"MET28"	"METhionine"	"bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex"	"bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex; participates in the regulation of sulfur metabolism"	"Verified"	NA	NA	"4671-YIR017C_NumOfGenes_2"	NA
"S000001457"	"YIR018W"	"S. cerevisiae"	"YAP5"	"Yeast AP-1"	"Basic leucine zipper (bZIP) iron-sensing transcription factor"	"Basic leucine zipper (bZIP) iron-sensing transcription factor; involved in diauxic shift; YAP5 has a paralog, YAP7, that arose from the whole genome duplication"	"Verified"	"Sequence-specific DNA binding transcription factor involved in the regulation of transcription by RNA polymerase II in response to iron; also involved in the regulation of telomeric chromatin silencing|uniprot_proteome=UP000002311"	"Non-essential gene; null mutants exhibit increased fitness and resistance to antimalarial quinine, abnormal vacuolar morphology, impaired filamentous growth and use of various nitrogen sources; homozygous diploid nulls are sensitive to preservative sorbate and heat shock; heterozygous diploid nulls are haploinsufficient; overexpression increases filamentous growth"	"4673-YIR018W"	NA
"S000001458"	"YIR019C"	"S. cerevisiae"	"FLO11"	"FLOcculation"	"GPI-anchored cell surface glycoprotein (flocculin)"	"GPI-anchored cell surface glycoprotein (flocculin); required for pseudohyphal and invasive growth, flocculation, and biofilm formation; major determinant of colony morphology; transcription regulated by the MAPK pathway (Ste12p and Tec1p) and the cAMP pathway (Flo8p); required for formation of fibrous interconnections between cells of a wild strain; role in co-flocculation with other yeast species; cleaved and shed from cells, contributing to their surface properties"	"Verified"	"Protein involved in flocculation, coflocculation, cell adhesion during biofilm formation, and in pseudohyphal and invasive growth; localizes to the plasma membrane, the bud neck and the extracellular region|uniprot_proteome=UP000002311"	"Non-essential gene; null mutation blocks biofilm formation, flocculation, and invasive growth, while overexpression increases those phenotypes; in large-scale studies, null mutant shows reduced competitive fitness in minimal and glycerol media"	"4674-YIR019C_NumOfGenes_5"	NA
"S000001459"	"YIR020C"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; mRNA identified as translated by ribosome profiling data; SWAT-GFP fusion protein localizes to the endoplasmic reticulum"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"4675-YIR020C_NumOfGenes_2"	NA
"S000001460"	"YIR021W"	"S. cerevisiae"	"MRS1"	"Mitochondrial RNA Splicing"	"Splicing protein"	"Splicing protein; required for splicing of two mitochondrial group I introns (BI3 in COB and AI5beta in COX1); forms a splicing complex, containing four subunits of Mrs1p and two subunits of the BI3-encoded maturase, that binds to the BI3 RNA; MRS1 has a paralog, CCE1, that arose from the whole genome duplication"	"Verified"	NA	NA	"4677-YIR021W_NumOfGenes_2"	NA
"S000001461"	"YIR022W"	"S. cerevisiae"	"SEC11"	"SECretory"	"18kDa catalytic subunit of the Signal Peptidase Complex (SPC)"	"18kDa catalytic subunit of the Signal Peptidase Complex (SPC); the Signal Peptidase Complex cleaves the signal sequence of proteins targeted to the endoplasmic reticulum; other members are Spc1p, Spc2p, Spc3p, and Sec11p"	"Verified"	NA	NA	"4679-YIR022W"	NA
"S000001462"	"YIR023W"	"S. cerevisiae"	"DAL81"	"Degradation of Allantoin"	"Positive regulator of genes in multiple nitrogen degradation pathways"	"Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism"	"Verified"	"A RNA polymerase II transcription coactivator involved in activation of transcription from RNA polymerase II promoter, positive regulation of urea catabolic process, and RNA polymerase II transcriptional preinitiation complex assembly; localized to nucleus|uniprot_proteome=UP000002311"	NA	"4680-YIR023W_NumOfGenes_2"	NA
"S000001463"	"YIR024C"	"S. cerevisiae"	"INA22"	"INner membrane Assembly 22 kDa"	"F1F0 ATP synthase peripheral stalk assembly factor"	"F1F0 ATP synthase peripheral stalk assembly factor; subunit of the matrix-exposed inner mitochondrial membrane localized INA complex (Ina22p-Ina17p) involved in assembly of the F1F0 peripheral stalk; co-purifies with Aim43p, ATP synthase subunits, and cytochrome bc1 complex assembly factors; interacts with Arh1p, a mitochondrial oxidoreductase; deletion mutant has a respiratory growth defect"	"Verified"	"Mitochondrial inner membrane protein and subunit of the INA complex (INAC) with a role in assembly of mitochondrial F1F0 ATP synthase|uniprot_proteome=UP000002311"	NA	"4681-YIR024C"	NA
"S000001464"	"YIR025W"	"S. cerevisiae"	"MND2"	"Meiotic Nuclear Divisions"	"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C)"	"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase"	"Verified"	NA	NA	"4682-YIR025W"	NA
"S000001465"	"YIR026C"	"S. cerevisiae"	"YVH1"	"Yeast vaccinia virus VH1 Homolog"	"Dual specificity protein phosphatase"	"Dual specificity protein phosphatase; regulates growth, sporulation, and glycogen accumulation in a cAMP-dependent protein kinase cascade dependent manner; mutants are defective in 60S ribosome assembly; positively regulates pre-autophagosomal structure (PAS) formation upon nitrogen starvation or rapamycin treatment"	"Verified"	"Protein tyrosine/serine/threonine phosphatase involved in cAMP-mediated signaling, ribosomal large subunit assembly, spore wall assembly, and meiotic nuclear division; positively regulates pre-autophagosomal structure (PAS) formation upon nitrogen starvation and rapamycin treatment|uniprot_proteome=UP000002311"	"Non-essential gene; null mutants grow slowly, have small cell size, decreased competitive fitness, increased replicative lifespan, and exhibit defects in rRNA processing, glycogen accumulation, endocytosis, and protein localization; null mutatns are also sensitive to cold, acetolactate synthase inhibitor sulfometuron methyl, antioxidant spermine, antimicrobial hygromycin B, and radical scavenger dimethyl sulfoxide; homozygous diploid null mutants are resistant to zymocin and to zinc deficiency, but sensitive to TOR inhibitor rapamycin, reducing agent 1,4-dithiothreitol, antimicrobial doxorubicin, and carcinogen benzo[a]pyrene; homozygous diploid nulls are also impaired in cell cycle progression, meiosis, sporulation, and fermentative growth, but have increased lifespan; overexpression slows growth"	"4683-YIR026C"	NA
"S000001466"	"YIR027C"	"S. cerevisiae"	"DAL1"	"Degradation of Allantoin"	"Allantoinase"	"Allantoinase; converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression"	"Verified"	"Allantoinase that is plays a role in allantoin assimilation; cellular location is unknown|uniprot_proteome=UP000002311"	NA	"4684-YIR027C"	NA
"S000001467"	"YIR028W"	"S. cerevisiae"	"DAL4"	"Degradation of Allantoin"	"Allantoin permease"	"Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"	"Verified"	"An allantoin uptake transmembrane transporter involved in allantoin transport and breakdown; localized to membranes|uniprot_proteome=UP000002311"	NA	"4685-YIR028W"	NA
"S000001468"	"YIR029W"	"S. cerevisiae"	"DAL2"	"Degradation of Allantoin"	"Allantoicase"	"Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"	"Verified"	"An allantoicase that helps breakdown allantoin; cellular location unknown|uniprot_proteome=UP000002311"	NA	"4686-YIR029W"	NA
"S000001469"	"YIR030C"	"S. cerevisiae"	"DCG1"	"Dal80p-Controlled Gene"	"Protein of unknown function"	"Protein of unknown function; expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain"	"Verified"	NA	NA	"4687-YIR030C"	NA
"S000001470"	"YIR031C"	"S. cerevisiae"	"DAL7"	"Degradation of Allantoin"	"Malate synthase"	"Malate synthase; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA; recycles glyoxylate generated during allantoin degradation; SWAT-GFP and mCherry fusion proteins localize to the cytosol; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation"	"Verified"	"A malate synthase involved in the breakdown of allantoin; localizes to the cytosol|uniprot_proteome=UP000002311"	NA	"4689-YIR031C"	NA
"S000001471"	"YIR032C"	"S. cerevisiae"	"DAL3"	"Degradation of Allantoin"	"Ureidoglycolate lyase"	"Ureidoglycolate lyase; converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression is sensitive to nitrogen catabolite repression; this enzyme is sometimes referred to \"ureidoglycolate hydrolase\" but should not be confused with the Arabidopsis thaliana ureidoglycolate hydrolase enzyme which converts ureidoglycolate to glyoxylate, ammonia and carbon dioxide"	"Verified"	"A ureidoglycolate lyase that is involved in the breakdown of allantoin; localized to membranes|uniprot_proteome=UP000002311"	NA	"4690-YIR032C"	NA
"S000001472"	"YIR033W"	"S. cerevisiae"	"MGA2"	"Multicopy suppressor of GAm1 (snf2)"	"ER membrane protein involved in regulation of OLE1 transcription"	"ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; MGA2 has a paralog, SPT23, that arose from the whole genome duplication"	"Verified"	NA	NA	"4691-YIR033W"	NA
"S000001473"	"YIR034C"	"S. cerevisiae"	"LYS1"	"LYSine requiring"	"Saccharopine dehydrogenase (NAD+, L-lysine-forming)"	"Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity"	"Verified"	"Saccharopine dehydrogenase involved in lysine biosynthesis; localizes to the cytoplasm|uniprot_proteome=UP000002311"	NA	"4692-YIR034C"	NA
"S000001474"	"YIR035C"	"S. cerevisiae"	NA	"putative Novel REductase"	"Putative cytoplasmic short-chain dehydrogenase/reductase"	"Putative cytoplasmic short-chain dehydrogenase/reductase"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale studies|uniprot_proteome=UP000002311"	NA	"4693-YIR035C"	NA
"S000001475"	"YIR036C"	"S. cerevisiae"	"IRC24"	"Increased Recombination Centers"	"Putative benzil reductase"	"Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci"	"Verified"	NA	NA	"4694-YIR036C"	NA
"S000001476"	"YIR037W"	"S. cerevisiae"	"HYR1"	"HYdroperoxide Resistance"	"Thiol peroxidase"	"Thiol peroxidase; functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor; HYR1 has a paralog, GPX1, that arose from the whole genome duplication"	"Verified"	NA	NA	"4696-YIR037W"	NA
"S000001477"	"YIR038C"	"S. cerevisiae"	"GTT1"	"GlutaThione Transferase"	"ER associated glutathione S-transferase"	"ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p"	"Verified"	NA	NA	"4697-YIR038C"	NA
"S000001478"	"YIR039C"	"S. cerevisiae"	"YPS6"	"YaPSin"	"Putative GPI-anchored aspartic protease"	"Putative GPI-anchored aspartic protease; member of the yapsin family of proteases involved in cell wall growth and maintenance"	"Verified"	NA	NA	"4698-YIR039C"	NA
"S000001479"	"YIR040C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"5292-YKL223W_NumOfGenes_4"	"find panID based blast"
"S000001480"	"YIR041W"	"S. cerevisiae"	"PAU15"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole"	"Verified"	"Protein whose biological role is unknown; localizes to the vacuole|uniprot_proteome=UP000002311"	NA	"7349-YOR394W_NumOfGenes_7"	"find panID based on not collapsed gene"
"S000001481"	"YIR042C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; YIR042C is a non-essential gene"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"4699-YIR042C"	NA
"S000001484"	"YKL001C"	"S. cerevisiae"	"MET14"	"METhionine requiring"	"Adenylylsulfate kinase"	"Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant"	"Verified"	NA	"Non-essential gene; null mutant displays methionine auxotrophy, decreased endocytosis and reduced competitive fitness"	"5067-YKL001C"	NA
"S000001485"	"YKL002W"	"S. cerevisiae"	"DID4"	"Doa4-Independent Degradation"	"Class E Vps protein of the ESCRT-III complex"	"Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis"	"Verified"	NA	"Non-essential gene; null mutant exhibits heat sensitivity, sensitivity to caffeine, Congo Red, and other chemicals, and defects in vacuolar protein targeting; in large-scale studies, null mutant has reduced competitive fitness in several different media, sensitivity to heat shock, desiccation, and osmotic stress, poor utilization of various nitrogen sources, and altered resistance to many chemicals"	"5068-YKL002W"	NA
"S000001486"	"YKL003C"	"S. cerevisiae"	"MRP17"	"Mitochondrial Ribosomal Protein"	"Mitochondrial ribosomal protein of the small subunit"	"Mitochondrial ribosomal protein of the small subunit; MRP17 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator"	"Verified"	"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion|uniprot_proteome=UP000002311"	NA	"5069-YKL003C"	NA
