qseqid	ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalues	bitscore	annotation
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P32465|2.A.1.1.108	70.7	512	150	0	181	1716	55	566	3.50E-227	784.3	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P54862|2.A.1.1.105	65.4	557	188	3	49	1710	8	562	4.90E-213	737.3	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P23585|2.A.1.1.111	69.4	494	151	0	175	1656	44	537	5.80E-206	713.8	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P43581|2.A.1.1.5	65.1	533	181	3	61	1656	2	530	1.90E-201	698.7	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P39924|2.A.1.1.110	61.9	514	193	2	172	1710	44	555	1.90E-188	655.6	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|P54854|2.A.1.1.107	59.3	540	215	2	43	1659	8	543	4.30E-185	644.4	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
359-augustus_masked-8489-AQD_4	gnl|TC-DB|Q2MDH1|2.A.1.1.67	57.5	527	218	2	73	1644	1	524	4.90E-181	630.9	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P13181|2.A.1.1.6	93	443	31	0	1	1329	131	573	1.60E-248	854.7	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
360-augustus_masked-858-BGT_2	gnl|TC-DB|P39004|2.A.1.1.31	76.5	442	104	0	1	1326	125	566	1.20E-206	715.7	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P32467|2.A.1.1.30	75.8	442	107	0	1	1326	131	572	1.10E-204	709.1	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
360-augustus_masked-858-BGT_2	gnl|TC-DB|P32465|2.A.1.1.108	70.8	442	129	0	1	1326	125	566	3.90E-194	674.1	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P54862|2.A.1.1.105	68.3	442	138	1	1	1320	121	562	8.50E-181	629.8	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P23585|2.A.1.1.111	69.9	425	128	0	1	1275	116	540	1.40E-175	612.5	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P43581|2.A.1.1.5	66.6	422	141	0	1	1266	109	530	2.30E-170	595.1	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
360-augustus_masked-858-BGT_2	gnl|TC-DB|P39924|2.A.1.1.110	64.8	440	153	1	1	1320	118	555	4.50E-166	580.9	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|P54854|2.A.1.1.107	63.8	442	158	1	1	1326	121	560	5.00E-165	577.4	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
360-augustus_masked-858-BGT_2	gnl|TC-DB|Q2MDH1|2.A.1.1.67	58	436	173	2	1	1299	104	532	2.70E-150	528.5	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
367-augustus_masked-8846-CQS_4	gnl|TC-DB|P32568|3.A.1.205.2	63.4	284	102	2	1	852	85	366	8.60E-102	366.7	SNQ2 protein - Saccharomyces cerevisiae (Baker's yeast).
367-augustus_masked-8846-CQS_4	gnl|TC-DB|Q08409|3.A.1.205.15	45.1	193	93	5	277	852	49	229	2.00E-34	142.9	ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=1 SV=1
368-augustus_masked-8846-CQS_4	gnl|TC-DB|P32568|3.A.1.205.2	66.7	162	54	0	1	486	404	565	1.60E-60	228.8	SNQ2 protein - Saccharomyces cerevisiae (Baker's yeast).
371-augustus_masked-8850-CQS_4	gnl|TC-DB|P43548|2.A.3.10.14	71.4	266	76	0	1	798	293	558	9.50E-111	396.4	General amino acid permease AGP3 - Saccharomyces cerevisiae (Baker's yeast).
381-augustus_masked-9671-CGD_5	gnl|TC-DB|P32319|9.A.63.1.1	49.3	458	211	4	1	1311	1	458	4.80E-120	427.9	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
390-augustus_masked-9892-CPR_4	gnl|TC-DB|P38929|3.A.3.2.2	92.1	1174	92	1	1	3522	1	1173	0	2078.5	CALCIUM-TRANSPORTING ATPASE 2 (EC 3.6.3.8) (VACUOLAR CA2+-ATPASE) - Saccharomyces cerevisiae (Baker's yeast).
396-augustus_masked-9894-CPR_4	gnl|TC-DB|Q12235|2.A.1.14.20	97.2	531	15	0	1	1593	1	531	1.40E-291	998	Uncharacterized transporter YLL055W - Saccharomyces cerevisiae (Baker's yeast).
397-augustus_masked-9894-CPR_4	gnl|TC-DB|P0CD89|1.A.8.6.2	93.8	289	18	0	1	867	1	289	3.30E-157	550.8	Aquaporin-2 OS=Saccharomyces cerevisiae GN=AQY2 PE=2 SV=1
397-augustus_masked-9894-CPR_4	gnl|TC-DB|B3IUC4|1.A.8.6.1	83.8	229	37	0	178	864	1	229	2.50E-109	391.7	Aquaporin Aqy1 OS=Saccharomyces cerevisiae PE=3 SV=1
397-augustus_masked-9894-CPR_4	gnl|TC-DB|F2QVG4|1.A.8.6.3	54.2	275	118	2	1	825	4	270	2.40E-75	278.9	Aquaporin PIP2-7 7 OS=Komagataella pastoris (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1) GN=AQY1 PE=1 SV=1
410-augustus_masked-9906-CPR_4	gnl|TC-DB|P39111|3.A.2.2.3	98.3	118	2	0	1	354	1	118	1.40E-61	231.9	VACUOLAR ATP SYNTHASE SUBUNIT F (EC 3.6.1.34) (V-ATPASE F SUBUNIT) (VACUOLAR PROTON PUMP F SUBUNIT) (V-ATPASE 14 KDA SUBUNIT) - Saccharomyces cerevisiae (Baker's yeast).
410-augustus_masked-9906-CPR_4	gnl|TC-DB|Q23680|3.A.2.2.7	52.2	115	52	3	4	348	4	115	5.50E-26	113.6	Probable V-type proton ATPase subunit F OS=Caenorhabditis elegans GN=vha-9 PE=3 SV=1
410-augustus_masked-9906-CPR_4	gnl|TC-DB|Q9ZQX4|3.A.2.2.5	52.2	115	52	2	4	348	9	120	9.30E-26	112.8	V-type proton ATPase subunit F OS=Arabidopsis thaliana GN=VHA-F PE=2 SV=1
410-augustus_masked-9906-CPR_4	gnl|TC-DB|Q16864|3.A.2.2.4	52.6	116	52	3	1	348	1	113	3.50E-25	110.9	Vacuolar ATP synthase subunit F - Homo sapiens (Human).
410-augustus_masked-9906-CPR_4	gnl|TC-DB|Q9D1K2|3.A.2.2.6	51.7	116	53	3	1	348	1	113	7.90E-25	109.8	V-type proton ATPase subunit F OS=Mus musculus GN=Atp6v1f PE=1 SV=2
417-augustus_masked-9909-CPR_4	gnl|TC-DB|C8Z8U3|3.A.16.1.2	88.4	361	42	0	1	1083	1	361	6.20E-174	606.7	Ufd1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1G1_3543g PE=4 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P32465|2.A.1.1.108	68.7	569	68	3	1	1377	1	569	7.30E-220	759.6	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P32467|2.A.1.1.30	57.2	565	131	2	4	1377	15	575	3.70E-179	624.4	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
454-maker-1706-AIE_1	gnl|TC-DB|P39004|2.A.1.1.31	57.3	562	127	3	22	1371	7	567	1.50E-175	612.5	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P13181|2.A.1.1.6	50.5	551	165	2	37	1368	23	572	2.60E-156	548.5	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
454-maker-1706-AIE_1	gnl|TC-DB|P54862|2.A.1.1.105	51.2	559	159	3	37	1371	7	565	7.50E-156	547	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P43581|2.A.1.1.5	68.5	352	111	0	253	1308	179	530	3.50E-145	511.5	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
454-maker-1706-AIE_1	gnl|TC-DB|P23585|2.A.1.1.111	65.8	374	119	1	214	1308	164	537	7.30E-143	503.8	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P39924|2.A.1.1.110	56.5	398	163	2	214	1380	166	562	1.80E-133	472.6	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|P54854|2.A.1.1.107	58	376	149	1	214	1314	169	544	1.30E-131	466.5	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|Q2MDH1|2.A.1.1.67	46.9	531	163	4	34	1296	3	524	1.70E-131	466.1	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
454-maker-1706-AIE_1	gnl|TC-DB|Q8J0U9|2.A.1.1.58	48.3	375	182	3	199	1296	155	526	1.90E-98	356.3	Monosaccharide transporter - Aspergillus niger.
454-maker-1706-AIE_1	gnl|TC-DB|Q400D8|2.A.1.1.36	45.9	375	191	3	199	1296	153	524	1.20E-92	337	Putative low affinity glucose transporter MstE - Emericella nidulans (Aspergillus nidulans).
467-maker-2381-BTV_5	gnl|TC-DB|Q07904|2.A.1.14.36	45.4	141	75	1	94	516	383	521	1.30E-31	132.9	Thiamine pathway transporter THI73 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THI73 PE=1 SV=1
475-maker-2817-CPI_4	gnl|TC-DB|P32319|9.A.63.1.1	51.2	754	320	9	1	2154	1	742	9.60E-214	740	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
512-maker-5547-BBE_6	gnl|TC-DB|P32319|9.A.63.1.1	47	434	206	5	16	1248	60	492	1.10E-105	380.2	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
516-maker-6413-CDN_4	gnl|TC-DB|P32319|9.A.63.1.1	64.9	111	32	2	10	324	745	854	8.00E-35	142.9	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
518-maker-6650-CPA_4	gnl|TC-DB|P32467|2.A.1.1.30	70.1	67	20	0	10	210	174	240	2.60E-23	104	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
518-maker-6650-CPA_4	gnl|TC-DB|P13181|2.A.1.1.6	68.7	67	21	0	10	210	174	240	2.20E-22	100.9	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
563-snap_masked-11216-CPN_4	gnl|TC-DB|P32800|3.A.20.1.5	84.9	271	41	0	1	813	1	271	1.20E-140	495.7	Peroxisomal biogenesis factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX2 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P54862|2.A.1.1.105	95.3	425	20	0	1	1275	1	425	7.70E-232	799.3	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P39004|2.A.1.1.31	69.7	422	126	1	10	1275	8	427	9.00E-172	599.7	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P32467|2.A.1.1.30	68.5	425	131	2	4	1275	11	433	7.10E-169	590.1	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
574-snap_masked-12218-ALI_5	gnl|TC-DB|P13181|2.A.1.1.6	65.2	414	142	1	34	1275	22	433	1.40E-153	539.3	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
574-snap_masked-12218-ALI_5	gnl|TC-DB|P23585|2.A.1.1.111	64.1	409	144	2	49	1275	13	418	1.30E-151	532.7	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P43581|2.A.1.1.5	62.6	420	146	2	16	1275	3	411	1.80E-151	532.3	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
574-snap_masked-12218-ALI_5	gnl|TC-DB|P32465|2.A.1.1.108	63.7	410	145	2	46	1275	22	427	6.70E-151	530.4	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|Q2MDH1|2.A.1.1.67	60.7	379	148	1	142	1275	31	409	7.90E-136	480.3	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P39924|2.A.1.1.110	50.8	429	198	5	1	1275	1	420	5.50E-121	431	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
574-snap_masked-12218-ALI_5	gnl|TC-DB|P54854|2.A.1.1.107	50.1	425	206	4	10	1275	2	423	4.40E-118	421.4	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
580-snap_masked-1649-AIE_1	gnl|TC-DB|P17064|2.A.39.2.1	75.2	250	62	0	7	756	65	314	5.70E-105	377.1	PURINE-CYTOSINE PERMEASE (PCP) (CYTOSINE/PURINE TRANSPORT PROTEIN) - Saccharomyces cerevisiae (Baker's yeast).
580-snap_masked-1649-AIE_1	gnl|TC-DB|Q708J7|2.A.39.2.3	52.6	249	115	1	4	750	48	293	2.50E-68	255.4	Putative purine-cytosine permease - Candida albicans (Yeast).
581-snap_masked-1653-AIE_1	gnl|TC-DB|P39004|2.A.1.1.31	95.2	83	4	0	1	249	1	83	1.10E-38	155.2	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
581-snap_masked-1653-AIE_1	gnl|TC-DB|P32467|2.A.1.1.30	61.8	89	28	2	1	249	1	89	2.60E-22	100.9	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
591-snap_masked-217-BFM_3	gnl|TC-DB|P15685|2.A.1.1.10	83.8	241	38	1	1	723	329	568	1.00E-119	426	Maltose permease MAL6T (Maltose transport protein MAL6T) - Saccharomyces cerevisiae (Baker's yeast).
591-snap_masked-217-BFM_3	gnl|TC-DB|P53048|2.A.1.1.11	55.6	241	106	1	1	723	335	574	6.80E-76	280.4	General alpha-glucoside permease - Saccharomyces cerevisiae (Baker's yeast).
595-snap_masked-2218-BDE_8	gnl|TC-DB|P07921|2.A.1.1.9	45.5	134	70	2	130	528	57	188	7.40E-27	117.1	Lactose permease - Kluyveromyces lactis (Yeast).
623-snap_masked-3817-CBB_4	gnl|TC-DB|P36033|5.B.1.5.3	91	346	31	0	1	1038	366	711	1.50E-185	645.2	Ferric/cupric reductase transmembrane component 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRE2 PE=1 SV=1
630-snap_masked-4255-BCN_8	gnl|TC-DB|P32568|3.A.1.205.2	67	294	97	0	1	882	1191	1484	5.10E-116	414.1	SNQ2 protein - Saccharomyces cerevisiae (Baker's yeast).
630-snap_masked-4255-BCN_8	gnl|TC-DB|P40550|3.A.1.205.8	45.3	307	167	1	4	924	1094	1399	1.70E-71	266.2	ATP-dependent permease PDR11 - Saccharomyces cerevisiae (Baker's yeast).
630-snap_masked-4255-BCN_8	gnl|TC-DB|Q08409|3.A.1.205.15	47.6	288	150	1	1	864	1083	1369	2.90E-71	265.4	ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=1 SV=1
630-snap_masked-4255-BCN_8	gnl|TC-DB|Q6FUR1|3.A.1.205.13	45.6	287	155	1	4	864	1087	1372	1.20E-69	260	ABC transporter OS=Candida glabrata GN=CgAUS1 PE=4 SV=1
633-snap_masked-4265-BCN_8	gnl|TC-DB|P15685|2.A.1.1.10	90	120	12	0	1	360	1	120	3.70E-54	207.2	Maltose permease MAL6T (Maltose transport protein MAL6T) - Saccharomyces cerevisiae (Baker's yeast).
649-snap_masked-5079-CKG_4	gnl|TC-DB|P00401|3.D.4.8.1	98.6	72	1	0	1	216	32	103	2.00E-34	141	Cytochrome c oxidase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX1 PE=1 SV=2
656-snap_masked-5627-CKN_4	gnl|TC-DB|P32319|9.A.63.1.1	51.1	188	91	1	49	609	183	370	9.30E-50	193.4	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1
664-snap_masked-6650-CPA_4	gnl|TC-DB|P43548|2.A.3.10.14	83.5	121	20	0	16	378	438	558	3.90E-54	207.2	General amino acid permease AGP3 - Saccharomyces cerevisiae (Baker's yeast).
665-snap_masked-6650-CPA_4	gnl|TC-DB|P43548|2.A.3.10.14	77.5	151	30	1	1	453	102	248	2.00E-63	238.4	General amino acid permease AGP3 - Saccharomyces cerevisiae (Baker's yeast).
666-snap_masked-6650-CPA_4	gnl|TC-DB|P32465|2.A.1.1.108	68.3	82	26	0	1	246	465	546	1.60E-28	122.1	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P39004|2.A.1.1.31	69.5	82	25	0	1	246	465	546	1.10E-27	119.4	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P13181|2.A.1.1.6	68.3	82	26	0	1	246	471	552	3.10E-27	117.9	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
666-snap_masked-6650-CPA_4	gnl|TC-DB|P54862|2.A.1.1.105	65.9	82	28	0	1	246	463	544	3.10E-27	117.9	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P32467|2.A.1.1.30	64.6	82	29	0	1	246	471	552	5.20E-27	117.1	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
666-snap_masked-6650-CPA_4	gnl|TC-DB|Q2MDH1|2.A.1.1.67	70.5	78	23	0	1	234	447	524	3.70E-25	110.9	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P43581|2.A.1.1.5	61.9	84	32	0	1	252	449	532	4.10E-24	107.5	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
666-snap_masked-6650-CPA_4	gnl|TC-DB|P23585|2.A.1.1.111	62.7	83	31	0	1	249	456	538	5.40E-24	107.1	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P39924|2.A.1.1.110	58.5	82	34	0	1	246	458	539	1.70E-22	102.1	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
666-snap_masked-6650-CPA_4	gnl|TC-DB|P54854|2.A.1.1.107	58.5	82	34	0	1	246	461	542	3.00E-22	101.3	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
685-snap_masked-8851-CQS_4	gnl|TC-DB|P40100|9.A.26.1.3	69.6	303	92	0	1	909	1	303	8.80E-113	403.3	Uncharacterized protein YER185W - Saccharomyces cerevisiae (Baker's yeast).
708-augustus_masked-CFC_2-43056	gnl|TC-DB|P40107|2.A.7.13.1	82.6	334	51	3	1	984	1	333	1.30E-146	515.8	Vanadate resistance protein GOG5/VRG4/VAN2 - Saccharomyces cerevisiae (Baker's yeast).
708-augustus_masked-CFC_2-43056	gnl|TC-DB|Q5A477|2.A.7.13.2	65	323	103	2	37	993	50	366	2.20E-109	392.1	2.A.7.13.2 GDP-mannose transporter
708-augustus_masked-CFC_2-43056	gnl|TC-DB|P0CS02|2.A.7.13.6	51.7	327	141	3	61	990	63	389	7.70E-86	313.9	GDP-mannose transporter 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=GMT1 PE=2 SV=1
708-augustus_masked-CFC_2-43056	gnl|TC-DB|P0CS04|2.A.7.13.7	50.3	336	146	4	46	990	77	412	8.60E-85	310.5	GDP-mannose transporter 2 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=GMT2 PE=2 SV=1
720-augustus_masked-CFC_2-43056	gnl|TC-DB|A3M0N3|2.A.1.1.68	57.5	525	212	7	7	1560	8	528	2.20E-159	558.9	Glucose transporter/sensor OS=Pichia stipitis GN=RGT2 PE=4 SV=1
720-augustus_masked-CFC_2-43056	gnl|TC-DB|Q2MEV7|2.A.1.1.51	57.9	513	205	6	34	1560	17	522	7.00E-158	553.9	Glucose/xylose symporter 1 - Candida intermedia.
720-augustus_masked-CFC_2-43056	gnl|TC-DB|B1PM37|2.A.1.1.64	52.2	490	223	6	25	1464	56	544	6.80E-137	484.2	Glucose sensor - Pichia angusta (Yeast) (Hansenula polymorpha).
720-augustus_masked-CFC_2-43056	gnl|TC-DB|Q12300|2.A.1.1.19	50.5	471	226	4	49	1440	95	565	1.50E-131	466.5	High-affinity glucose transporter RGT2 - Saccharomyces cerevisiae (Baker's yeast).
720-augustus_masked-CFC_2-43056	gnl|TC-DB|Q8J0V1|2.A.1.1.57	49.9	505	233	5	55	1512	17	520	1.60E-130	463	Monosaccharide transporter - Aspergillus niger.
720-augustus_masked-CFC_2-43056	gnl|TC-DB|P10870|2.A.1.1.17	50	472	228	5	28	1422	86	556	3.40E-128	455.3	High-affinity glucose transporter SNF3 OS=Saccharomyces cerevisiae GN=SNF3 PE=1 SV=3
725-augustus_masked-CPQ_4-15294	gnl|TC-DB|P48349|8.A.98.1.8	70.2	238	67	2	13	717	7	243	2.50E-87	318.5	14-3-3-like protein GF14 lambda OS=Arabidopsis thaliana GN=GRF6 PE=1 SV=1
725-augustus_masked-CPQ_4-15294	gnl|TC-DB|P63104|8.A.98.1.2	68.1	232	71	1	13	708	3	231	7.80E-81	297	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1
725-augustus_masked-CPQ_4-15294	gnl|TC-DB|P29310|8.A.98.1.1	65.9	232	76	1	13	708	6	234	6.60E-80	293.9	14-3-3 protein zeta OS=Drosophila melanogaster GN=14-3-3zeta PE=1 SV=1
725-augustus_masked-CPQ_4-15294	gnl|TC-DB|C0H4V6|8.A.98.1.3	61.2	242	88	2	1	711	7	247	8.90E-77	283.5	14-3-3 protein OS=Plasmodium falciparum (isolate 3D7) GN=PF3D7_0818200 PE=3 SV=1
729-augustus_masked-ACD_7-5647	gnl|TC-DB|J5PL79|1.A.17.5.8	83.9	936	145	2	64	2853	22	957	0	1545.8	RSN1-like protein OS=Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) GN=YMR266W PE=4 SV=1
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P39004|2.A.1.1.31	97.3	334	9	0	1	1002	237	570	1.70E-189	658.3	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P32467|2.A.1.1.30	83.5	334	55	0	1	1002	243	576	6.40E-165	576.6	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P13181|2.A.1.1.6	74.2	330	85	0	1	990	243	572	1.40E-148	522.3	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P32465|2.A.1.1.108	74.9	334	84	0	1	1002	237	570	1.40E-148	522.3	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P54862|2.A.1.1.105	72.5	335	90	1	1	999	233	567	1.30E-144	509.2	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P43581|2.A.1.1.5	69.7	310	94	0	1	930	221	530	1.40E-127	452.6	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
734-augustus_masked-AIE_1-5050	gnl|TC-DB|P23585|2.A.1.1.111	69.4	310	95	0	1	930	228	537	1.30E-125	446	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
