"panID"	"ID"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"ec"	"annotation"
"YDR304C"	"gnl|TC-DB|P49792|1.I.1.1.3"	49.7	161	79	2	36	196	3066	3224	3.1e-38	155.2	"1.I.1.1.3"	"E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2"
"YDR326C"	"gnl|TC-DB|Q06681|9.B.198.2.1"	100	1438	0	0	1	1438	1	1438	0	2530	"9.B.198.2.1"	"Membrane-anchored lipid-binding protein YSP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSP2 PE=1 SV=1"
"YDR329C"	"gnl|TC-DB|P28795|9.A.17.1.1"	100	441	0	0	1	441	1	441	4.8e-245	843.2	"9.A.17.1.1"	"Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal membrane protein PAS3) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR329C"	"gnl|TC-DB|P28795|3.A.20.1.5"	100	441	0	0	1	441	1	441	4.8e-245	843.2	"3.A.20.1.5"	"Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal membrane protein PAS3) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR335W"	"gnl|TC-DB|P52918|9.A.50.1.1"	100	1224	0	0	1	1224	1	1224	0	2447.9	"9.A.50.1.1"	"Protein MSN5 OS=Saccharomyces cerevisiae GN=MSN5 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|P39004|2.A.1.1.31"	100	570	0	0	1	570	1	570	0	1130.5	"2.A.1.1.31"	"High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|P32467|2.A.1.1.30"	82.6	576	94	2	1	570	1	576	5.1e-279	956.4	"2.A.1.1.30"	"Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR342C"	"gnl|TC-DB|P13181|2.A.1.1.6"	74.3	553	138	2	16	566	22	572	1.3e-247	852	"2.A.1.1.6"	"Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR342C"	"gnl|TC-DB|P32465|2.A.1.1.108"	73.8	554	139	2	19	570	21	570	6.9e-244	839.7	"2.A.1.1.108"	"Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|P54862|2.A.1.1.105"	71.3	561	159	1	11	569	7	567	2.7e-240	827.8	"2.A.1.1.105"	"Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|P43581|2.A.1.1.5"	68.3	530	162	2	21	546	3	530	4e-215	744.2	"2.A.1.1.5"	"Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR342C"	"gnl|TC-DB|P23585|2.A.1.1.111"	69	533	160	3	17	546	7	537	7.5e-214	740	"2.A.1.1.111"	"High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|Q2MDH1|2.A.1.1.67"	62.7	504	183	2	46	544	23	526	1.4e-188	656	"2.A.1.1.67"	"Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1"
"YDR342C"	"gnl|TC-DB|P39924|2.A.1.1.110"	61.9	509	193	1	52	559	44	552	3.5e-187	651.4	"2.A.1.1.110"	"Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|P54854|2.A.1.1.107"	62.2	498	187	1	53	549	48	545	1.9e-185	645.6	"2.A.1.1.107"	"Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1"
"YDR342C"	"gnl|TC-DB|Q8J0U9|2.A.1.1.58"	45.9	477	255	2	67	543	54	527	2.2e-120	429.5	"2.A.1.1.58"	"Monosaccharide transporter - Aspergillus niger."
"YDR343C"	"gnl|TC-DB|P39004|2.A.1.1.31"	99.8	570	1	0	1	570	1	570	0	1128.6	"2.A.1.1.31"	"High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|P32467|2.A.1.1.30"	82.6	576	94	2	1	570	1	576	5.1e-279	956.4	"2.A.1.1.30"	"Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR343C"	"gnl|TC-DB|P13181|2.A.1.1.6"	74.3	553	138	2	16	566	22	572	1.3e-247	852	"2.A.1.1.6"	"Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR343C"	"gnl|TC-DB|P32465|2.A.1.1.108"	73.8	554	139	2	19	570	21	570	6.9e-244	839.7	"2.A.1.1.108"	"Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|P54862|2.A.1.1.105"	71.3	561	159	1	11	569	7	567	3.6e-240	827.4	"2.A.1.1.105"	"Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|P43581|2.A.1.1.5"	68.3	530	162	2	21	546	3	530	4e-215	744.2	"2.A.1.1.5"	"Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR343C"	"gnl|TC-DB|P23585|2.A.1.1.111"	69	533	160	3	17	546	7	537	7.5e-214	740	"2.A.1.1.111"	"High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|Q2MDH1|2.A.1.1.67"	61.1	524	195	3	46	560	23	546	3.7e-189	657.9	"2.A.1.1.67"	"Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1"
"YDR343C"	"gnl|TC-DB|P39924|2.A.1.1.110"	61.9	509	193	1	52	559	44	552	3.5e-187	651.4	"2.A.1.1.110"	"Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|P54854|2.A.1.1.107"	62.2	498	187	1	53	549	48	545	1.9e-185	645.6	"2.A.1.1.107"	"Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1"
"YDR343C"	"gnl|TC-DB|Q8J0U9|2.A.1.1.58"	45.9	477	255	2	67	543	54	527	2.2e-120	429.5	"2.A.1.1.58"	"Monosaccharide transporter - Aspergillus niger."
"YDR345C"	"gnl|TC-DB|P32465|2.A.1.1.108"	86.1	570	76	2	1	567	1	570	3.4e-291	996.9	"2.A.1.1.108"	"Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|P32467|2.A.1.1.30"	75.6	566	134	1	2	567	15	576	8.1e-253	869.4	"2.A.1.1.30"	"Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR345C"	"gnl|TC-DB|P39004|2.A.1.1.31"	75.8	565	131	2	8	567	7	570	1.1e-249	859	"2.A.1.1.31"	"High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|P13181|2.A.1.1.6"	66	567	188	1	2	563	6	572	4.6e-224	773.9	"2.A.1.1.6"	"Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR345C"	"gnl|TC-DB|P54862|2.A.1.1.105"	66.4	559	181	2	13	564	7	565	2.4e-220	761.5	"2.A.1.1.105"	"Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|P43581|2.A.1.1.5"	69.1	486	150	0	58	543	45	530	3.1e-204	708	"2.A.1.1.5"	"Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR345C"	"gnl|TC-DB|P23585|2.A.1.1.111"	70.6	486	143	0	58	543	52	537	7e-204	706.8	"2.A.1.1.111"	"High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|Q2MDH1|2.A.1.1.67"	58.6	531	208	3	12	539	3	524	6.1e-184	640.6	"2.A.1.1.67"	"Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1"
"YDR345C"	"gnl|TC-DB|P39924|2.A.1.1.110"	55.8	541	234	3	8	544	1	540	2e-179	625.5	"2.A.1.1.110"	"Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|P54854|2.A.1.1.107"	55.3	548	233	5	8	546	1	545	2.9e-178	621.7	"2.A.1.1.107"	"Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1"
"YDR345C"	"gnl|TC-DB|Q8J0U9|2.A.1.1.58"	48.2	496	254	2	44	539	34	526	3.2e-132	468.8	"2.A.1.1.58"	"Monosaccharide transporter - Aspergillus niger."
"YDR352W"	"gnl|TC-DB|Q06328|2.A.43.2.8"	100	317	0	0	1	317	1	317	7.4e-179	622.9	"2.A.43.2.8"	"Vacuolar integral membrane protein YDR352W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR352W PE=1 SV=1"
"YDR375C"	"gnl|TC-DB|P32839|3.A.28.1.1"	100	456	0	0	1	456	1	456	7.7e-270	925.6	"3.A.28.1.1"	"Mitochondrial chaperone BCS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCS1 PE=1 SV=2"
"YDR375C"	"gnl|TC-DB|Q9Y276|3.A.28.1.5"	50	412	198	4	45	450	9	418	1.3e-120	429.9	"3.A.28.1.5"	"Mitochondrial chaperone BCS1 OS=Homo sapiens OX=9606 GN=BCS1L PE=1 SV=1"
"YDR384C"	"gnl|TC-DB|Q12359|2.A.96.1.5"	100	275	0	0	1	275	1	275	5.7e-159	556.6	"2.A.96.1.5"	"Ammonia transport outward protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATO3 PE=1 SV=1"
"YDR387C"	"gnl|TC-DB|Q04162|2.A.1.1.101"	100	555	0	0	1	555	1	555	2.1e-309	1057.4	"2.A.1.1.101"	"Probable metabolite transport protein YDR387C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR387C PE=1 SV=1"
"YDR406W"	"gnl|TC-DB|P33302|3.A.1.205.1"	74.1	1495	374	3	32	1526	30	1511	0	2255.7	"3.A.1.205.1"	"Suppressor of toxicity of sporidesmin - Saccharomyces cerevisiae (Baker's yeast)."
"YDR406W"	"gnl|TC-DB|P51533|3.A.1.205.12"	66.1	1537	477	5	33	1525	28	1564	0	2008.8	"3.A.1.205.12"	"ATP-dependent permease PDR10 OS=Saccharomyces cerevisiae GN=PDR10 PE=2 SV=1"
"YDR406W"	"gnl|TC-DB|P43071|3.A.1.205.4"	53.1	1495	673	11	34	1526	32	1500	0	1541.6	"3.A.1.205.4"	"Multidrug resistance protein CDR1 - Candida albicans (Yeast)."
"YDR406W"	"gnl|TC-DB|P78595|3.A.1.205.5"	52.3	1489	683	10	34	1520	29	1492	0	1500.7	"3.A.1.205.5"	"Multidrug resistance protein CDR2 - Candida albicans (Yeast)."
"YDR438W"	"gnl|TC-DB|Q04083|2.A.7.24.1"	100	370	0	0	1	370	1	370	5.8e-199	689.9	"2.A.7.24.1"	"Thiamine-repressible mitochondrial transport protein THI74 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR456W"	"gnl|TC-DB|Q04121|2.A.36.1.12"	100	633	0	0	1	633	1	633	0	1167.5	"2.A.36.1.12"	"Endosomal/prevacuolar sodium/hydrogen exchanger OS=Saccharomyces cerevisiae GN=NHX1 PE=1 SV=1"
"YDR457W"	"gnl|TC-DB|P46934|8.A.30.1.2"	45.2	383	205	5	2885	3265	936	1315	1.6e-90	332.8	"8.A.30.1.2"	"E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens GN=NEDD4 PE=1 SV=4"
"YDR470C"	"gnl|TC-DB|Q03327|9.B.25.1.1"	99.8	502	1	0	1	502	1	502	2.5e-290	993.8	"9.B.25.1.1"	"Mitochondrial fusion and transport protein UGO1 OS=Saccharomyces cerevisiae GN=UGO1 PE=1 SV=2"
"YDR477W"	"gnl|TC-DB|M5BEH1|9.B.106.3.1"	46.2	260	138	2	52	309	8	267	8.1e-68	255	"9.B.106.3.1"	"Salt overly sensitive 2 OS=Arabidopsis thaliana GN=sos2 PE=4 SV=1"
"YDR479C"	"gnl|TC-DB|Q03370|3.A.20.1.5"	100	554	0	0	1	554	1	554	0	1079.7	"3.A.20.1.5"	"Peroxisomal membrane protein PEX29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX29 PE=1 SV=1"
"YDR497C"	"gnl|TC-DB|P30605|2.A.1.1.8"	100	584	0	0	1	584	1	584	0	1125.9	"2.A.1.1.8"	"Myo-inositol transporter 1 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR497C"	"gnl|TC-DB|P30606|2.A.1.1.104"	75.2	576	140	1	10	582	33	608	9.9e-238	819.3	"2.A.1.1.104"	"Myo-inositol transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ITR2 PE=1 SV=2"
"YDR508C"	"gnl|TC-DB|P48813|2.A.3.10.5"	100	663	0	0	1	663	1	663	0	1264.6	"2.A.3.10.5"	"High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YDR508C"	"gnl|TC-DB|P25376|2.A.3.10.7"	66.1	643	195	4	29	663	6	633	2.1e-239	825.1	"2.A.3.10.7"	"Asparagine/glutamine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YDR508C"	"gnl|TC-DB|P38084|2.A.3.10.6"	50.6	638	282	4	26	663	5	609	5.5e-176	614.4	"2.A.3.10.6"	"LEU/VAL/ILE amino-acid permease (Branched-chain amino-acid permease 2) - Saccharomyces cerevisiae (Baker's yeast)."
"YDR508C"	"gnl|TC-DB|P41815|2.A.3.10.27"	51.5	606	260	3	58	663	33	604	1e-174	610.1	"2.A.3.10.27"	"Valine amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP3 PE=1 SV=2"
"YDR508C"	"gnl|TC-DB|P38085|2.A.3.10.9"	54.4	529	218	4	152	663	97	619	2.5e-160	562.4	"2.A.3.10.9"	"Valine/tyrosine/tryptophan amino-acid permease - Saccharomyces cerevisiae (Baker's yeast)."
"YDR508C"	"gnl|TC-DB|P19145|2.A.3.10.2"	48.1	513	262	3	152	663	93	602	3.4e-141	498.8	"2.A.3.10.2"	"General amino-acid permease GAP1 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR525W-A"	"gnl|TC-DB|P56508|9.B.12.3.3"	100	79	0	0	1	79	1	79	2.4e-41	164.1	"9.B.12.3.3"	"Protein SNA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNA2 PE=1 SV=1"
"YDR536W"	"gnl|TC-DB|P39932|2.A.1.1.38"	100	569	0	0	1	569	1	569	0	1128.2	"2.A.1.1.38"	"Sugar transporter STL1 - Saccharomyces cerevisiae (Baker's yeast)."
"YDR536W"	"gnl|TC-DB|AKU75155.2|2.A.1.1.137"	57.7	549	225	1	15	563	7	548	2.5e-185	645.2	"2.A.1.1.137"	"glycerol symporter [Wickerhamomyces anomalus]"
"YDR536W"	"gnl|TC-DB|Q5A8J5|2.A.1.1.73"	57.6	545	220	3	6	546	1	538	3.7e-181	631.3	"2.A.1.1.73"	"Putative uncharacterized protein STL1 OS=Candida albicans GN=HGT10 PE=4 SV=1"
"YEL002C"	"gnl|TC-DB|P33767|9.B.142.3.14"	100	430	0	0	1	430	1	430	3e-255	877.1	"9.B.142.3.14"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WBP1 PE=1 SV=1"
"YEL004W"	"gnl|TC-DB|P40004|2.A.7.10.5"	100	342	0	0	1	342	1	342	7.2e-196	679.5	"2.A.7.10.5"	"UDP-N-acetylglucosamine transporter YEA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEA4 PE=1 SV=1"
"YEL004W"	"gnl|TC-DB|Q00974|2.A.7.10.1"	46.1	321	166	4	9	328	8	322	1.2e-73	273.5	"2.A.7.10.1"	"UDP N-acetylglucosamine transporter (Golgi UDP-GlcNAc transporter) - Kluyveromyces lactis (Yeast)."
"YEL006W"	"gnl|TC-DB|P39953|2.A.29.10.8"	100	335	0	0	1	335	1	335	4.1e-188	653.7	"2.A.29.10.8"	"Mitochondrial nicotinamide adenine dinucleotide transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEA6 PE=1 SV=1"
"YEL006W"	"gnl|TC-DB|P40556|2.A.29.10.5"	62.5	293	104	3	39	330	78	365	8.6e-101	363.6	"2.A.29.10.5"	"Putative mitochondrial carrier YIL006W - Saccharomyces cerevisiae (Baker's yeast)."
"YEL020W-A"	"gnl|TC-DB|O74700|3.A.8.1.1"	100	87	0	0	1	87	1	87	1.9e-44	174.5	"3.A.8.1.1"	"Mitochondrial import inner membrane translocase subunit TIM9 - Saccharomyces cerevisiae (Baker's yeast)."
"YEL024W"	"gnl|TC-DB|P08067|3.D.3.3.1"	100	215	0	0	1	215	1	215	2.3e-123	438	"3.D.3.3.1"	"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIP1 PE=1 SV=1"
"YEL024W"	"gnl|TC-DB|P13272|3.D.3.2.1"	55.9	186	77	2	32	214	89	272	8e-60	226.9	"3.D.3.2.1"	"Ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial precursor (EC 1.10.2.2) (Rieske iron-sulfur protein) (RISP) [Contains: Ubiquinol-cytochrome C reductase 8 kDa protein (Complex III subunit IX)] - Bos taurus (Bovine)"
"YEL024W"	"gnl|TC-DB|P05417|3.D.3.1.1"	48.6	175	73	4	53	213	16	187	1.4e-43	172.9	"3.D.3.1.1"	"Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2) (Rieske iron-sulfur protein) (RISP) - Paracoccus denitrificans."
"YEL027W"	"gnl|TC-DB|P25515|3.A.2.2.3"	100	160	0	0	1	160	1	160	1.7e-75	278.5	"3.A.2.2.3"	"VACUOLAR ATP SYNTHASE 16 KDA PROTEOLIPID SUBUNIT (EC 3.6.1.34) - Saccharomyces cerevisiae (Baker's yeast)."
"YEL027W"	"gnl|TC-DB|Q03105|9.B.16.1.2"	65.5	148	51	0	6	153	7	154	2.2e-46	181.8	"9.B.16.1.2"	"V-type proton ATPase 16 kDa proteolipid subunit OS=Torpedo marmorata PE=1 SV=1"
"YEL027W"	"gnl|TC-DB|P63082|3.A.2.2.6"	65.5	148	51	0	6	153	8	155	3.8e-46	181	"3.A.2.2.6"	"V-type proton ATPase 16 kDa proteolipid subunit OS=Mus musculus GN=Atp6v0c PE=2 SV=1"
"YEL027W"	"gnl|TC-DB|P23380|9.B.16.1.1"	70.7	150	42	1	6	153	10	159	1e-43	172.9	"9.B.16.1.1"	"Vacuolar ATP synthase 16 kDa proteolipid subunit (EC 3.6.3.14) (Ductin) (VHA16K) - Drosophila melanogaster (Fruit fly)."
"YEL027W"	"gnl|TC-DB|P34546|3.A.2.2.7"	61.5	148	54	1	8	152	13	160	2e-39	158.7	"3.A.2.2.7"	"V-type proton ATPase 16 kDa proteolipid subunit 2/3 OS=Caenorhabditis elegans GN=vha-2 PE=2 SV=2"
"YEL027W"	"gnl|TC-DB|P32842|3.A.2.2.3"	52.9	153	70	1	6	156	12	164	2.9e-38	154.8	"3.A.2.2.3"	"PROTEOLIPID PROTEIN VMA11 - Saccharomyces cerevisiae (Baker's yeast)."
"YEL027W"	"gnl|TC-DB|Q21898|3.A.2.2.7"	56.4	149	62	1	7	152	20	168	7.9e-36	146.7	"3.A.2.2.7"	"V-type proton ATPase 16 kDa proteolipid subunit 1 OS=Caenorhabditis elegans GN=vha-1 PE=2 SV=1"
"YEL027W"	"gnl|TC-DB|P59227|3.A.2.2.5"	57.6	151	61	1	9	156	10	160	3e-35	144.8	"3.A.2.2.5"	"V-type proton ATPase 16 kDa proteolipid subunit c1/c3/c5 OS=Arabidopsis thaliana GN=VHA-C1 PE=1 SV=1"
"YEL027W"	"gnl|TC-DB|P59228|3.A.2.2.5"	57.6	151	61	1	9	156	11	161	3e-35	144.8	"3.A.2.2.5"	"V-type proton ATPase 16 kDa proteolipid subunit c2 OS=Arabidopsis thaliana GN=VHA-C2 PE=2 SV=1"
"YEL027W"	"gnl|TC-DB|P59229|3.A.2.2.5"	57	151	62	1	9	156	12	162	1.9e-34	142.1	"3.A.2.2.5"	"V-type proton ATPase 16 kDa proteolipid subunit c4 OS=Arabidopsis thaliana GN=VHA-C4 PE=2 SV=1"
"YEL027W"	"gnl|TC-DB|Q4UJ88|3.A.2.2.8"	46.9	143	74	1	11	151	21	163	7.1e-29	123.6	"3.A.2.2.8"	"Chromosome undetermined scaffold_15, whole genome shotgun sequence OS=Paramecium tetraurelia GN=vhac5 PE=3 SV=1"
"YEL030W"	"gnl|TC-DB|P0A6Y8|1.A.33.1.2"	61.8	524	195	2	29	547	4	527	2.2e-185	645.6	"1.A.33.1.2"	"Chaperone protein dnaK - Escherichia coli."
"YEL030W"	"gnl|TC-DB|Q02028|3.A.9.1.1"	55.4	549	233	3	4	550	53	591	2.1e-172	602.4	"3.A.9.1.1"	"Stromal 70 kDa heat shock-related protein, chloroplast precursor - Pisum sativum (Garden pea)."
"YEL030W"	"gnl|TC-DB|G4NXA5|1.A.33.1.4"	50.5	616	272	5	29	643	4	587	7.7e-167	583.9	"1.A.33.1.4"	"Chaperone protein DnaK OS=Bacillus subtilis subsp. spizizenii TU-B-10 GN=dnaK PE=3 SV=1"
"YEL030W"	"gnl|TC-DB|P08107|1.A.33.1.3"	47.4	625	300	11	28	635	5	617	2e-146	516.2	"1.A.33.1.3"	"Heat shock 70 kDa protein 1 (HSP70.1) (HSP70-1/HSP70-2) - Homo sapiens (Human)."
"YEL030W"	"gnl|TC-DB|P11021|1.A.33.1.6"	46.5	621	313	9	29	637	30	643	3.7e-145	511.9	"1.A.33.1.6"	"78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2"
"YEL030W"	"gnl|TC-DB|P22953|1.A.33.1.1"	51.5	505	227	6	30	521	10	509	5.8e-138	488	"1.A.33.1.1"	"HEAT SHOCK COGNATE 70 KDA PROTEIN 1 (HSC70.1) - Arabidopsis thaliana (Mouse-ear cress)."
"YEL031W"	"gnl|TC-DB|P39986|3.A.3.10.3"	100	1215	0	0	1	1215	1	1215	0	2385.5	"3.A.3.10.3"	"Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1"
"YEL034W"	"gnl|TC-DB|P63241|1.I.1.1.3"	64.2	148	53	0	8	155	7	154	8.8e-56	213	"1.I.1.1.3"	"Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2"
"YEL034W"	"gnl|TC-DB|Q9GZV4|1.I.1.1.3"	64.2	148	53	0	4	151	3	150	2.8e-54	208	"1.I.1.1.3"	"Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens GN=EIF5A2 PE=1 SV=3"
"YEL034W"	"gnl|TC-DB|Q6IS14|1.I.1.1.3"	62.8	148	55	0	8	155	7	154	6.3e-54	206.8	"1.I.1.1.3"	"Eukaryotic translation initiation factor 5A-1-like OS=Homo sapiens GN=EIF5AL1 PE=2 SV=2"
"YEL037C"	"gnl|TC-DB|S3DAG4|8.A.52.1.6"	47.7	417	164	6	2	398	1	383	4.5e-32	135.6	"8.A.52.1.6"	"Ubiquitin-like protein OS=Glarea lozoyensis (strain ATCC 20868 / MF5171) GN=GLAREA_11146 PE=4 SV=1"
"YEL051W"	"gnl|TC-DB|P32610|3.A.2.2.3"	100	256	0	0	1	256	1	256	6.9e-135	476.5	"3.A.2.2.3"	"VACUOLAR ATP SYNTHASE SUBUNIT D (EC 3.6.1.34) (V-ATPASE D SUBUNIT) (VACUOLAR PROTON PUMP D SUBUNIT) - Saccharomyces cerevisiae (Baker's yeast)."
"YEL051W"	"gnl|TC-DB|P57746|3.A.2.2.6"	50.8	258	113	5	1	256	1	246	8.9e-58	220.3	"3.A.2.2.6"	"V-type proton ATPase subunit D OS=Mus musculus GN=Atp6v1d PE=1 SV=1"
"YEL051W"	"gnl|TC-DB|P34462|3.A.2.2.7"	51.2	258	116	5	1	254	1	252	5.8e-57	217.6	"3.A.2.2.7"	"V-type proton ATPase subunit D OS=Caenorhabditis elegans GN=vha-14 PE=3 SV=1"
"YEL051W"	"gnl|TC-DB|Q9XGM1|3.A.2.2.5"	50	218	108	1	5	222	7	223	2.1e-51	199.1	"3.A.2.2.5"	"V-type proton ATPase subunit D OS=Arabidopsis thaliana GN=VHA-D PE=1 SV=2"
"YEL063C"	"gnl|TC-DB|P04817|2.A.3.10.4"	100	590	0	0	1	590	1	590	0	1170.2	"2.A.3.10.4"	"Arginine permease - Saccharomyces cerevisiae (Baker's yeast)."
"YEL063C"	"gnl|TC-DB|P38971|2.A.3.10.11"	71.7	526	147	2	67	590	48	573	2.6e-222	768.1	"2.A.3.10.11"	"Basic amino-acid permease - Saccharomyces cerevisiae (Baker's yeast)."
"YEL063C"	"gnl|TC-DB|P32487|2.A.3.10.10"	62.1	605	213	5	1	590	8	611	4.2e-212	734.2	"2.A.3.10.10"	"Lysine-specific permease - Saccharomyces cerevisiae (Baker's yeast)."
"YEL063C"	"gnl|TC-DB|P43059|2.A.3.10.20"	56.6	572	225	9	34	590	8	571	6.8e-170	594	"2.A.3.10.20"	"Lysine/arginine permease - Candida albicans (Yeast)."
"YEL064C"	"gnl|TC-DB|P39981|2.A.18.6.20"	100	480	0	0	1	480	1	480	6.4e-275	942.6	"2.A.18.6.20"	"Vacuolar amino acid transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVT2 PE=2 SV=1"
"YEL065W"	"gnl|TC-DB|P39980|2.A.1.16.1"	100	628	0	0	1	628	1	628	0	1239.6	"2.A.1.16.1"	"Hypothetical 70.6 kDa protein in HXT8-CAN1 intergenic region - Saccharomyces cerevisiae (Baker's yeast)."
"YEL065W"	"gnl|TC-DB|P38731|2.A.1.16.4"	48.3	572	280	7	54	616	58	622	1.2e-151	533.5	"2.A.1.16.4"	"Hypothetical 70.9 kDa protein in CBP2 5'region - Saccharomyces cerevisiae (Baker's yeast)."
