"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"collapsed_sign"	"Remark"	"panID_b"	"AAlength_b"	"panID_p"	"AAlength_p"	"CHECK"
"S000002169"	"YDL011C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORF YDL010W"	"Dubious"	NA	NA	"2462-YDL010W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2462-YDL010W_NumOfGenes_2"	"100"	"2462-YDL010W_NumOfGenes_2"	"100"	TRUE
"S000002181"	"YDL023C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance"	"Dubious"	NA	NA	"2474-YDL022W_NumOfGenes_2"	NA	"find panID based blast"	"2474-YDL022W_NumOfGenes_2"	"85"	"2474-YDL022W_NumOfGenes_2"	"85"	TRUE
"S000002192"	"YDL034W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps with verified gene GPR1/YDL035C; YDL034W is not an essential gene"	"Dubious"	NA	NA	"2485-YDL035C_NumOfGenes_2"	NA	"find panID based blast"	"2485-YDL035C_NumOfGenes_2"	"91"	"2485-YDL035C_NumOfGenes_2"	"91"	TRUE
"S000002199"	"YDL041W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SIR2/YDL042C"	"Dubious"	NA	NA	"2490-YDL042C_NumOfGenes_2"	NA	"find panID based blast"	"2490-YDL042C_NumOfGenes_2"	"114"	"2490-YDL042C_NumOfGenes_2"	"114"	TRUE
"S000002208"	"YDL050C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2499-YDL051W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2499-YDL051W_NumOfGenes_2"	"111"	"2499-YDL051W_NumOfGenes_2"	"111"	TRUE
"S000002226"	"YDL068W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2516-YDL069C_NumOfGenes_2"	NA	"find panID based blast"	"2516-YDL069C_NumOfGenes_2"	"103"	"2516-YDL069C_NumOfGenes_2"	"103"	TRUE
"S000002254"	"YDL096C"	"S. cerevisiae"	"OPI6"	"OverProducer of Inositol"	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene PMT1/YDL095W; YDL096C is not essential"	"Dubious"	NA	NA	"2543-YDL095W_NumOfGenes_2"	NA	"find panID based blast"	"2543-YDL095W_NumOfGenes_2"	"88"	"2543-YDL095W_NumOfGenes_2"	"88"	TRUE
"S000002276"	"YDL118W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame, unlikely to encode a protein"	"Dubious open reading frame, unlikely to encode a protein; overlaps almost completely with YDL119C; mutations that would affect both YDL118W and YDL119C confer defective telomere maintenance and are synthetically sick or lethal with alpha-synuclein"	"Dubious"	NA	NA	"2565-YDL119C_NumOfGenes_2"	NA	"find panID based blast"	"2565-YDL119C_NumOfGenes_2"	"103"	"2565-YDL119C_NumOfGenes_2"	"103"	TRUE
"S000002289"	"YDL131W"	"S. cerevisiae"	"LYS21"	"LYSine"	"Homocitrate synthase isozyme"	"Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS21 has a paralog, LYS20, that arose from the whole genome duplication"	"Verified"	"Putative homocitrate synthase involved in lysine biosynthesis; localizes to the nucleus|uniprot_proteome=UP000002311"	NA	"2627-YDL182W_NumOfGenes_2"	NA	"find panID based blast"	"2627-YDL182W_NumOfGenes_2"	"419"	"2627-YDL182W_NumOfGenes_2"	"419"	TRUE
"S000002293"	"YDL133C-A"	"S. cerevisiae"	"RPL41B"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L41B"	"Ribosomal 60S subunit protein L41B; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41B has a paralog, RPL41A, that arose from the whole genome duplication"	"Verified"	"Subunit of the cytosolic large ribosomal subunit; involved in translation|uniprot_proteome=UP000002311"	NA	"Can't find the panID"	NA	"find panID based blast"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	TRUE
"S000002310"	"YDL151C"	"S. cerevisiae"	"BUD30"	"BUD site selection"	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 96% of ORF overlaps the verified gene RPC53; diploid mutant displays a weak budding pattern phenotype in a systematic assay"	"Dubious"	NA	NA	"2596-YDL150W_NumOfGenes_2"	NA	"find panID based blast"	"2596-YDL150W_NumOfGenes_2"	"165"	"2596-YDL150W_NumOfGenes_2"	"165"	TRUE
"S000002322"	"YDL163W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CDC9/YDL164C encoding DNA ligase"	"Dubious"	NA	NA	"2610-YDL164C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2610-YDL164C_NumOfGenes_2"	"99"	"2610-YDL164C_NumOfGenes_2"	"99"	TRUE
"S000002331"	"YDL172C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2618-YDL173W_NumOfGenes_2"	NA	"find panID based blast"	"2618-YDL173W_NumOfGenes_2"	"157"	"2618-YDL173W_NumOfGenes_2"	"157"	TRUE
"S000002343"	"YDL184C"	"S. cerevisiae"	"RPL41A"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L41A"	"Ribosomal 60S subunit protein L41A; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41A has a paralog, RPL41B, that arose from the whole genome duplication"	"Verified"	"Subunit of the cytosolic large ribosomal subunit; involved in translation|uniprot_proteome=UP000002311"	NA	"Can't find the panID"	NA	"find panID based blast"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	TRUE
"S000002387"	"YDL228C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene SSB1"	"Dubious"	NA	NA	"2673-YDL229W_NumOfGenes_3"	NA	"find panID based blast"	"2673-YDL229W_NumOfGenes_3"	"210"	"2673-YDL229W_NumOfGenes_3"	"210"	TRUE
"S000002403"	"YDL244W"	"S. cerevisiae"	"THI13"	"THIamine metabolism"	"Protein involved in synthesis of the thiamine precursor HMP"	"Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP"	"Verified"	NA	NA	"3580-YFL058W_NumOfGenes_4"	NA	"find panID based blast"	"3580-YFL058W_NumOfGenes_4"	"341"	"3580-YFL058W_NumOfGenes_4"	"341"	TRUE
"S000002404"	"YDL245C"	"S. cerevisiae"	"HXT15"	"HeXose Transporter"	"Putative transmembrane polyol transporter"	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	"Verified"	NA	NA	"5065-YJR158W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"5065-YJR158W_NumOfGenes_2"	"568"	"5065-YJR158W_NumOfGenes_2"	"568"	TRUE
"S000002405"	"YDL246C"	"S. cerevisiae"	"SOR2"	NA	"Sorbitol dehydrogenase"	"Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor1p sorbitol dehydrogenase"	"Verified"	NA	NA	"5066-YJR159W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"5066-YJR159W_NumOfGenes_2"	"358"	"5066-YJR159W_NumOfGenes_2"	"358"	TRUE
"S000002407"	"YDL248W"	"S. cerevisiae"	"COS7"	"COnserved Sequence"	"Endosomal protein involved in turnover of plasma membrane proteins"	"Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	"Verified"	"Putative receptor protein; predicted to have a role in the multivesicular body sorting pathway and to localize to the endosome|uniprot_proteome=UP000002311"	NA	"6717-YNL336W_NumOfGenes_11"	"collapse"	"find panID based on not collapsed gene"	"6717-YNL336W_NumOfGenes_11"	"380"	"513-maker-5943-ACI_7"	"94"	FALSE
"S000002415"	"YDR008C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps TRP1/YDR007W on opposite strand"	"Dubious"	NA	NA	"2698-YDR007W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2698-YDR007W_NumOfGenes_2"	"88"	"2698-YDR007W_NumOfGenes_2"	"88"	TRUE
"S000002422"	"YDR015C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene HED1/YDR014W-A"	"Dubious"	NA	NA	"2705-YDR014W-A_NumOfGenes_3"	NA	"find panID based blast"	"2705-YDR014W-A_NumOfGenes_3"	"80"	"2705-YDR014W-A_NumOfGenes_3"	"80"	TRUE
"S000002446"	"YDR039C"	"S. cerevisiae"	"ENA2"	"Exitus NAtru (Latin, \"exit sodium\")"	"P-type ATPase sodium pump"	"P-type ATPase sodium pump; involved in Na+ efflux to allow salt tolerance; likely not involved in Li+ efflux"	"Verified"	NA	NA	"2730-YDR038C_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"2730-YDR038C_NumOfGenes_3"	"1092"	"2730-YDR038C_NumOfGenes_3"	"1092"	TRUE
"S000002447"	"YDR040C"	"S. cerevisiae"	"ENA1"	"Exitus NAtru (Latin, \"exit sodium\")"	"P-type ATPase sodium pump"	"P-type ATPase sodium pump; involved in Na+ and Li+ efflux to allow salt tolerance"	"Verified"	"Sodium-exporting and potassium-transporting ATPase involved in the response to hypertonicity, salt stress, pH, and glucose starvation; localizes to the plasma membrane|uniprot_proteome=UP000002311"	NA	"2730-YDR038C_NumOfGenes_3"	"collapse"	"find panID based on not collapsed gene"	"2730-YDR038C_NumOfGenes_3"	"1092"	"2730-YDR038C_NumOfGenes_3"	"1092"	TRUE
"S000002460"	"YDR053W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; open reading frame overlaps 5' end of essential DBF4 gene encoding the regulatory subunit of the Cdc7p-Dbf4p kinase complex"	"Dubious"	NA	NA	"2742-YDR052C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"2742-YDR052C_NumOfGenes_2"	"125"	"2742-YDR052C_NumOfGenes_2"	"125"	TRUE
"S000002501"	"YDR094W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF DNF2/YDR093W"	"Dubious"	NA	NA	"2783-YDR093W_NumOfGenes_2"	NA	"find panID based blast"	"2783-YDR093W_NumOfGenes_2"	"93"	"2783-YDR093W_NumOfGenes_2"	"93"	TRUE
"S000002556"	"YDR149C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene NUM1/YDR150W; null mutation blocks anaerobic growth"	"Dubious"	NA	NA	"2840-YDR150W_NumOfGenes_2"	NA	"find panID based blast"	"2840-YDR150W_NumOfGenes_2"	"211"	"2840-YDR150W_NumOfGenes_2"	"211"	TRUE
"S000002601"	"YDR193W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2886-YDR192C_NumOfGenes_2"	NA	"find panID based blast"	"2886-YDR192C_NumOfGenes_2"	"121"	"2886-YDR192C_NumOfGenes_2"	"121"	TRUE
"S000002611"	"YDR203W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF RAV2/YDR202C"	"Dubious"	NA	NA	"2896-YDR202C_NumOfGenes_2"	NA	"find panID based blast"	"2896-YDR202C_NumOfGenes_2"	"90"	"2896-YDR202C_NumOfGenes_2"	"90"	TRUE
"S000002617"	"YDR209C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved among S. cerevisiae strains; YDR209C is not an essential gene; partially overlaps uncharacterized gene YDR210W"	"Uncharacterized"	NA	NA	"2902-YDR210W_NumOfGenes_2"	NA	"find panID based blast"	"2902-YDR210W_NumOfGenes_2"	"46"	"2902-YDR210W_NumOfGenes_2"	"46"	TRUE
"S000002638"	"YDR230W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene COX20/YDR231C"	"Dubious"	NA	NA	"2922-YDR231C_NumOfGenes_2"	NA	"find panID based blast"	"2922-YDR231C_NumOfGenes_2"	"92"	"2922-YDR231C_NumOfGenes_2"	"92"	TRUE
"S000002677"	"YDR269C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"2961-YDR270W_NumOfGenes_3"	NA	"find panID based blast"	"2961-YDR270W_NumOfGenes_3"	"104"	"2961-YDR270W_NumOfGenes_3"	"104"	TRUE
"S000002679"	"YDR271C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CCC2/YDR270W"	"Dubious"	NA	NA	"2961-YDR270W_NumOfGenes_3"	NA	"find panID based blast"	"2961-YDR270W_NumOfGenes_3"	"98"	"2961-YDR270W_NumOfGenes_3"	"98"	TRUE
"S000002751"	"YDR343C"	"S. cerevisiae"	"HXT6"	"HeXose Transporter"	"High-affinity glucose transporter"	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication"	"Verified"	"Hexose transmembrane transporter; transports glucose, fructose, and mannose; putative plasma membrane protein|uniprot_proteome=UP000002311"	NA	"3035-YDR342C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3035-YDR342C_NumOfGenes_2"	"571"	"3035-YDR342C_NumOfGenes_2"	"571"	TRUE
"S000002763"	"YDR355C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified essential ORF SPC110/YDR356W"	"Dubious"	NA	NA	"3047-YDR356W_NumOfGenes_2"	NA	"find panID based blast"	"3047-YDR356W_NumOfGenes_2"	"87"	"3047-YDR356W_NumOfGenes_2"	"87"	TRUE
"S000002774"	"YDR366C"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Predicted integral membrane protein whose biological role is unknown|uniprot_proteome=UP000002311"	NA	"7845-YDRWTy2-3_NumOfGenes_13_NumOfGenes_28"	"collapse"	"find panID based on not collapsed gene"	"7844-YMRCTy1-4_NumOfGenes_31_NumOfGenes_68"	"62"	"7845-YDRWTy2-3_NumOfGenes_13_NumOfGenes_28"	"37"	FALSE
"S000002804"	"YDR396W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame unlikely to encode a functional protein"	"Dubious open reading frame unlikely to encode a functional protein; extensively overlaps essential NCB2 gene encoding the beta subunit of the NC2 dimeric histone-fold complex"	"Dubious"	NA	NA	"3090-YDR397C_NumOfGenes_2"	NA	"find panID based blast"	"3090-YDR397C_NumOfGenes_2"	"143"	"3090-YDR397C_NumOfGenes_2"	"143"	TRUE
"S000002809"	"YDR401W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3094-YDR402C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3094-YDR402C_NumOfGenes_2"	"184"	"3094-YDR402C_NumOfGenes_2"	"184"	TRUE
"S000002821"	"YDR413C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the essential uncharacterized ORF YDR412W that is implicated in rRNA processing"	"Dubious"	NA	NA	"3105-YDR412W_NumOfGenes_2"	NA	"find panID based blast"	"3105-YDR412W_NumOfGenes_2"	"169"	"3105-YDR412W_NumOfGenes_2"	"169"	TRUE
"S000002825"	"YDR417C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RPL12B/YDR418W"	"Dubious"	NA	NA	"3109-YDR418W_NumOfGenes_2"	NA	"find panID based blast"	"3109-YDR418W_NumOfGenes_2"	"103"	"3109-YDR418W_NumOfGenes_2"	"103"	TRUE
"S000002834"	"YDR426C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SNX41"	"Dubious"	NA	NA	"3116-YDR425W_NumOfGenes_2"	NA	"find panID based blast"	"3116-YDR425W_NumOfGenes_2"	"104"	"3116-YDR425W_NumOfGenes_2"	"104"	TRUE
"S000002841"	"YDR433W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"Can't find the panID"	NA	"find panID based blast"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	TRUE
"S000002850"	"YDR442W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3131-YDR443C_NumOfGenes_2"	NA	"find panID based blast"	"3131-YDR443C_NumOfGenes_2"	"121"	"3131-YDR443C_NumOfGenes_2"	"121"	TRUE
"S000002929"	"YDR521W"	"S. cerevisiae"	NA	NA	"Dubious ORF that overlaps YDR520C"	"Dubious ORF that overlaps YDR520C; mutant increases expression of PIS1 and RPL3 in glycerol"	"Dubious"	NA	NA	"3209-YDR520C_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3209-YDR520C_NumOfGenes_2"	"87"	"3209-YDR520C_NumOfGenes_2"	"87"	TRUE
"S000002934"	"YDR526C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3218-YDR527W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3218-YDR527W_NumOfGenes_2"	"150"	"3218-YDR527W_NumOfGenes_2"	"150"	TRUE
"S000002945"	"YDR537C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF PAD1/YDR538W"	"Dubious"	NA	NA	"3228-YDR538W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3228-YDR538W_NumOfGenes_2"	"186"	"3228-YDR538W_NumOfGenes_2"	"186"	TRUE
"S000002950"	"YDR542W"	"S. cerevisiae"	"PAU10"	"seriPAUperin"	"Protein of unknown function"	"Protein of unknown function; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole, while mCherry fusion localizes to the vacuole; member of the seripauperin multigene family encoded mainly in subtelomeric regions"	"Verified"	"Protein whose biological role is unknown; localizes to the vacuole|uniprot_proteome=UP000002311"	NA	"156-augustus_masked-2151-BRV_4"	NA	"find panID based blast"	"156-augustus_masked-2151-BRV_4"	"121"	"1979-YBL108C-A_NumOfGenes_18"	"43"	FALSE
"S000002951"	"YDR543C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3519-YER188C-A_NumOfGenes_9"	"collapse"	"find panID based on not collapsed gene"	"3519-YER188C-A_NumOfGenes_9"	"100"	"1521-maker-BAG_6-6327"	"23"	FALSE
"S000002953"	"YDR545W"	"S. cerevisiae"	"YRF1-1"	NA	"Helicase encoded by the Y' element of subtelomeric regions"	"Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p"	"Verified"	"DNA helicase involved in telomere maintenance via recombination|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"1797"	"662-snap_masked-643-BBP_3"	"26"	FALSE
"S000002955"	"YEL076C-A"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"5919-YLR467W_NumOfGenes_63"	"collapse"	"find panID based on not collapsed gene"	"5919-YLR467W_NumOfGenes_63"	"170"	"3309-YEL075W-A_NumOfGenes_2"	"81"	FALSE
"S000003009"	"YGL041C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3689-YGL041W-A_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3689-YGL041W-A_NumOfGenes_2"	"68"	"3689-YGL041W-A_NumOfGenes_2"	"68"	TRUE
"S000003037"	"YGL069C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 92% of ORF overlaps the uncharacterized ORF YGL068W; deletion in cyr1 mutant results in loss of stress resistance"	"Dubious"	NA	NA	"3715-YGL068W_NumOfGenes_2"	NA	"find panID based blast"	"3715-YGL068W_NumOfGenes_2"	"142"	"3715-YGL068W_NumOfGenes_2"	"142"	TRUE
"S000003044"	"YGL076C"	"S. cerevisiae"	"RPL7A"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L7A"	"Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication"	"Verified"	"Subunit of the cytosolic large ribosomal subunit; involved in maturation of the large subunit rRNA, biogenesis of the ribosomal large subunit, and translation|uniprot_proteome=UP000002311"	NA	"7547-YPL198W_NumOfGenes_3"	NA	"find panID based blast"	"7547-YPL198W_NumOfGenes_3"	"207"	"7547-YPL198W_NumOfGenes_3"	"207"	TRUE
"S000003070"	"YGL102C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame unlikely to encode a functional protein"	"Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential RPL28 gene encoding a large subunit ribosomal protein"	"Dubious"	NA	NA	"3747-YGL103W_NumOfGenes_2"	NA	"find panID based blast"	"3747-YGL103W_NumOfGenes_2"	"141"	"3747-YGL103W_NumOfGenes_2"	"141"	TRUE
"S000003100"	"YGL132W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SNT2/YGL131C"	"Dubious"	NA	NA	"3775-YGL131C_NumOfGenes_2"	NA	"find panID based blast"	"3775-YGL131C_NumOfGenes_2"	"89"	"3775-YGL131C_NumOfGenes_2"	"89"	TRUE
"S000003120"	"YGL152C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF PEX14/YGL153W"	"Dubious"	NA	NA	"3795-YGL153W_NumOfGenes_2"	NA	"find panID based blast"	"3795-YGL153W_NumOfGenes_2"	"202"	"3795-YGL153W_NumOfGenes_2"	"202"	TRUE
"S000003145"	"YGL177W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"3819-YGL178W_NumOfGenes_2"	NA	"find panID based blast"	"3819-YGL178W_NumOfGenes_2"	"116"	"3819-YGL178W_NumOfGenes_2"	"116"	TRUE
"S000003167"	"YGL199C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YIP4/YGL198W"	"Dubious"	NA	NA	"3841-YGL198W_NumOfGenes_2"	NA	"find panID based blast"	"3841-YGL198W_NumOfGenes_2"	"150"	"3841-YGL198W_NumOfGenes_2"	"150"	TRUE
"S000003182"	"YGL214W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation phenotype is likely due to the overlapping verified ORF SKI8/YGL213C"	"Dubious"	NA	NA	"3855-YGL213C_NumOfGenes_2"	NA	"find panID based blast"	"3855-YGL213C_NumOfGenes_2"	"147"	"3855-YGL213C_NumOfGenes_2"	"147"	TRUE
"S000003185"	"YGL217C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W"	"Dubious"	NA	NA	"3857-YGL216W_NumOfGenes_2"	NA	"find panID based blast"	"3857-YGL216W_NumOfGenes_2"	"98"	"3857-YGL216W_NumOfGenes_2"	"98"	TRUE
"S000003186"	"YGL218W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 93% of ORF overlaps the verified gene MDM34; deletion in cyr1 mutant results in loss of stress resistance"	"Dubious"	NA	NA	"3858-YGL219C_NumOfGenes_2"	NA	"find panID based blast"	"3858-YGL219C_NumOfGenes_2"	"202"	"3858-YGL219C_NumOfGenes_2"	"202"	TRUE
