"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"	"Reactions of gene"	"Citations"
"tL(UAG)J"	"tL(UAG)J"	617919	618019	"tL(UAG)J"	""	""	
"PXA1"	"YPL147W"	273255	275867	"PeroXisomal ABC-transporter"	""	""	
"tV(AAC)M1"	"tV(AAC)M1"	372445	372518	"tV(AAC)M1"	""	""	
"TRM3"	"YDL112W"	258915	263225	"tRna ribose methylase"	""	2.1.1.34-RXN	
"tI(AAU)I1"	"tI(AAU)I1"	183440	183513	"tI(AAU)I1"	""	""	
"ICS3"	"YJL077C"	294666	295061	"Increased Copper Sensitivity"	""	""	
"tW(CCA)G2"	"tW(CCA)G2"	878710	878815	"tW(CCA)G2"	""	""	
"TLG1"	"YDR468C"	1398026	1398700	"T-snare affecting a Late Golgi compartment"	""	""	
"tK(UUU)G2"	"tK(UUU)G2"	700953	701048	"tK(UUU)G2"	""	""	
"GCN3"	"YKR026C"	488738	489655	"General Control Nonderepressible"	""	""	
"tD(GUC)G1"	"tD(GUC)G1"	531610	531681	"tD(GUC)G1"	""	""	
"SWP1"	"YMR149W"	560996	561856	"oligosaccharyl transferase complex &delta; subunit"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"	2.4.1.119-RXN	
"SUP19"	"tS(UGA)E"	288443	288524	"SUP19"	""	""	
"AFG2"	"YLR397C"	912550	914892	"ATPase Family Gene"	""	""	
"tE(UUC)E1"	"tE(UUC)E1"	177099	177170	"tE(UUC)E1"	""	""	
"CKB1"	"YGL019W"	458156	458992	"Casein Kinase Beta subunit"	""	PROTEIN-KINASE-RXN	
"tL(UAA)D"	"tL(UAA)D"	519743	519826	"tL(UAA)D"	""	""	
"RCR1"	"YBR005W"	245906	246547	"Resistance to Congo Red"	""	""	
"tQ(UUG)C"	"tQ(UUG)C"	168301	168372	"tQ(UUG)C"	""	""	
"GLC8"	"YMR311C"	896914	897603	"GLyCogen"	""	""	
"tG(GCC)B"	"tG(GCC)B"	197629	197699	"tG(GCC)B"	""	""	
"UTP23"	"YOR004W"	333592	334356	"U Three-associated Protein"	""	""	
"tY(GUA)Q"	"tY(GUA)Q"	70824	70907	"tY(GUA)Q"	""	""	
"CBS1"	"YDL069C"	333121	333810	"Cytochrome B Synthesis"	""	""	
"tI(GAU)Q"	"tI(GAU)Q"	70162	70237	"tI(GAU)Q"	""	""	
"COS6"	"YGR295C"	1081584	1082729	"COnserved Sequence"	""	""	
"tF(GAA)Q"	"tF(GAA)Q"	77431	77505	"tF(GAA)Q"	""	""	
"TAF14"	"YPL129W"	305298	306137	"TATA binding protein-Associated Factor"	""	""	
"tQ(UUG)L"	"tQ(UUG)L"	448650	448721	"tQ(UUG)L"	""	""	
"CPR4"	"YCR069W"	239055	240011	"cyclophilin"	""	PEPTIDYLPROLYL-ISOMERASE-RXN	
"tF(GAA)P2"	"tF(GAA)P2"	622540	622631	"tF(GAA)P2"	""	""	
"IRC8"	"YJL051W"	339787	342255	"Increased Recombination Centers"	""	""	
"tW(CCA)K"	"tW(CCA)K"	302918	303023	"tW(CCA)K"	""	""	
"ADA2"	"YDR448W"	1356065	1357369	"transcriptional ADAptor"	""	""	
"tN(GUU)O1"	"tN(GUU)O1"	228331	228404	"tN(GUU)O1"	""	""	
"ECM9"	"YKR004C"	446799	448036	"ExtraCellular Mutant"	""	""	
"SUP4"	"tY(GUA)J2"	542956	543044	"SUP4"	""	""	
"CPR3"	"YML078W"	111002	111550	"cyclophilin"	""	PEPTIDYLPROLYL-ISOMERASE-RXN	
"tN(GUU)N1"	"tN(GUU)N1"	102716	102789	"tN(GUU)N1"	""	""	
"RPL2A"	"YFR031C-A"	220507	221418	"Ribosomal Protein of the Large subunit"	""	""	
"tG(GCC)J2"	"tG(GCC)J2"	531828	531898	"tG(GCC)J2"	""	""	
"RPL23A"	"YBL087C"	59822	60739	"Ribosomal Protein of the Large subunit"	""	""	
"tR(UCU)M1"	"tR(UCU)M1"	747892	747963	"tR(UCU)M1"	""	""	
"CTF3"	"YLR381W"	879723	881924	"Chromosome Transmission Fidelity"	""	""	
"tD(GUC)I2"	"tD(GUC)I2"	336349	336420	"tD(GUC)I2"	""	""	
"HSH155"	"YMR288W"	845571	848486	"Human Sap Homolog"	""	""	
"tV(AAC)G2"	"tV(AAC)G2"	823482	823555	"tV(AAC)G2"	""	""	
"NOP8"	"YOL144W"	53098	54552	"NucleOlar Protein"	""	""	
"tK(CUU)G2"	"tK(CUU)G2"	185714	185786	"tK(CUU)G2"	""	""	
"MTF2"	"YDL044C"	373967	375289	"Mitochondrial Transcription Factor"	""	""	
"tA(AGC)G"	"tA(AGC)G"	774349	774421	"tA(AGC)G"	""	""	
"MAM3"	"YOL060C"	214017	216137	"MAM3"	""	""	
"tR(ACG)E"	"tR(ACG)E"	492352	492424	"tR(ACG)E"	""	""	
"HUA1"	"YGR268C"	1026057	1026653	"HUA1"	""	""	
"tX(XXX)D"	"tX(XXX)D"	1150842	1150941	"tX(XXX)D"	""	""	
"GDE1"	"YPL110C"	341068	344739	"glycerophosphocholine phosphodiesterase"	"phosphatidylcholine resynthesis via glycerophosphocholine" // "phospholipid remodeling (phosphatidylethanolamine)" // "glycerophosphodiester degradation"	3.1.4.2-RXN // "glycerophosphorylethanolamine phosphodiesterase" // GLYCPDIESTER-RXN // RXN-14073	
"tK(CUU)D2"	"tK(CUU)D2"	1352466	1352538	"tK(CUU)D2"	""	""	
"MAL32"	"YBR299W"	805351	807105	"maltase"	""	RXN-15910 // RXN0-5183 // MALTODEXGLUCOSID-RXN	
"tM(CAU)C"	"tM(CAU)C"	149920	149991	"tM(CAU)C"	""	""	
"RRN7"	"YJL025W"	393967	395511	"Regulation of RNA polymerase I"	""	""	
"tD(GUC)B"	"tD(GUC)B"	405960	406031	"tD(GUC)B"	""	""	
"ARO80"	"YDR421W"	1312040	1314892	"AROmatic amino acid requiring"	""	""	
"tT(UAG)Q2"	"tT(UAG)Q2"	78162	78089	"tT(UAG)Q2"	""	""	
"LOS1"	"YKL205W"	50051	53353	"Loss Of Suppression"	""	""	
"SUF7"	"tP(UGG)M"	196068	196170	"SUF7"	""	""	
"TAL1"	"YLR354C"	836350	837357	"transaldolase"	"pentose phosphate pathway" // "pentose phosphate pathway (non-oxidative branch)"	TRANSALDOL-RXN	
"tC(GCA)Q"	"tC(GCA)Q"	64415	64490	"tC(GCA)Q"	""	""	
"PHO4"	"YFR034C"	225020	225958	"PHOsphate metabolism"	""	""	
"tL(UAG)L2"	"tL(UAG)L2"	732090	732190	"tL(UAG)L2"	""	""	
"YEL1"	"YBL060W"	107932	109995	"Yeast EFA6-Like"	""	""	
"tC(GCA)P2"	"tC(GCA)P2"	775765	775836	"tC(GCA)P2"	""	""	
"VPS38"	"YLR360W"	846103	847422	"Vacuolar Protein Sorting"	""	""	
"TRT2"	"tT(CGU)K"	46735	46806	"TRna thR 2"	"tRNA charging"	""	
"TMA23"	"YMR269W"	804456	805091	"Translation Machinery Associated"	""	""	
"tK(UUU)O"	"tK(UUU)O"	438643	438738	"tK(UUU)O"	""	""	
"RPS19A"	"YOL121C"	92026	92850	"Ribosomal Protein of the Small subunit"	""	""	
"tV(AAC)J"	"tV(AAC)J"	378360	378433	"tV(AAC)J"	""	""	
"ERP3"	"YDL018C"	422833	423510	"Emp24p/Erv25p Related Protein"	""	""	
"tI(AAU)N2"	"tI(AAU)N2"	602312	602385	"tI(AAU)N2"	""	""	
"PRE6"	"YOL038W"	255337	256101	"PRoteinase yscE"	""	3.4.25.1-RXN	
"tD(GUC)J4"	"tD(GUC)J4"	541508	541579	"tD(GUC)J4"	""	""	
"YAP1802"	"YGR241C"	974875	976581	"Yeast Assembly Polypeptide"	""	""	
"tV(AAC)H"	"tV(AAC)H"	85298	85371	"tV(AAC)H"	""	""	
"YPL088W"	"YPL088W"	381965	382993	"YPL088W"	""	""	
"tT(UGU)G1"	"tT(UGU)G1"	661749	661820	"tT(UGU)G1"	""	""	
"TYR1"	"YBR166C"	569842	571200	"prephenate dehydrogenase (NADP+)"	"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis" // "tyrosine biosynthesis"	PREPHENATE-DEHYDROGENASE-NADP+-RXN	
"tH(GUG)G2"	"tH(GUG)G2"	319781	319852	"tH(GUG)G2"	""	""	
"PAU15"	"YIR041W"	433929	434303	"seriPAUperin"	""	""	
"tS(GCU)F"	"tS(GCU)F"	191513	191613	"tS(GCU)F"	""	""	
"UTP5"	"YDR398W"	1267471	1269402	"U Three Protein"	""	""	
"IMT4"	"tM(CAU)E"	100133	100204	"Initiator Methionine tRNA"	""	""	
"ASH1"	"YKL185W"	94499	96265	"Asymmetric Synthesis of HO"	""	""	
"tT(AGU)D"	"tT(AGU)D"	434264	434336	"tT(AGU)D"	""	""	
"VPS34"	"YLR240W"	617533	620160	"phosphatidylinositol 3-kinase"	"phosphatidylinositol phosphate biosynthesis" // "3-phosphoinositide biosynthesis"	1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	
"tI(AAU)D"	"tI(AAU)D"	668007	668080	"tI(AAU)D"	""	""	
"GCN20"	"YFR009W"	162488	164746	"General Control Nonderepressible"	""	""	
"SUF16"	"tG(GCC)C"	142701	142771	"SUppression of Frameshift mutation"	""	""	
"APL3"	"YBL037W"	147209	150286	"clathrin Adaptor Protein complex Large chain"	""	""	
"TRN1"	"tP(UGG)A"	139152	139254	"TRNA"	""	""	
"MID2"	"YLR332W"	790676	791806	"Mating pheromone-Induced Death"	""	""	
"tS(GCU)Q1"	"tS(GCU)Q1"	69203	69288	"tS(GCU)Q1"	""	""	
"YHM2"	"YMR241W"	751961	752905	"Yeast suppressor of HM mutant"	""	""	
"tK(CUU)M"	"tK(CUU)M"	480621	480693	"tK(CUU)M"	""	""	
"PKH2"	"YOL100W"	129237	132482	"Pkb-activating Kinase Homolog"	""	PROTEIN-KINASE-RXN	
"tT(UGU)P"	"tT(UGU)P"	744284	744355	"tT(UGU)P"	""	""	
"HBN1"	"YCL026C-B"	73405	73986	"Homologous to Bacterial Nitroreductases"	""	""	
"tL(CAA)L"	"tL(CAA)L"	628383	628497	"tL(CAA)L"	""	""	
"CMK2"	"YOL016C"	294777	296120	"CalModulin dependent protein Kinase"	""	PROTEIN-KINASE-RXN	
"SUP3"	"tY(GUA)O"	288192	288280	"SUP3"	""	""	
"MRPL9"	"YGR220C"	936074	936883	"Mitochondrial Ribosomal Protein, Large subunit"	""	""	
"tN(GUU)K"	"tN(GUU)K"	74624	74697	"tN(GUU)K"	""	""	
"MFM1"	"YPL060W"	434523	435764	"Mrs2 Function Modulating factor"	""	""	
"tG(GCC)O1"	"tG(GCC)O1"	226611	226681	"tG(GCC)O1"	""	""	
"MNN2"	"YBR015C"	267710	269503	"alpha-1,2-mannosyltransferase"	""	""	
"tR(UCU)J2"	"tR(UCU)J2"	374506	374577	"tR(UCU)J2"	""	""	
"DSN1"	"YIR010W"	375431	377161	"Dosage Suppressor of NNF1"	""	""	
"tF(GAA)N"	"tF(GAA)N"	374869	374959	"tF(GAA)N"	""	""	
"RGA2"	"YDR379W"	1230167	1233196	"Rho GTPase Activating Protein"	""	""	
"tD(GUC)J1"	"tD(GUC)J1"	204735	204806	"tD(GUC)J1"	""	""	
"PIR3"	"YKL163W"	144401	145378	"Protein containing Internal Repeats"	""	""	
"tS(AGA)H"	"tS(AGA)H"	133026	133107	"tS(AGA)H"	""	""	
"AHP1"	"YLR109W"	368781	369311	"alkyl hydroperoxide reductase"	""	RXN0-5468 // 1.11.1.15-RXN // R4-RXN	
"tR(UCU)G2"	"tR(UCU)G2"	828723	828794	"tR(UCU)G2"	""	""	
"WWM1"	"YFL010C"	115108	115743	"WW domain containing protein interacting with Metacaspase"	""	""	
"tG(GCC)G2"	"tG(GCC)G2"	930953	931023	"tG(GCC)G2"	""	""	
"PEP1"	"YBL017C"	186844	191583	"carboxyPEPtidase Y-deficient"	""	""	
"tK(CUU)F"	"tK(CUU)F"	226688	226760	"tK(CUU)F"	""	""	
"UBC12"	"YLR306W"	744151	744851	"UBiquitin-Conjugating"	""	""	
"tI(AAU)E2"	"tI(AAU)E2"	551285	551358	"tI(AAU)E2"	""	""	
"tS(AGA)D1"	"tS(AGA)D1"	437772	437853	"tS(AGA)D1"	""	""	
"UBP8"	"YMR223W"	716715	718130	"UBiquitin-specific processing Protease"	""	""	
"SUF3"	"tG(CCC)D"	1257008	1257079	"SUppression of Frameshift mutation"	""	""	
"tT(AGU)B"	"tT(AGU)B"	266378	266450	"tT(AGU)B"	""	""	
"BRX1"	"YOL077C"	185848	186723	"Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog"	""	""	
"tQ(UUG)Q"	"tQ(UUG)Q"	66210	66285	"tQ(UUG)Q"	""	""	
"tF(GAA)M"	"tF(GAA)M"	352280	352370	"tF(GAA)M"	""	""	
"FIG2"	"YCR089W"	267434	272263	"Factor-Induced Gene"	""	""	
"IMT2"	"tM(CAU)P"	338848	338919	"Initiator Methionine tRNA"	""	""	
"tI(AAU)L2"	"tI(AAU)L2"	1052071	1052144	"tI(AAU)L2"	""	""	
"DGR1"	"YNL130C-A"	381245	381391	"2-Deoxy-Glucose Resistant 1"	""	""	
"tT(AGU)O1"	"tT(AGU)O1"	113802	113874	"tT(AGU)O1"	""	""	
"tK(UUU)K"	"tK(UUU)K"	578965	579060	"tK(UUU)K"	""	""	
"FYV8"	"YGR196C"	889733	892186	"Function required for Yeast Viability"	""	""	
"tA(UGC)O"	"tA(UGC)O"	854187	854259	"tA(UGC)O"	""	""	
"tR(ACG)J"	"tR(ACG)J"	233939	234011	"tR(ACG)J"	""	""	
"EGD1"	"YPL037C"	481428	481901	"Enhancer of Gal4 DNA binding"	""	""	
"SUP5"	"tY(GUA)M1"	168795	168883	"SUP5"	""	""	
"tT(AGU)I1"	"tT(AGU)I1"	175031	175103	"tT(AGU)I1"	""	""	
"CDC19"	"YAL038W"	71786	73288	"pyruvate kinase"	"glycolysis" // "glycolysis III (from glucose)"	PEPDEPHOS-RXN	
"tH(GUG)H"	"tH(GUG)H"	62755	62826	"tH(GUG)H"	""	""	
"tL(GAG)G"	"tL(GAG)G"	700675	700756	"tL(GAG)G"	""	""	
"IMP2'"	"YIL154C"	53981	55021	"Independent of Mitochondria1 Particle"	""	""	
"tE(UUC)G3"	"tE(UUC)G3"	541850	541921	"tE(UUC)G3"	""	""	
"tF(GAA)F"	"tF(GAA)F"	157916	158007	"tF(GAA)F"	""	""	
"CNL1"	"YDR357C"	1189199	1189567	"CNo-Like"	""	""	
"tH(GUG)E1"	"tH(GUG)E1"	207357	207428	"tH(GUG)E1"	""	""	
"tQ(UUG)D3"	"tQ(UUG)D3"	802731	802802	"tQ(UUG)D3"	""	""	
"CMC1"	"YKL137W"	185957	186292	"Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase"	""	""	
"tD(GUC)D"	"tD(GUC)D"	568964	569035	"tD(GUC)D"	""	""	
"tQ(UUG)B"	"tQ(UUG)B"	350827	350898	"tQ(UUG)B"	""	""	
"YSR3"	"YKR053C"	534067	535281	"sphingoid base phosphate phosphatase"	"sphingolipid recycling and degradation (yeast)"	"sphingoid base phosphate phosphatase" // "dihydrosphingosine phosphatase"	
"tM(CAU)Q2"	"tM(CAU)Q2"	85035	85112	"tM(CAU)Q2"	""	""	
"tA(AGC)M2"	"tA(AGC)M2"	768369	768441	"tA(AGC)M2"	""	""	
"RIM15"	"YFL033C"	69115	74427	"Regulator of IME2"	""	PROTEIN-KINASE-RXN	
"tI(AAU)P2"	"tI(AAU)P2"	880296	880369	"tI(AAU)P2"	""	""	
"tD(GUC)L2"	"tD(GUC)L2"	793918	793989	"tD(GUC)L2"	""	""	
"FUN19"	"YAL034C"	80710	81951	"Function Unknown Now"	""	""	
"tP(UGG)O3"	"tP(UGG)O3"	980683	980787	"tP(UGG)O3"	""	""	
"tE(UUC)K"	"tE(UUC)K"	141018	141089	"tE(UUC)K"	""	""	
"PIG1"	"YLR273C"	689083	691029	"Protein Interacting with Gsy2p"	""	""	
"tP(UGG)N2"	"tP(UGG)N2"	568115	568217	"tP(UGG)N2"	""	""	
"EMT5"	"tM(CAU)J1"	391043	391115	"Elongator MeThionine-accepting tRNA"	""	""	
"ROT1"	"YMR200W"	664752	665522	"Reversal Of Tor2 lethality"	""	""	
"tV(AAC)M2"	"tV(AAC)M2"	420588	420661	"tV(AAC)M2"	""	""	
"tI(AAU)I2"	"tI(AAU)I2"	210665	210738	"tI(AAU)I2"	""	""	
"TAH1"	"YCR060W"	224399	224734	"Tpr-containing protein Associated with Hsp90"	""	""	
"tA(AGC)H"	"tA(AGC)H"	146242	146314	"tA(AGC)H"	""	""	
"tL(CAA)G1"	"tL(CAA)G1"	205521	205634	"tL(CAA)G1"	""	""	
"ESF2"	"YNR054C"	723356	724306	"Eighteen S rRNA Factor 2"	""	""	
"tD(GUC)G2"	"tD(GUC)G2"	544577	544648	"tD(GUC)G2"	""	""	
"tV(AAC)E1"	"tV(AAC)E1"	438700	438773	"tV(AAC)E1"	""	""	
"CLC1"	"YGR167W"	832456	833157	"Clathrin Light Chain"	""	""	
"tE(UUC)E2"	"tE(UUC)E2"	354934	355005	"tE(UUC)E2"	""	""	
"EMT1"	"tM(CAU)D"	1175829	1175901	"Elongator MeThionine-accepting tRNA"	""	""	
"HST2"	"YPL015C"	525810	526883	"Homolog of SIR Two (SIR2)"	""	""	
"SUP61"	"tS(CGA)C"	227942	228042	"SUPpressor"	""	""	
"tI(AAU)B"	"tI(AAU)B"	197494	197567	"tI(AAU)B"	""	""	
"THI12"	"YNL332W"	14832	15854	MONOMER3O-9140	"superpathway of thiamin diphosphate biosynthesis III (eukaryotes)" // "4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis"	RXN3O-3797	
"tK(UUU)Q"	"tK(UUU)Q"	67061	67134	"tK(UUU)Q"	""	""	
"tX(XXX)L"	"tX(XXX)L"	784354	784453	"tX(XXX)L"	""	""	
"VHS2"	"YIL135C"	95065	96375	"Viable in a Hal3 Sit4 background"	""	""	
"tG(UCC)Q"	"tG(UCC)Q"	67468	67542	"tG(UCC)Q"	""	""	
"tR(ACG)L"	"tR(ACG)L"	374355	374427	"tR(ACG)L"	""	""	
"SWR1"	"YDR334W"	1135932	1140476	"Sick With Rat8 ts"	""	""	
"tG(GCC)P1"	"tG(GCC)P1"	572269	572339	"tG(GCC)P1"	""	""	
"tA(AGC)L"	"tA(AGC)L"	656934	657006	"tA(AGC)L"	""	""	
"ABF1"	"YKL112W"	226570	228765	"ARS-Binding Factor 1"	""	""	
"tN(GUU)O2"	"tN(GUU)O2"	487439	487512	"tN(GUU)O2"	""	""	
"tA(AGC)K1"	"tA(AGC)K1"	219895	219967	"tA(AGC)K1"	""	""	
"RMA1"	"YKL132C"	193574	194866	"folyl-polyglutamate synthase"	"folate polyglutamylation"	FOLYLPOLYGLUTAMATESYNTH-RXN // FORMYLTHFGLUSYNTH-RXN // RXN0-2921	
"tN(GUU)N2"	"tN(GUU)N2"	632599	632672	"tN(GUU)N2"	""	""	
"tK(CUU)J"	"tK(CUU)J"	414966	415038	"tK(CUU)J"	""	""	
"AGP3"	"YFL055W"	17004	18680	"high-Affinity Glutamine Permease"	""	""	
"tR(UCU)M2"	"tR(UCU)M2"	131825	131896	"tR(UCU)M2"	""	""	
"tE(CUC)I"	"tE(CUC)I"	197592	197663	"tE(CUC)I"	""	""	
"NUP60"	"YAR002W"	152257	153876	"NUclear Pore"	""	""	
"tV(AAC)G3"	"tV(AAC)G3"	73829	73902	"tV(AAC)G3"	""	""	
"tK(CUU)G3"	"tK(CUU)G3"	876394	876466	"tK(CUU)G3"	""	""	
"APE1"	"YKL103C"	246138	247682	"vacuolar aminopeptidase ysc1"	""	3.4.11.22-RXN	
"tA(UGC)G"	"tA(UGC)G"	794417	794489	"tA(UGC)G"	""	""	
"tR(UCU)E"	"tR(UCU)E"	138666	138737	"tR(UCU)E"	""	""	
"SNZ3"	"YFL059W"	11363	12259	"SNooZe"	""	""	
"SUP2"	"tY(GUA)D"	946312	946400	"SUP2"	""	""	
"tK(UUU)D"	"tK(UUU)D"	359577	359672	"tK(UUU)D"	""	""	
"BDH2"	"YAL061W"	33448	34701	"BDH2"	""	""	
"tN(GUU)C"	"tN(GUU)C"	127716	127789	"tN(GUU)C"	""	""	
"tE(UUC)B"	"tE(UUC)B"	645167	645238	"tE(UUC)B"	""	""	
"FAR10"	"YLR238W"	614755	616191	"Factor ARrest"	""	""	
"tV(UAC)Q"	"tV(UAC)Q"	78533	78608	"tV(UAC)Q"	""	""	
"tD(GUC)Q"	"tD(GUC)Q"	68322	68396	"tD(GUC)Q"	""	""	
"SIP18"	"YMR175W"	611016	611255	"Salt Induced Protein"	""	""	
"tN(GUU)L"	"tN(GUU)L"	975983	976056	"tN(GUU)L"	""	""	
"tE(UUC)P"	"tE(UUC)P"	210192	210263	"tE(UUC)P"	""	""	
"FEN2"	"YCR028C"	170886	172424	"FENpropimorph resistance"	""	""	
"tV(AAC)K1"	"tV(AAC)K1"	308144	308217	"tV(AAC)K1"	""	""	
"IMT1"	"tM(CAU)O1"	710201	710272	"Initiator Methionine tRNA"	""	""	
"SEC12"	"YNR026C"	673274	674689	"SECretory"	""	""	
"tW(CCA)J"	"tW(CCA)J"	415931	416036	"tW(CCA)J"	""	""	
"tL(CAA)N"	"tL(CAA)N"	443006	443119	"tL(CAA)N"	""	""	
"TPO2"	"YGR138C"	763762	765606	"Transporter of POlyamines"	""	""	
"tE(UUC)J"	"tE(UUC)J"	115939	116010	"tE(UUC)J"	""	""	
"tV(CAC)H"	"tV(CAC)H"	475706	475778	"tV(CAC)H"	""	""	
"MHF1"	"YOL086W-A"	159173	159445	"Mph1-associated Histone-Fold protein"	""	""	
"tT(UGU)G2"	"tT(UGU)G2"	1004216	1004287	"tT(UGU)G2"	""	""	
"tI(AAU)G"	"tI(AAU)G"	739122	739195	"tI(AAU)G"	""	""	
"SDP1"	"YIL113W"	150559	151188	"Stress-inducible Dual specificity Phosphatase"	""	PROTEIN-TYROSINE-PHOSPHATASE-RXN	
"SUP11"	"tY(GUA)F1"	167437	167525	"SUP11"	""	""	
"tQ(UUG)E1"	"tQ(UUG)E1"	250286	250357	"tQ(UUG)E1"	""	""	
"TFB1"	"YDR311W"	1085065	1086993	"Transcription initiation Factor IIB"	""	""	
"tV(CAC)D"	"tV(CAC)D"	1075472	1075544	"tV(CAC)D"	""	""	
"tI(UAU)D"	"tI(UAU)D"	884361	884493	"tI(UAU)D"	""	""	
"AI3"	"Q0060"	13818	19996	"AI3"	""	""	
"tK(CUU)C"	"tK(CUU)C"	151284	151356	"tK(CUU)C"	""	""	
"tS(AGA)A"	"tS(AGA)A"	182522	182603	"tS(AGA)A"	""	""	
"RRP14"	"YKL082C"	281025	282329	"Ribosomal RNA Processing"	""	""	
"tS(UGA)Q2"	"tS(UGA)Q2"	48201	48290	"tS(UGA)Q2"	""	""	
"tL(CAA)M"	"tL(CAA)M"	504895	505008	"tL(CAA)M"	""	""	
"MNS1"	"YJR131W"	667644	669293	"mannosyl-oligosaccharide 1,2-&alpha;-mannosidase"	"protein <i>N</i>-glycosylation (yeast) processing in the ER"	RXN-18909	
"tW(CCA)P"	"tW(CCA)P"	56169	56274	"tW(CCA)P"	""	""	
"tL(UAA)L"	"tL(UAA)L"	962972	963055	"tL(UAA)L"	""	""	
"SBH1"	"YER087C-B"	332582	332830	"Sec61 beta homolog 1"	""	""	
"tA(AGC)P"	"tA(AGC)P"	856902	856974	"tA(AGC)P"	""	""	
"tR(ACG)K"	"tR(ACG)K"	490968	491040	"tR(ACG)K"	""	""	
"FUN12"	"YAL035W"	76427	79435	"Function Unknown Now"	""	""	
"SUF17"	"tG(GCC)O2"	282164	282234	"SUF17"	""	""	
"tS(AGA)J"	"tS(AGA)J"	524012	524093	"tS(AGA)J"	""	""	
"CRR1"	"YLR213C"	566654	567922	"CRH-Related"	""	""	
"SUF6"	"tG(UCC)N"	96241	96312	"SUF6"	""	""	
"tD(GUC)J2"	"tD(GUC)J2"	355456	355527	"tD(GUC)J2"	""	""	
"RIM13"	"YMR154C"	565999	568182	"Regulator of IME2"	""	""	
"tT(AGU)H"	"tT(AGU)H"	116107	116179	"tT(AGU)H"	""	""	
"tR(UCU)G3"	"tR(UCU)G3"	736340	736411	"tR(UCU)G3"	""	""	
"YCR007C"	"YCR007C"	126011	126730	"YCR007C"	""	""	
"SUF4"	"tG(UCC)G"	779616	779687	"SUF4"	""	""	
"tN(GUU)F"	"tN(GUU)F"	137486	137559	"tN(GUU)F"	""	""	
"YRF1-6"	"YNL339C"	371	6098	"YRF1-6"	""	""	
"tK(CUU)E1"	"tK(CUU)E1"	135425	135497	"tK(CUU)E1"	""	""	
"tS(AGA)D2"	"tS(AGA)D2"	980974	981055	"tS(AGA)D2"	""	""	
"DAM1"	"YGR113W"	718893	719924	"Duo1 And Mps1 interacting"	""	""	
"tG(GCC)D1"	"tG(GCC)D1"	83548	83618	"tG(GCC)D1"	""	""	
"tV(UAC)B"	"tV(UAC)B"	326792	326865	"tV(UAC)B"	""	""	
"RPS12"	"YOR369C"	1028194	1028625	"Ribosomal Protein of the Small subunit"	""	""	
"tA(UGC)A"	"tA(UGC)A"	166267	166339	"tA(UGC)A"	""	""	
"tR(ACG)Q2"	"tR(ACG)Q2"	69289	69362	"tR(ACG)Q2"	""	""	
"AVT7"	"YIL088C"	197931	199403	"Amino acid Vacuolar Transport"	""	""	
"tG(GCC)M"	"tG(GCC)M"	183898	183968	"tG(GCC)M"	""	""	
"tN(GUU)P"	"tN(GUU)P"	810676	810749	"tN(GUU)P"	""	""	
"RTT103"	"YDR289C"	1038280	1039509	"Regulator of Ty1 Transposition"	""	""	
"tI(UAU)L"	"tI(UAU)L"	605300	605432	"tI(UAU)L"	""	""	
"tT(AGU)O2"	"tT(AGU)O2"	354041	354113	"tT(AGU)O2"	""	""	
"HPA2"	"YPR193C"	922909	923379	"Histone and other Protein Acetyltransferase"	""	HISTONE-ACETYLTRANSFERASE-RXN	
"tL(CAA)K"	"tL(CAA)K"	458557	458670	"tL(CAA)K"	""	""	
"tD(GUC)O"	"tD(GUC)O"	571958	572029	"tD(GUC)O"	""	""	
"NUP120"	"YKL057C"	330856	333969	"NUclear Pore"	""	""	
"HSX1"	"tR(CCU)J"	538555	538626	"HSX1"	""	""	
"SUP8"	"tY(GUA)M2"	837928	838016	"SUP8"	""	""	
"MNN5"	"YJL186W"	80155	81915	"alpha-1,2-mannosyltransferase"	""	""	
"tT(AGU)I2"	"tT(AGU)I2"	325748	325820	"tT(AGU)I2"	""	""	
"SUF8"	"tP(UGG)H"	388893	388995	"SUF8"	""	""	
"CCA1"	"YER168C"	521029	522669	"tRNA CCA-pyrophosphorylase"	""	TRNA-CYTIDYLYLTRANSFERASE-RXN	
"tN(GUU)G"	"tN(GUU)G"	731137	731210	"tN(GUU)G"	""	""	
"tF(GAA)G"	"tF(GAA)G"	440716	440807	"tF(GAA)G"	""	""	
"TPD3"	"YAL016W"	124879	126786	"tRNA Processing Deficient"	""	""	
"SUF20"	"tG(GCC)F1"	162228	162298	"SUF20"	""	""	
"tH(GUG)E2"	"tH(GUG)E2"	434541	434612	"tH(GUG)E2"	""	""	
"PEX13"	"YLR191W"	537272	538432	"PEroXin"	""	""	
"tR(ACG)D"	"tR(ACG)D"	619969	620041	"tR(ACG)D"	""	""	
"tE(CUC)D"	"tE(CUC)D"	1017207	1017278	"tE(CUC)D"	""	""	
"JLP2"	"YMR132C"	534944	535570	"dnaJ-Like Protein"	""	""	
"tR(UCU)B"	"tR(UCU)B"	405878	405949	"tR(UCU)B"	""	""	
