"Gene.Name"	"Accession.1"	"gene_standard_name"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"ec"	"reaction_biocyc"
"PES4"	"YFR023W"	"YFR023W"	199874	201709	"Polymerase Epsilon Suppressor"	NA	NA	NA
"PIN4"	"YBL051C"	"YBL051C"	122753	124759	"Psi+ INducibility"	NA	NA	NA
"YLR345W"	"YLR345W"	"YLR345W"	820511	822040	"putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"	"fructose 2,6-bisphosphate biosynthesis"	"3.1.3.46"	"beta-D-fructose 2,6-bisphosphate + H2O => beta-D-fructofuranose 6-phosphate + phosphate"
"ROY1"	"YMR258C"	"YMR258C"	782620	784281	"Repressor Of Ypt52"	NA	NA	NA
"MSB4"	"YOL112W"	"YOL112W"	106710	108188	"Multicopy Suppression of a Budding defect"	NA	NA	NA
"RPT2"	"YDL007W"	"YDL007W"	438047	439360	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	NA	NA	NA
"MDM38"	"YOL027C"	"YOL027C"	272003	273724	"Mitochondrial Distribution and Morphology"	NA	NA	NA
"NAS6"	"YGR232W"	"YGR232W"	953960	954646	"Non-ATPase Subunit 6"	NA	NA	NA
"ATP4"	"YPL078C"	"YPL078C"	408010	408744	"ATP synthase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	NA	"ADP + phosphate + 4 H+[out] <=> ATP + H2O + 3 H+[in]"
"MIS1"	"MIS1"	"YBR084W"	411054	413981	"mitochondrial C1-tetrahydrofolate synthase"	"folate polyglutamylation // superpathway of tetrahydrofolate biosynthesis and salvage // folate interconversions // folate transformations // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // formate assimilation into 5,10-methylenetetrahydrofolate"	NA	"a 5,10-methenyltetrahydrofolate + H2O <=> an N10-formyl-tetrahydrofolate + H+;a 5,10-methylene-tetrahydrofolate + NADP+ <=> a 5,10-methenyltetrahydrofolate + NADPH;a tetrahydrofolate + ATP + formate => an N10-formyl-tetrahydrofolate + ADP + phosphate"
"MND2"	"YIR025W"	"YIR025W"	403659	404765	"Meiotic Nuclear Divisions"	NA	NA	NA
"SAC7"	"YDR389W"	"YDR389W"	1252537	1254501	"Suppressor of ACtin"	NA	NA	NA
"TPO5"	"YKL174C"	"YKL174C"	120380	122236	"Transporter of POlyamines"	NA	NA	NA
"ATG26"	"ATG26"	"YLR189C"	530797	534393	"Udp-glycosyltransferase"	NA	NA	"UDP-alpha-D-glucose + a sterol => a sterol 3-beta-D-glucoside + UDP + H+"
"NIC96"	"YFR002W"	"YFR002W"	150016	152535	"Nucleoporin-Interacting Component of 96 kDa"	NA	NA	NA
"RPL19B"	"YBL027W"	"YBL027W"	168423	169376	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"MMS22"	"YLR320W"	"YLR320W"	771940	776304	"Methyl MethaneSulfonate sensitivity"	NA	NA	NA
"FUS2"	"YMR232W"	"YMR232W"	736926	738959	"cell FUSion"	NA	NA	NA
"MSH2"	"YOL090W"	"YOL090W"	147382	150276	"MutS Homolog"	NA	NA	NA
"PAU3"	"YCR104W"	"YCR104W"	307801	308175	"seriPAUperin family"	NA	NA	NA
"CSI2"	"YOL007C"	"YOL007C"	311342	312367	"Chitin Synthesis Involved"	NA	NA	NA
"SLI1"	"YGR212W"	"YGR212W"	917040	918446	"Sphingosine-Like Immunosuppressant resistant gene"	NA	NA	NA
"DIG1"	"YPL049C"	"YPL049C"	462481	463839	"Down-regulator of Invasive Growth"	NA	NA	NA
"URA7"	"URA7"	"YBL039C"	143989	145728	"CTP synthase"	"citrulline biosynthesis // glutamine degradation I // UTP and CTP <i>de novo</i> biosynthesis // UTP and CTP dephosphorylation II // de novo biosynthesis of pyrimidine ribonucleotides"	NA	"L-glutamine + UTP + ATP + H2O => ADP + CTP + L-glutamate + phosphate + 2 H+"
"MPH1"	"YIR002C"	"YIR002C"	357415	360396	"Mutator PHenotype"	NA	NA	NA
"XRS2"	"YDR369C"	"YDR369C"	1215016	1217580	"X-Ray Sensitive"	NA	NA	NA
"YKL151C"	"YKL151C"	"YKL151C"	164917	165930	"YKL151C"	NA	NA	NA
"AYT1"	"AYT1"	"YLL063C"	14648	16072	"Transacetylase"	NA	NA	NA
"FRS2"	"YFL022C"	"YFL022C"	93499	95010	"phenylalanyl (F)-tRNA Synthetase"	"tRNA charging"	NA	"a tRNAphe + L-phenylalanine + ATP => an L-phenylalanyl-[tRNAphe] + AMP + diphosphate"
"LDB7"	"YBL006C"	"YBL006C"	216587	217129	"Low Dye Binding"	NA	NA	NA
"GUF1"	"YLR289W"	"YLR289W"	715089	717026	"Gtpase of Unknown Function"	NA	NA	NA
"SCJ1"	"YMR214W"	"YMR214W"	695350	696483	"S. Cerevisiae DnaJ"	NA	NA	NA
"HST1"	"YOL068C"	"YOL068C"	200368	201879	"Homolog of SIR Two (SIR2)"	NA	NA	NA
"FUB1"	"YCR076C"	"YCR076C"	249293	250045	"FUnction of Boundary"	NA	NA	NA
"HXT17"	"YNR072W"	"YNR072W"	772657	774351	"HeXose Transporter"	NA	NA	NA
"TYS1"	"YGR185C"	"YGR185C"	866336	867520	"TYrosyl-tRNA Synthetase"	"tRNA charging"	NA	"a tRNAtyr + L-tyrosine + ATP => an L-tyrosyl-[tRNAtyr] + AMP + diphosphate"
"SMA1"	"YPL027W"	"YPL027W"	499665	500402	"Spore Membrane Assembly"	NA	NA	NA
"ABZ2"	"YMR289W"	"YMR289W"	848685	849809	"aminodeoxychorismate lyase"	"superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // p-aminobenzoate biosynthesis // 4-aminobenzoate biosynthesis"	NA	"4-amino-4-deoxychorismate => 4-aminobenzoate + pyruvate + H+"
"ATG32"	"YIL146C"	"YIL146C"	74184	75773	"AuTophaGy related"	NA	NA	NA
"MRP1"	"YDR347W"	"YDR347W"	1169178	1170143	"Mitochondrial Ribosomal Protein"	NA	NA	NA
"SSH4"	"YKL124W"	"YKL124W"	210593	212332	"Suppressor of SHr3 deletion"	NA	NA	NA
"FAS1"	"FAS1"	"YKL182W"	100671	106826	"fatty acid synthase, &beta; subunit"	"fatty acid biosynthesis (concise) // stearate biosynthesis // fatty acid elongation // fatty acid elongation -- saturated // fatty acid biosynthesis initiation // palmitate biosynthesis"	" 4.2.1.59 ; 4.2.1.61"	"a (3R)-3-hydroxybutanoyl-[acp] => a crotonyl-[acp] + H2O;a (3R)-3-hydroxydecanoyl-[acp] => a (2E)-dec-2-enoyl-[acp] + H2O;a (3R)-3-hydroxydodecanoyl-[acp] => a (2E)-dodec-2-enoyl-[acp] + H2O;a (3R)-3-hydroxyhexanoyl-[acp] => a trans hex-2-enoyl-[acp] + H2O;a (3R)-3-hydroxymyristoyl-[acp] => a trans tetradec-2-enoyl-[acp] + H2O;a (3R)-3-hydroxyoctanoyl-[acp] => a trans oct-2-enoyl-[acp] + H2O;a (3R)-3-hydroxypalmitoyl-[acp] => a trans hexadecenoyl-[acp] + H2O;a (3R)-3-hydroxystearoyl-[acp] => a trans-octadec-2-enoyl-[acp] + H2O;a crotonyl-[acp] + NADPH + H+ => a butanoyl-[acp] + NADP+;a holo-[acyl-carrier protein] + acetyl-CoA => an acetyl-[acp] + coenzyme A;a holo-[acyl-carrier protein] + malonyl-CoA => a malonyl-[acp] + coenzyme A;a palmitoyl-[acp] + coenzyme A => palmitoyl-CoA + a holo-[acyl-carrier protein];a stearoyl-[acp] + coenzyme A => stearoyl-CoA + a holo-[acyl-carrier protein];a trans-2-enoyl-[acyl-carrier protein] + NADPH + H+ => a 2,3,4-saturated fatty acyl-[acp] + NADP+;acetyl-CoA + n malonyl-CoA + 2n NADPH + 4n H+ => a long-chain acyl-CoA + n CO2 + n coenzyme A + 2n NADP+"
"YFL040W"	"YFL040W"	"YFL040W"	51350	52972	"YFL040W"	NA	NA	NA
"YAR028W"	"YAR028W"	"YAR028W"	184892	185596	"YAR028W"	NA	NA	NA
"RPS28B"	"YLR264W"	"YLR264W"	673131	673334	"Ribosomal Protein of the Small subunit"	NA	NA	NA
"GYL1"	"YMR192W"	"YMR192W"	647118	649280	"GYp Like"	NA	NA	NA
"RRT12"	"YCR045C"	"YCR045C"	208135	209610	"Regulator of rDNA Transcription"	NA	NA	NA
"TRM112"	"YNR046W"	"YNR046W"	707788	708195	"tRNA (guanine<sup>10</sup>-<i>N</i><sup>2</sup>)-methyltransferase subunit TRM112"	"tRNA methylation"	NA	"a guanine10 in tRNA + S-adenosyl-L-methionine => an N2-methylguanine10 in tRNA + S-adenosyl-L-homocysteine + H+"
"MTR3"	"YGR158C"	"YGR158C"	805269	806021	"MRNA TRansport"	NA	NA	NA
"TFC8"	"YPL007C"	"YPL007C"	542082	543848	"Transcription Factor C"	NA	NA	NA
"ZRG17"	"YNR039C"	"YNR039C"	697614	699431	"Zinc Regulated Gene"	NA	NA	NA
"RSR1"	"YGR152C"	"YGR152C"	794674	795492	"RaS-Related"	NA	NA	NA
"LSP1"	"YPL004C"	"YPL004C"	550632	551657	"Long chain bases Stimulate Phosphorylation"	NA	NA	NA
"SIM1"	"YIL123W"	"YIL123W"	128151	129581	"Start Independent of Mitosis"	NA	NA	NA
"PEP7"	"YDR323C"	"YDR323C"	1112480	1114027	"carboxyPEPtidase Y-deficient"	NA	NA	NA
"VAR1"	"Q0140"	"Q0140"	48901	50097	"VAR1"	NA	NA	NA
"YJU2"	"YKL095W"	"YKL095W"	262277	263113	"YJU2"	NA	NA	NA
"URA6"	"URA6"	"YKL024C"	392526	393140	"uridylate kinase"	"salvage pathways of pyrimidine ribonucleotides // CMP phosphorylation // UTP and CTP <i>de novo</i> biosynthesis // de novo biosynthesis of pyrimidine ribonucleotides"	NA	"ATP + CMP => ADP + CDP;ATP + UMP => ADP + UDP"
"BUD25"	"YER014C-A"	"YER014C-A"	183731	184700	"BUD site selection"	NA	NA	NA
"AIM2"	"YAL049C"	"YAL049C"	51855	52595	"Altered Inheritance rate of Mitochondria"	NA	NA	NA
"BUR2"	"YLR226W"	"YLR226W"	589354	590541	"Bypass UAS Requirement"	NA	NA	NA
"YMR166C"	"YMR166C"	"YMR166C"	593367	594473	"YMR166C"	NA	NA	NA
"PET18"	"YCR020C"	"YCR020C"	154012	154659	"PETite colonies"	NA	NA	NA
"PHO91"	"YNR013C"	"YNR013C"	649028	651712	"PHOsphate metabolism"	NA	NA	NA
"SYF2"	"YGR129W"	"YGR129W"	750400	751047	"SYnthetic lethal with cdc40 (Forty)"	NA	NA	NA
"FRE5"	"YOR384W"	"YOR384W"	1061564	1063648	"Ferric REductase"	"ethylene biosynthesis"	NA	"2 an Fe(III)-siderophore + NADH => 2 an Fe(II)-siderophore + NAD+ + H+"
"SHQ1"	"YIL104C"	"YIL104C"	169982	171505	"Small nucleolar RNAs of the box H/ACA family Quantitative accumulation"	NA	NA	NA
"GPI11"	"YDR302W"	"YDR302W"	1067731	1068390	"GlycosylPhosphatidylInositol anchor biosynthesis"	NA	NA	NA
"RTC6"	"YPL183W-A"	"YPL183W-A"	199095	199376	"Restriction of Telomere Capping"	NA	NA	NA
"STB6"	"YKL072W"	"YKL072W"	299582	301882	"Sin Three Binding protein"	NA	NA	NA
"OSM1"	"OSM1"	"YJR051W"	529861	531366	"fumarate reductase (NADH)"	NA	NA	"succinate + NAD+ = fumarate + NADH + H+"
"FMP10"	"YER182W"	"YER182W"	552525	553259	"Found in Mitochondrial Proteome"	NA	NA	NA
"SAW1"	"YAL027W"	"YAL027W"	94687	95472	"Single-strand Annealing Weakened"	NA	NA	NA
"MSS51"	"YLR203C"	"YLR203C"	550650	551960	"Mitochondrial Splicing Suppressor"	NA	NA	NA
"RPL13B"	"YMR142C"	"YMR142C"	550206	551207	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"HMLALPHA1"	"YCL066W"	"YCL066W"	13282	13809	"Hidden Mat Left ALPHA"	NA	NA	NA
"MDJ2"	"YNL328C"	"YNL328C"	22834	23274	"MDJ2"	NA	NA	NA
"SRB5"	"YGR104C"	"YGR104C"	697445	698368	"Suppressor of RNA polymerase B"	NA	NA	NA
"HAP5"	"YOR358W"	"YOR358W"	1010161	1010889	"Heme Activator Protein"	NA	NA	NA
"HOP1"	"YIL072W"	"YIL072W"	226602	228419	"HOmolog Pairing"	NA	NA	NA
"RNH202"	"YDR279W"	"YDR279W"	1019368	1020420	"RNase H"	NA	"3.1.26.4"	"a RNA-DNA hybrid + n H2O => DNA + n a nucleoside 5'-monophosphate"
"ATG13"	"YPR185W"	"YPR185W"	907218	909434	"AuTophaGy related"	NA	NA	NA
"ANR2"	"YKL047W"	"YKL047W"	349463	351013	"Avl Nine Related family 2"	NA	NA	NA
"GLG2"	"GLG2"	"YJL137C"	154985	156127	"glycogenin glucosyltransferase"	"glycogen biosynthesis"	NA	"UDP-alpha-D-glucose + a [glycogenin] => an alpha-D-glucosyl-[glycogenin] + UDP + H+;UDP-alpha-D-glucose + an alpha-D-glucosyl-[glycogenin] => (1,4-alpha-D-glucosyl)n-glucosyl glucogenin + UDP + H+"
"BUR6"	"YER159C"	"YER159C"	491530	491958	"Bypass UAS Requirement"	NA	NA	NA
"FUN14"	"YAL008W"	"YAL008W"	136914	137510	"Function Unknown Now"	NA	NA	NA
"SWI6"	"YLR182W"	"YLR182W"	517940	520351	"SWItching deficient"	NA	NA	NA
"YMR124W"	"YMR124W"	"YMR124W"	514456	517287	"Endoplasmic reticulum POlarization"	NA	NA	NA
"GFD2"	"YCL036W"	"YCL036W"	59026	60726	"Great for Full DEAD box protein activity"	NA	NA	NA
"MCK1"	"YNL307C"	"YNL307C"	56446	57573	"Meiotic and Centromere regulatory ser, tyr-Kinase"	NA	"2.7.12.1"	"ATP + a [protein]-L-serine = ADP + a protein L-serine phosphate + H+"
"PIL1"	"YGR086C"	"YGR086C"	649598	650617	"Phosphorylation Inhibited by Long chain bases"	NA	NA	NA
"ALA1"	"YOR335C"	"YOR335C"	946233	949109	"ALAnyl-tRNA synthetase"	"tRNA charging"	NA	"a tRNAala + L-alanine + ATP + H+ => an L-alanyl-[tRNAala] + AMP + diphosphate + H+"
"NEO1"	"YIL048W"	"YIL048W"	261437	264892	"NEOmycin-resistance"	NA	"3.6.3.1"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H+"
"RMD5"	"YDR255C"	"YDR255C"	966557	967822	"Required for Meiotic nuclear Division"	NA	NA	NA
"ORC4"	"YPR162C"	"YPR162C"	866715	868304	"Origin Recognition Complex"	NA	NA	NA
"SPT23"	"YKL020C"	"YKL020C"	398832	402080	"SuPpressor of Ty"	NA	NA	NA
"HYR1"	"HYR1"	"YIR037W"	423128	423619	"glutathione-peroxidase"	NA	NA	NA
"COX15"	"YER141W"	"YER141W"	453459	454919	"heme <i>a</i> synthase"	"heme <i>a</i> biosynthesis"	NA	"ferroheme o + 2 a reduced electron acceptor + 2 oxygen => ferroheme a + 2 an oxidized electron acceptor + 3 H2O"
"GUD1"	"YDL238C"	"YDL238C"	28985	30454	"MONOMER3O-12"	"superpathway of purine nucleosides salvage // salvage pathways of guanine, xanthine and their nucleosides"	NA	"guanine + H+ + H2O => ammonium + xanthine"
"SLS1"	"YLR139C"	"YLR139C"	421542	423473	"Sigma Like Sequence"	NA	NA	NA
"MTG1"	"YMR097C"	"YMR097C"	459424	460527	"MiTochondrial GTPase"	NA	NA	NA
"LDB16"	"YCL005W"	"YCL005W"	108021	108791	"Low Dye Binding"	NA	NA	NA
"SEC21"	"YNL287W"	"YNL287W"	91994	94801	"SECretory"	NA	NA	NA
"VHT1"	"YGR065C"	"YGR065C"	618077	619858	"Vitamin H Transporter"	NA	NA	NA
"DGK1"	"YOR311C"	"YOR311C"	899056	899928	"diacylglycerol kinase"	"triacylglycerol biosynthesis"	NA	"CTP + a 1,2-diacyl-sn-glycerol => CDP + a 1,2-diacyl-sn-glycerol 3-phosphate + H+"
"EMC5"	"YIL027C"	"YIL027C"	303679	304104	"Killer toxin REsistant"	NA	NA	NA
"IVY1"	"YDR229W"	"YDR229W"	924785	926146	"Interacting with Vps33p and Ypt7p"	NA	NA	NA
"RRP9"	"YPR137W"	"YPR137W"	802359	804080	"Ribosomal RNA Processing"	NA	NA	NA
"YJL136W-A"	"YJL136W-A"	"YJL136W-A"	156169	156252	"Experimental"	NA	NA	NA
"COX5B"	"COX5B"	"YIL111W"	155222	155765	"cytochrome c oxidase chain Vb"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	NA	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"
"AVT6"	"YER119C"	"YER119C"	399496	400842	"Amino acid Vacuolar Transport"	NA	NA	NA
"MSL5"	"YLR116W"	"YLR116W"	380822	382252	"Mud Synthetic-Lethal"	NA	NA	NA
"PDS5"	"YMR076C"	"YMR076C"	416196	420029	"Precocious Dissociation of Sisters"	NA	NA	NA
"MAL33"	"YBR297W"	"YBR297W"	800523	801929	"MALtose fermentation"	NA	NA	NA
"PDR17"	"YNL264C"	"YNL264C"	145563	146615	"Pleiotropic Drug Resistance"	NA	NA	NA
"KSS1"	"YGR040W"	"YGR040W"	575398	576504	"Kinase Suppressor of Sst2 mutations"	NA	"2.7.11.24"	"ATP + a protein containing an (L-serine/L-threonine)-L-proline motif = ADP + a protein containing a phosphorylated (L-serine/L-threonine)-L-proline motif + H+"
"SNF2"	"YOR290C"	"YOR290C"	855147	860258	"Sucrose NonFermenting"	NA	NA	NA
"EPS1"	"YIL005W"	"YIL005W"	345692	347797	"EPS1"	NA	"5.3.4.1"	"a protein with incorrect disulfide bonds = a protein with correct disulfide bonds"
"UME6"	"YDR207C"	"YDR207C"	865012	867522	"Unscheduled Meiotic gene Expression"	NA	NA	NA
"RGC1"	"YPR115W"	"YPR115W"	754877	758128	"Regulator of the Glycerol Channel"	NA	NA	NA
"SGM1"	"YJR134C"	"YJR134C"	673729	675852	"Slow growth on Galactose and Mannose"	NA	NA	NA
"GPI16"	"GPI16"	"YHR188C"	482005	483837	"Glycosyl Phosphatidyl Inositol 16"	NA	NA	NA
"RPS8B"	"YER102W"	"YER102W"	363100	363702	"Ribosomal Protein of the Small subunit"	NA	NA	NA
"NYV1"	"YLR093C"	"YLR093C"	326513	327415	"New Yeast V-SNARE"	NA	NA	NA
"AAC1"	"YMR056C"	"YMR056C"	387315	388244	"ADP/ATP Carrier"	NA	NA	NA
"RIF1"	"YBR275C"	"YBR275C"	751356	757106	"RAP1-Interacting Factor"	NA	NA	NA
"YNL247W"	"YNL247W"	"YNL247W"	182875	185178	"YNL247W"	"tRNA charging"	NA	"a tRNAcys + L-cysteine + ATP => an L-cysteinyl-[tRNAcys] + AMP + diphosphate"
"TFG2"	"YGR005C"	"YGR005C"	504657	505859	"Transcription Factor G"	NA	NA	NA
"RBL2"	"YOR265W"	"YOR265W"	820454	820774	"Rescues Beta-tubulin Lethality"	NA	NA	NA
"SKN7"	"YHR206W"	"YHR206W"	512732	514600	"Suppressor of Kre Null"	NA	NA	NA
"UPS3"	"YDR185C"	"YDR185C"	831934	832473	"UnProceSsed"	NA	NA	NA
"RDS3"	"YPR094W"	"YPR094W"	720637	720960	"Regulator of Drug Sensitivity"	NA	NA	NA
"RSM26"	"YJR101W"	"YJR101W"	618234	619034	"Ribosomal Small subunit of Mitochondria"	NA	NA	NA
"COX6"	"COX6"	"YHR051W"	209705	210151	"cytochrome c oxidase subunit VI"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	NA	"4 a reduced c-type cytochrome[out] + oxygen[in] + 8 H+[in] => 4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in]"
"RPS24A"	"YER074W"	"YER074W"	306323	307196	"Ribosomal Protein of the Small subunit"	NA	NA	NA
"RPL10"	"YLR075W"	"YLR075W"	282927	283592	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"IMP2"	"YMR035W"	"YMR035W"	341142	341675	"Inner Membrane Protease"	NA	NA	NA
"TRS20"	"YBR254C"	"YBR254C"	723736	724263	"TRapp Subunit"	NA	NA	NA
"SQS1"	"YNL224C"	"YNL224C"	224796	227099	"SQuelch of Splicing suppression"	NA	NA	NA
"BRR6"	"YGL247W"	"YGL247W"	36933	37526	"Bad Response to Refrigeration"	NA	NA	NA
"ESA1"	"YOR244W"	"YOR244W"	792531	793868	"ESA1"	NA	NA	"a [histone]-L-lysine + acetyl-CoA = a [histone]-N6-acetyl-L-lysine + coenzyme A + H+"
"PFS1"	"YHR185C"	"YHR185C"	474627	475340	"Prospore Formation at Spindles"	NA	NA	NA
"TAF10"	"YDR167W"	"YDR167W"	789449	790069	"TATA binding protein-Associated Factor"	NA	NA	NA
"ISA2"	"YPR067W"	"YPR067W"	682220	682777	"Iron Sulfur Assembly"	NA	NA	NA
"EAF6"	"YJR082C"	"YJR082C"	581914	582255	"Esa1p-Associated Factor"	NA	NA	NA
"BGL2"	"BGL2"	"YGR282C"	1057783	1058724	"endo-beta-1,3-glucanase"	NA	"3.2.1.58"	"1,3-beta-D-glucan(n) + H2O => alpha-D-glucopyranose + 1,3-beta-D-glucan(n-1)"
"RSM18"	"YER050C"	"YER050C"	253971	254387	"Ribosomal Small subunit of Mitochondria"	NA	NA	NA
"OSW2"	"YLR054C"	"YLR054C"	248717	250978	"Outer Spore Wall"	NA	NA	NA
"SOK2"	"YMR016C"	"YMR016C"	303236	305593	"Suppressor Of Kinase"	NA	NA	NA
"OM14"	"YBR230C"	"YBR230C"	679549	680050	"Outer Membrane Protein of 14 kDa"	NA	NA	NA
"WHI3"	"YNL197C"	"YNL197C"	267608	269593	"WHIskey"	NA	NA	NA
"VRG4"	"YGL225W"	"YGL225W"	76894	77907	"Vandate Resistance Glycosylation"	NA	NA	NA
"RFC1"	"YOR217W"	"YOR217W"	749301	751886	"Replication Factor C"	NA	NA	NA
"YAP1801"	"YHR161C"	"YHR161C"	420373	422286	"Yeast Assembly Polypeptide"	NA	NA	NA
"PEX7"	"YDR142C"	"YDR142C"	740473	741600	"PEroXin"	NA	NA	NA
"PUF2"	"YPR042C"	"YPR042C"	650435	653662	"PUmilio-homology domain Family"	NA	NA	NA
"APS2"	"YJR058C"	"YJR058C"	544732	545175	"clathrin Associated Protein complex Small subunit"	NA	NA	NA
"ATF2"	"ATF2"	"YGR177C"	848829	850436	"alcohol acetyltransferase"	NA	NA	"2-phenylethanol + acetyl-CoA => phenylethyl acetate + coenzyme A;acetyl-CoA + an alcohol => an acetic ester + coenzyme A;ethanol + acetyl-CoA => ethyl acetate + coenzyme A"
"CHZ1"	"YER030W"	"YER030W"	213437	213898	"Chaperone for Htz1/H2A-H2B dimer"	NA	NA	NA
"UBR2"	"YLR024C"	"YLR024C"	187663	193281	"RING-type E3 ubiquitin transferase UBR2"	NA	NA	"an [E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine + a [protein]-L-lysine = an [E2 ubiquitin-conjugating enzyme]-L-cysteine + a [protein]-N6-monoubiquitinyl-L-lysine + H+"
"BET2"	"BET2"	"YPR176C"	891101	892078	"protein geranylgeranyl transferase type II, beta subunit"	NA	NA	"geranylgeranyl diphosphate + a [protein]-L-cysteine = a [protein]-S-geranylgeranyl-L-cysteine + diphosphate"
"PHO84"	"YML123C"	"YML123C"	24037	25800	"PHOsphate metabolism"	NA	NA	NA
"MCM7"	"YBR202W"	"YBR202W"	625772	628309	"MiniChromosome Maintenance"	NA	NA	NA
"TDA7"	"YNL176C"	"YNL176C"	305070	306980	"Topoisomerase I Damage Affected"	NA	NA	NA
"CHC1"	"YGL206C"	"YGL206C"	102543	107504	"Clathrin Heavy Chain"	NA	NA	NA
"PEX27"	"YOR193W"	"YOR193W"	710446	711576	"PEroXisome related"	NA	NA	NA
"PSF1"	"YDR013W"	"YDR013W"	473157	473783	"Partner of Sld Five"	NA	NA	NA
"DSE2"	"YHR143W"	"YHR143W"	385510	386487	"Daughter Specific Expression"	NA	NA	NA
"TRM1"	"YDR120C"	"YDR120C"	691549	693261	"tRNA (guanine<small><sup>26</sup></small>-<em>N</em><small><sup>2</sup></small>)-dimethyltransferase"	"tRNA methylation"	NA	"a guanine26 in tRNA + 2 S-adenosyl-L-methionine => an N2dimethylguanine26 in tRNA + 2 S-adenosyl-L-homocysteine + 2 H+;a guanine26 in tRNA + S-adenosyl-L-methionine => an N2-methylguanine26 in tRNA + S-adenosyl-L-homocysteine + H+;S-adenosyl-L-methionine + an N2-methylguanine26 in tRNA => S-adenosyl-L-homocysteine + an N2dimethylguanine26 in tRNA + H+"
"AGC1"	"YPR021C"	"YPR021C"	600649	603357	"Aspartate-Glutamate Carrier"	NA	NA	NA
"HUL4"	"YJR036C"	"YJR036C"	500713	503391	"Hect Ubiquitin Ligase"	NA	NA	NA
"TAD1"	"TAD1"	"YGL243W"	43307	44509	"tRNA-specific adenosine deaminase subunit"	NA	NA	"an adenine37 in tRNAala + H+ + H2O = a hypoxanthine37 in tRNAala + ammonium"
"PAC2"	"YER007W"	"YER007W"	164527	166083	"Protein required in the Absence of Cin8p"	NA	NA	NA
"SSK1"	"YLR006C"	"YLR006C"	161755	163893	"Suppressor of Sensor Kinase"	NA	NA	NA
"IDI1"	"IDI1"	"YPL117C"	327864	328730	"YPL117C-MONOMER"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis // hexaprenyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // mevalonate pathway"	NA	"isopentenyl diphosphate <=> dimethylallyl diphosphate"
"ARG81"	"YML099C"	"YML099C"	74398	77040	"ARGinine requiring"	NA	NA	NA
"RPS6B"	"YBR181C"	"YBR181C"	591712	592774	"Ribosomal Protein of the Small subunit"	NA	NA	NA
"GIM3"	"YNL153C"	"YNL153C"	345669	346058	"Gene Involved in Microtubule biogenesis"	NA	NA	NA
"TOS3"	"YGL179C"	"YGL179C"	163409	165091	"Target Of Sbf"	NA	NA	"a [protein]-(L-serine/L-threonine) + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+"
"YRM1"	"YOR172W"	"YOR172W"	654210	656570	"Yeast Reveromycin resistance Modulator"	NA	NA	NA
"GYP7"	"YDL234C"	"YDL234C"	34237	36477	"Gtpase-activating protein for Ypt7 Protein"	NA	NA	NA
"TOM71"	"YHR117W"	"YHR117W"	342349	344268	"Translocase of the Outer Mitochondrial membrane"	NA	NA	NA
"BMH2"	"YDR099W"	"YDR099W"	653607	654428	"Brain Modulosignalin Homologue"	NA	NA	NA
"PDH1"	"YPR002W"	"YPR002W"	558385	559935	"probable 2-methylcitrate dehydratase"	NA	NA	"(2S,3S)-2-methylcitrate = cis-2-methylaconitate + H2O"
"SAG1"	"YJR004C"	"YJR004C"	442909	444861	"Sexual AGglutination"	NA	NA	NA
"STT3"	"STT3"	"YGL022W"	452404	454560	"oligosaccharyl transferase complex STT3 subunit"	"protein <i>N</i>-glycosylation (eukaryotic) initial steps"	"2.4.1.119"	"alpha-D-galactose 6-phosphate <=> beta-D-galactose 6-phosphate"
"RPL12A"	"YEL054C"	"YEL054C"	52721	53218	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"RPL8B"	"YLL045C"	"YLL045C"	47859	48629	"Ribosomal Protein of the Large subunit"	NA	NA	NA
