"Gene.Name"	"Accession.1"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"gene_standard_name"	"check"
"SPS2"	"YDR522C"	1483795	1485303	"SPorulation Specific"	""	"YDR522C"	TRUE
"PRP16"	"YKR086W"	599857	603072	"Pre-mRNA Processing"	""	"YKR086W"	TRUE
"PUS4"	"PUS4"	82806	84017	"pseudouridine synthase"	""	"YNL292W"	FALSE
"YLR460C"	"YLR460C"	1059757	1060887	"YLR460C"	""	"YLR460C"	TRUE
"RDH54"	"YBR073W"	383112	385988	"RaD54 Homolog"	""	"YBR073W"	TRUE
"YIP3"	"YNL044W"	545268	545877	"YIP3"	""	"YNL044W"	TRUE
"DBP3"	"YGL078C"	360288	361859	"Dead Box Protein"	""	"YGL078C"	TRUE
"ASE1"	"YOR058C"	433688	436345	"Anaphase Spindle Elongation"	""	"YOR058C"	TRUE
"CDC48"	"YDL126C"	236157	238664	"Cell Division Cycle"	""	"YDL126C"	TRUE
"NEM1"	"YHR004C"	111754	113094	"Nuclear Envelope Morphology"	""	"YHR004C"	TRUE
"CUP9"	"YPL177C"	213042	213962	"CUP9"	""	"YPL177C"	TRUE
"SET4"	"YJL105W"	225055	226737	"SET domain-containing"	""	"YJL105W"	TRUE
"CPR1"	"CPR1"	768512	769000	"cyclophilin"	""	"YDR155C"	FALSE
"SEC20"	"YDR498C"	1445843	1446994	"SECretory"	""	"YDR498C"	TRUE
"TFA2"	"YKR062W"	559666	560652	"Transcription Factor a, subunit 2"	""	"YKR062W"	TRUE
"LEU4"	"LEU4"	424895	426754	"alpha-isopropylmalate synthase"	"superpathway of leucine, valine, and isoleucine biosynthesis // leucine biosynthesis"	"YNL104C"	FALSE
"ECM30"	"YLR436C"	1007421	1011245	"ExtraCellular Mutant"	""	"YLR436C"	TRUE
"RAD6"	"YGL058W"	393986	394504	"RADiation sensitive"	""	"YGL058W"	TRUE
"FMP23"	"YBR047W"	331833	332360	"Found in Mitochondrial Proteome"	""	"YBR047W"	TRUE
"HDA1"	"YNL021W"	593227	595347	"Histone DeAcetylase"	""	"YNL021W"	TRUE
"SHE4"	"YOR035C"	397735	400104	"Swi5p-dependent HO Expression"	""	"YOR035C"	TRUE
"PHO2"	"YDL106C"	270222	271901	"PHOsphate metabolism"	""	"YDL106C"	TRUE
"OCA5"	"YHL029C"	45929	47968	"Oxidant-induced Cell-cycle Arrest"	""	"YHL029C"	TRUE
"AIM44"	"YPL158C"	252034	254310	"Altered Inheritance rate of Mitochondria"	""	"YPL158C"	TRUE
"GDH2"	"GDH2"	70640	73918	"NAD-dependent glutamate dehydrogenase"	"glutamate degradation I"	"YDL215C"	FALSE
"PEX29"	"YDR479C"	1415210	1416874	"PEroXisome related"	""	"YDR479C"	TRUE
"GAP1"	"YKR039W"	515063	516871	"General Amino acid Permease"	""	"YKR039W"	TRUE
"GAD1"	"GAD1"	770801	772558	"YMR250W-MONOMER"	"glutamate degradation X"	"YMR250W"	FALSE
"BER1"	"YLR412W"	948368	949192	"Benomyl REsistant 1"	""	"YLR412W"	TRUE
"AGA2"	"YGL032C"	436570	436833	"a cell-specific sexual AGglutination"	""	"YGL032C"	TRUE
"FUR4"	"YBR021W"	281443	283344	"5-FlUoRouridine sensitivity"	""	"YBR021W"	TRUE
"ATP18"	"YML081C-A"	103983	104162	"ATP synthase"	""	"YML081C-A"	TRUE
"ERP4"	"YOR016C"	360461	361084	"Emp24p/Erv25p Related Protein"	""	"YOR016C"	TRUE
"RPL13A"	"YDL082W"	308424	309388	"Ribosomal Protein of the Large subunit"	""	"YDL082W"	TRUE
"SHU1"	"YHL006C"	98343	98795	"Suppressor of HU sensitivity"	""	"YHL006C"	TRUE
"UME1"	"YPL139C"	289669	291051	"Unscheduled Meiotic gene Expression"	""	"YPL139C"	TRUE
"IDP1"	"IDP1"	334835	336121	"NADP-dependent isocitrate dehydrogenase"	""	"YDL066W"	FALSE
"DLS1"	"YJL065C"	315054	315557	"Dpb3-Like Subunit of ISW2/yCHRAC complex"	""	"YJL065C"	TRUE
"TFB3"	"YDR460W"	1383811	1384776	"Transcription initiation Factor IIB"	""	"YDR460W"	TRUE
"IRS4"	"YKR019C"	476216	478063	"Increased rDNA Silencing"	""	"YKR019C"	TRUE
"PLB1"	"PLB1"	280590	282584	"phospholipase B/lyso-phospholipase"	"phospholipid remodeling (phosphatidylethanolamine)"	"YMR008C"	FALSE
"PMC1"	"YGL006W"	485921	489442	"Plasma Membrane Calcium"	""	"YGL006W"	TRUE
"SFT2"	"YBL102W"	24098	24745	"Suppressor of sedFive Ts"	""	"YBL102W"	TRUE
"ART10"	"YLR392C"	904749	906305	"Arrestin-Related Trafficking adaptors"	""	"YLR392C"	TRUE
"YME2"	"YMR302C"	870073	872625	"Yeast Mitochondrial Escape"	""	"YMR302C"	TRUE
"HXT11"	"YOL156W"	25273	26976	"HeXose Transporter"	""	"YOL156W"	TRUE
"USO1"	"YDL058W"	345665	351037	"yUSOu - transport in Japanese"	""	"YDL058W"	TRUE
"YOR1"	"YGR281W"	1052824	1057257	"Yeast Oligomycin Resistance"	""	"YGR281W"	TRUE
"TFB2"	"YPL122C"	319226	320767	"Transcription initiation Factor IIB"	""	"YPL122C"	TRUE
"CHA1"	"CHA1"	15798	16880	"serine/threonine dehydratase"	"L-serine degradation // superpathway of leucine, valine, and isoleucine biosynthesis // isoleucine biosynthesis"	"YCL064C"	FALSE
"NSP1"	"YJL041W"	365784	368373	"NucleoSkeletal-like Protein"	""	"YJL041W"	TRUE
"GPI19"	"YDR437W"	1337352	1337774	"Glycosyl PhosphatidylInositol anchor biosynthesis"	""	"YDR437W"	TRUE
"JEN1"	"YKL217W"	22234	24084	"JEN1"	""	"YKL217W"	TRUE
"APT1"	"APT1"	228937	229500	"adenine phosphoribosyltransferase monomer"	"superpathway of purine nucleosides salvage // salvage pathways of adenine, hypoxanthine and their nucleosides // adenine and adenosine salvage IV"	"YML022W"	FALSE
"CNN1"	"YFR046C"	243074	244159	"Co-purified with NNf1p"	""	"YFR046C"	TRUE
"SSA3"	"YBL075C"	84499	86448	"Stress-Seventy subfamily A"	""	"YBL075C"	TRUE
"ROM2"	"YLR371W"	862714	866784	"RhO1 Multicopy suppressor"	""	"YLR371W"	TRUE
"CAT8"	"YMR280C"	827028	831329	"CATabolite repression"	""	"YMR280C"	TRUE
"GAS4"	"YOL132W"	71300	72715	"Glycophospholipid-Anchored Surface protein"	""	"YOL132W"	TRUE
"DBP10"	"YDL031W"	394217	397204	"Dead Box Protein"	""	"YDL031W"	TRUE
"GAL11"	"YOL051W"	234940	238185	"GALactose metabolism"	""	"YOL051W"	TRUE
"MTM1"	"YGR257C"	1006205	1007305	"Manganese Trafficking factor for Mitochondrial SOD2"	""	"YGR257C"	TRUE
"AIM43"	"YPL099C"	363520	364068	"Altered Inheritance rate of Mitochondria"	""	"YPL099C"	TRUE
"GPX2"	"GPX2"	707528	708016	"Glutathione peroxidase"	"glutathione redox reactions I"	"YBR244W"	FALSE
"MAD3"	"YJL013C"	409493	411040	"Mitotic Arrest-Deficient"	""	"YJL013C"	TRUE
"DFM1"	"YDR411C"	1293369	1294394	"Der1-like Family Member"	""	"YDR411C"	TRUE
"MIA40"	"YKL195W"	75821	77032	"Mitochondrial intermembrane space Import and Assembly"	""	"YKL195W"	TRUE
"CDA1"	"CDA1"	745620	746525	"chitin deacetylase 1"	"chitosan biosynthesis // chitin degradation to ethanol"	"YLR307W"	FALSE
"PES4"	"YFR023W"	199874	201709	"Polymerase Epsilon Suppressor"	""	"YFR023W"	TRUE
"PIN4"	"YBL051C"	122753	124759	"Psi+ INducibility"	""	"YBL051C"	TRUE
"YLR345W"	"YLR345W"	820511	822040	"putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"	"fructose 2,6-bisphosphate biosynthesis"	"YLR345W"	TRUE
"ROY1"	"YMR258C"	782620	784281	"Repressor Of Ypt52"	""	"YMR258C"	TRUE
"MSB4"	"YOL112W"	106710	108188	"Multicopy Suppression of a Budding defect"	""	"YOL112W"	TRUE
"RPT2"	"YDL007W"	438047	439360	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	""	"YDL007W"	TRUE
"MDM38"	"YOL027C"	272003	273724	"Mitochondrial Distribution and Morphology"	""	"YOL027C"	TRUE
"NAS6"	"YGR232W"	953960	954646	"Non-ATPase Subunit 6"	""	"YGR232W"	TRUE
"ATP4"	"YPL078C"	408010	408744	"ATP synthase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	"YPL078C"	TRUE
"MIS1"	"MIS1"	411054	413981	"mitochondrial C1-tetrahydrofolate synthase"	"folate polyglutamylation // superpathway of tetrahydrofolate biosynthesis and salvage // folate interconversions // folate transformations // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // formate assimilation into 5,10-methylenetetrahydrofolate"	"YBR084W"	FALSE
"MND2"	"YIR025W"	403659	404765	"Meiotic Nuclear Divisions"	""	"YIR025W"	TRUE
"SAC7"	"YDR389W"	1252537	1254501	"Suppressor of ACtin"	""	"YDR389W"	TRUE
"TPO5"	"YKL174C"	120380	122236	"Transporter of POlyamines"	""	"YKL174C"	TRUE
"ATG26"	"ATG26"	530797	534393	"Udp-glycosyltransferase"	""	"YLR189C"	FALSE
"NIC96"	"YFR002W"	150016	152535	"Nucleoporin-Interacting Component of 96 kDa"	""	"YFR002W"	TRUE
"RPL19B"	"YBL027W"	168423	169376	"Ribosomal Protein of the Large subunit"	""	"YBL027W"	TRUE
"MMS22"	"YLR320W"	771940	776304	"Methyl MethaneSulfonate sensitivity"	""	"YLR320W"	TRUE
"FUS2"	"YMR232W"	736926	738959	"cell FUSion"	""	"YMR232W"	TRUE
"MSH2"	"YOL090W"	147382	150276	"MutS Homolog"	""	"YOL090W"	TRUE
"PAU3"	"YCR104W"	307801	308175	"seriPAUperin family"	""	"YCR104W"	TRUE
"CSI2"	"YOL007C"	311342	312367	"Chitin Synthesis Involved"	""	"YOL007C"	TRUE
"SLI1"	"YGR212W"	917040	918446	"Sphingosine-Like Immunosuppressant resistant gene"	""	"YGR212W"	TRUE
"DIG1"	"YPL049C"	462481	463839	"Down-regulator of Invasive Growth"	""	"YPL049C"	TRUE
"URA7"	"URA7"	143989	145728	"CTP synthase"	"citrulline biosynthesis // glutamine degradation I // UTP and CTP <i>de novo</i> biosynthesis // UTP and CTP dephosphorylation II // de novo biosynthesis of pyrimidine ribonucleotides"	"YBL039C"	FALSE
"MPH1"	"YIR002C"	357415	360396	"Mutator PHenotype"	""	"YIR002C"	TRUE
"XRS2"	"YDR369C"	1215016	1217580	"X-Ray Sensitive"	""	"YDR369C"	TRUE
"YKL151C"	"YKL151C"	164917	165930	"YKL151C"	""	"YKL151C"	TRUE
"AYT1"	"AYT1"	14648	16072	"Transacetylase"	""	"YLL063C"	FALSE
"FRS2"	"YFL022C"	93499	95010	"phenylalanyl (F)-tRNA Synthetase"	"tRNA charging"	"YFL022C"	TRUE
"LDB7"	"YBL006C"	216587	217129	"Low Dye Binding"	""	"YBL006C"	TRUE
"GUF1"	"YLR289W"	715089	717026	"Gtpase of Unknown Function"	""	"YLR289W"	TRUE
"SCJ1"	"YMR214W"	695350	696483	"S. Cerevisiae DnaJ"	""	"YMR214W"	TRUE
"HST1"	"YOL068C"	200368	201879	"Homolog of SIR Two (SIR2)"	""	"YOL068C"	TRUE
"FUB1"	"YCR076C"	249293	250045	"FUnction of Boundary"	""	"YCR076C"	TRUE
"HXT17"	"YNR072W"	772657	774351	"HeXose Transporter"	""	"YNR072W"	TRUE
"TYS1"	"YGR185C"	866336	867520	"TYrosyl-tRNA Synthetase"	"tRNA charging"	"YGR185C"	TRUE
"SMA1"	"YPL027W"	499665	500402	"Spore Membrane Assembly"	""	"YPL027W"	TRUE
"ABZ2"	"YMR289W"	848685	849809	"aminodeoxychorismate lyase"	"superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // p-aminobenzoate biosynthesis // 4-aminobenzoate biosynthesis"	"YMR289W"	TRUE
"ATG32"	"YIL146C"	74184	75773	"AuTophaGy related"	""	"YIL146C"	TRUE
"MRP1"	"YDR347W"	1169178	1170143	"Mitochondrial Ribosomal Protein"	""	"YDR347W"	TRUE
"SSH4"	"YKL124W"	210593	212332	"Suppressor of SHr3 deletion"	""	"YKL124W"	TRUE
"FAS1"	"FAS1"	100671	106826	"fatty acid synthase, &beta; subunit"	"fatty acid biosynthesis (concise) // stearate biosynthesis // fatty acid elongation // fatty acid elongation -- saturated // fatty acid biosynthesis initiation // palmitate biosynthesis"	"YKL182W"	FALSE
"YFL040W"	"YFL040W"	51350	52972	"YFL040W"	""	"YFL040W"	TRUE
"YAR028W"	"YAR028W"	184892	185596	"YAR028W"	""	"YAR028W"	TRUE
"RPS28B"	"YLR264W"	673131	673334	"Ribosomal Protein of the Small subunit"	""	"YLR264W"	TRUE
"GYL1"	"YMR192W"	647118	649280	"GYp Like"	""	"YMR192W"	TRUE
"RRT12"	"YCR045C"	208135	209610	"Regulator of rDNA Transcription"	""	"YCR045C"	TRUE
"TRM112"	"YNR046W"	707788	708195	"tRNA (guanine<sup>10</sup>-<i>N</i><sup>2</sup>)-methyltransferase subunit TRM112"	"tRNA methylation"	"YNR046W"	TRUE
"MTR3"	"YGR158C"	805269	806021	"MRNA TRansport"	""	"YGR158C"	TRUE
"TFC8"	"YPL007C"	542082	543848	"Transcription Factor C"	""	"YPL007C"	TRUE
"ZRG17"	"YNR039C"	697614	699431	"Zinc Regulated Gene"	""	"YNR039C"	TRUE
"RSR1"	"YGR152C"	794674	795492	"RaS-Related"	""	"YGR152C"	TRUE
"LSP1"	"YPL004C"	550632	551657	"Long chain bases Stimulate Phosphorylation"	""	"YPL004C"	TRUE
"SIM1"	"YIL123W"	128151	129581	"Start Independent of Mitosis"	""	"YIL123W"	TRUE
"PEP7"	"YDR323C"	1112480	1114027	"carboxyPEPtidase Y-deficient"	""	"YDR323C"	TRUE
"VAR1"	"Q0140"	48901	50097	"VAR1"	""	"Q0140"	TRUE
"YJU2"	"YKL095W"	262277	263113	"YJU2"	""	"YKL095W"	TRUE
"URA6"	"URA6"	392526	393140	"uridylate kinase"	"salvage pathways of pyrimidine ribonucleotides // CMP phosphorylation // UTP and CTP <i>de novo</i> biosynthesis // de novo biosynthesis of pyrimidine ribonucleotides"	"YKL024C"	FALSE
"BUD25"	"YER014C-A"	183731	184700	"BUD site selection"	""	"YER014C-A"	TRUE
"AIM2"	"YAL049C"	51855	52595	"Altered Inheritance rate of Mitochondria"	""	"YAL049C"	TRUE
"BUR2"	"YLR226W"	589354	590541	"Bypass UAS Requirement"	""	"YLR226W"	TRUE
"YMR166C"	"YMR166C"	593367	594473	"YMR166C"	""	"YMR166C"	TRUE
"PET18"	"YCR020C"	154012	154659	"PETite colonies"	""	"YCR020C"	TRUE
"PHO91"	"YNR013C"	649028	651712	"PHOsphate metabolism"	""	"YNR013C"	TRUE
"SYF2"	"YGR129W"	750400	751047	"SYnthetic lethal with cdc40 (Forty)"	""	"YGR129W"	TRUE
"FRE5"	"YOR384W"	1061564	1063648	"Ferric REductase"	"ethylene biosynthesis"	"YOR384W"	TRUE
"SHQ1"	"YIL104C"	169982	171505	"Small nucleolar RNAs of the box H/ACA family Quantitative accumulation"	""	"YIL104C"	TRUE
"GPI11"	"YDR302W"	1067731	1068390	"GlycosylPhosphatidylInositol anchor biosynthesis"	""	"YDR302W"	TRUE
"RTC6"	"YPL183W-A"	199095	199376	"Restriction of Telomere Capping"	""	"YPL183W-A"	TRUE
"STB6"	"YKL072W"	299582	301882	"Sin Three Binding protein"	""	"YKL072W"	TRUE
"OSM1"	"OSM1"	529861	531366	"fumarate reductase (NADH)"	""	"YJR051W"	FALSE
"FMP10"	"YER182W"	552525	553259	"Found in Mitochondrial Proteome"	""	"YER182W"	TRUE
"SAW1"	"YAL027W"	94687	95472	"Single-strand Annealing Weakened"	""	"YAL027W"	TRUE
"MSS51"	"YLR203C"	550650	551960	"Mitochondrial Splicing Suppressor"	""	"YLR203C"	TRUE
"RPL13B"	"YMR142C"	550206	551207	"Ribosomal Protein of the Large subunit"	""	"YMR142C"	TRUE
"HMLALPHA1"	"YCL066W"	13282	13809	"Hidden Mat Left ALPHA"	""	"YCL066W"	TRUE
"MDJ2"	"YNL328C"	22834	23274	"MDJ2"	""	"YNL328C"	TRUE
"SRB5"	"YGR104C"	697445	698368	"Suppressor of RNA polymerase B"	""	"YGR104C"	TRUE
"HAP5"	"YOR358W"	1010161	1010889	"Heme Activator Protein"	""	"YOR358W"	TRUE
"HOP1"	"YIL072W"	226602	228419	"HOmolog Pairing"	""	"YIL072W"	TRUE
"RNH202"	"YDR279W"	1019368	1020420	"RNase H"	""	"YDR279W"	TRUE
"ATG13"	"YPR185W"	907218	909434	"AuTophaGy related"	""	"YPR185W"	TRUE
"ANR2"	"YKL047W"	349463	351013	"Avl Nine Related family 2"	""	"YKL047W"	TRUE
"GLG2"	"GLG2"	154985	156127	"glycogenin glucosyltransferase"	"glycogen biosynthesis"	"YJL137C"	FALSE
"BUR6"	"YER159C"	491530	491958	"Bypass UAS Requirement"	""	"YER159C"	TRUE
"FUN14"	"YAL008W"	136914	137510	"Function Unknown Now"	""	"YAL008W"	TRUE
"SWI6"	"YLR182W"	517940	520351	"SWItching deficient"	""	"YLR182W"	TRUE
"YMR124W"	"YMR124W"	514456	517287	"Endoplasmic reticulum POlarization"	""	"YMR124W"	TRUE
"GFD2"	"YCL036W"	59026	60726	"Great for Full DEAD box protein activity"	""	"YCL036W"	TRUE
"MCK1"	"YNL307C"	56446	57573	"Meiotic and Centromere regulatory ser, tyr-Kinase"	""	"YNL307C"	TRUE
"PIL1"	"YGR086C"	649598	650617	"Phosphorylation Inhibited by Long chain bases"	""	"YGR086C"	TRUE
"ALA1"	"YOR335C"	946233	949109	"ALAnyl-tRNA synthetase"	"tRNA charging"	"YOR335C"	TRUE
"NEO1"	"YIL048W"	261437	264892	"NEOmycin-resistance"	""	"YIL048W"	TRUE
"RMD5"	"YDR255C"	966557	967822	"Required for Meiotic nuclear Division"	""	"YDR255C"	TRUE
"ORC4"	"YPR162C"	866715	868304	"Origin Recognition Complex"	""	"YPR162C"	TRUE
"SPT23"	"YKL020C"	398832	402080	"SuPpressor of Ty"	""	"YKL020C"	TRUE
"HYR1"	"HYR1"	423128	423619	"glutathione-peroxidase"	""	"YIR037W"	FALSE
"COX15"	"YER141W"	453459	454919	"heme <i>a</i> synthase"	"heme <i>a</i> biosynthesis"	"YER141W"	TRUE
"GUD1"	"YDL238C"	28985	30454	"MONOMER3O-12"	"superpathway of purine nucleosides salvage // salvage pathways of guanine, xanthine and their nucleosides"	"YDL238C"	TRUE
"SLS1"	"YLR139C"	421542	423473	"Sigma Like Sequence"	""	"YLR139C"	TRUE
"MTG1"	"YMR097C"	459424	460527	"MiTochondrial GTPase"	""	"YMR097C"	TRUE
"LDB16"	"YCL005W"	108021	108791	"Low Dye Binding"	""	"YCL005W"	TRUE
"SEC21"	"YNL287W"	91994	94801	"SECretory"	""	"YNL287W"	TRUE
"VHT1"	"YGR065C"	618077	619858	"Vitamin H Transporter"	""	"YGR065C"	TRUE
"DGK1"	"YOR311C"	899056	899928	"diacylglycerol kinase"	"triacylglycerol biosynthesis"	"YOR311C"	TRUE
"EMC5"	"YIL027C"	303679	304104	"Killer toxin REsistant"	""	"YIL027C"	TRUE
"IVY1"	"YDR229W"	924785	926146	"Interacting with Vps33p and Ypt7p"	""	"YDR229W"	TRUE
"RRP9"	"YPR137W"	802359	804080	"Ribosomal RNA Processing"	""	"YPR137W"	TRUE
"YJL136W-A"	"YJL136W-A"	156169	156252	"Experimental"	""	"YJL136W-A"	TRUE
"COX5B"	"COX5B"	155222	155765	"cytochrome c oxidase chain Vb"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"YIL111W"	FALSE
"AVT6"	"YER119C"	399496	400842	"Amino acid Vacuolar Transport"	""	"YER119C"	TRUE
"MSL5"	"YLR116W"	380822	382252	"Mud Synthetic-Lethal"	""	"YLR116W"	TRUE
"PDS5"	"YMR076C"	416196	420029	"Precocious Dissociation of Sisters"	""	"YMR076C"	TRUE
"MAL33"	"YBR297W"	800523	801929	"MALtose fermentation"	""	"YBR297W"	TRUE
"PDR17"	"YNL264C"	145563	146615	"Pleiotropic Drug Resistance"	""	"YNL264C"	TRUE
"KSS1"	"YGR040W"	575398	576504	"Kinase Suppressor of Sst2 mutations"	""	"YGR040W"	TRUE
"SNF2"	"YOR290C"	855147	860258	"Sucrose NonFermenting"	""	"YOR290C"	TRUE
"EPS1"	"YIL005W"	345692	347797	"EPS1"	""	"YIL005W"	TRUE
"UME6"	"YDR207C"	865012	867522	"Unscheduled Meiotic gene Expression"	""	"YDR207C"	TRUE
"RGC1"	"YPR115W"	754877	758128	"Regulator of the Glycerol Channel"	""	"YPR115W"	TRUE
"SGM1"	"YJR134C"	673729	675852	"Slow growth on Galactose and Mannose"	""	"YJR134C"	TRUE
"GPI16"	"GPI16"	482005	483837	"Glycosyl Phosphatidyl Inositol 16"	""	"YHR188C"	FALSE
"RPS8B"	"YER102W"	363100	363702	"Ribosomal Protein of the Small subunit"	""	"YER102W"	TRUE
"NYV1"	"YLR093C"	326513	327415	"New Yeast V-SNARE"	""	"YLR093C"	TRUE
"AAC1"	"YMR056C"	387315	388244	"ADP/ATP Carrier"	""	"YMR056C"	TRUE
"RIF1"	"YBR275C"	751356	757106	"RAP1-Interacting Factor"	""	"YBR275C"	TRUE
"YNL247W"	"YNL247W"	182875	185178	"YNL247W"	"tRNA charging"	"YNL247W"	TRUE
"TFG2"	"YGR005C"	504657	505859	"Transcription Factor G"	""	"YGR005C"	TRUE
"RBL2"	"YOR265W"	820454	820774	"Rescues Beta-tubulin Lethality"	""	"YOR265W"	TRUE
"SKN7"	"YHR206W"	512732	514600	"Suppressor of Kre Null"	""	"YHR206W"	TRUE
"UPS3"	"YDR185C"	831934	832473	"UnProceSsed"	""	"YDR185C"	TRUE
"RDS3"	"YPR094W"	720637	720960	"Regulator of Drug Sensitivity"	""	"YPR094W"	TRUE
"RSM26"	"YJR101W"	618234	619034	"Ribosomal Small subunit of Mitochondria"	""	"YJR101W"	TRUE
"COX6"	"COX6"	209705	210151	"cytochrome c oxidase subunit VI"	"aerobic respiration (cytochrome c) // aerobic respiration (linear view)"	"YHR051W"	FALSE
"RPS24A"	"YER074W"	306323	307196	"Ribosomal Protein of the Small subunit"	""	"YER074W"	TRUE
"RPL10"	"YLR075W"	282927	283592	"Ribosomal Protein of the Large subunit"	""	"YLR075W"	TRUE
"IMP2"	"YMR035W"	341142	341675	"Inner Membrane Protease"	""	"YMR035W"	TRUE
"TRS20"	"YBR254C"	723736	724263	"TRapp Subunit"	""	"YBR254C"	TRUE
"SQS1"	"YNL224C"	224796	227099	"SQuelch of Splicing suppression"	""	"YNL224C"	TRUE
"BRR6"	"YGL247W"	36933	37526	"Bad Response to Refrigeration"	""	"YGL247W"	TRUE
"ESA1"	"YOR244W"	792531	793868	"ESA1"	""	"YOR244W"	TRUE
"PFS1"	"YHR185C"	474627	475340	"Prospore Formation at Spindles"	""	"YHR185C"	TRUE
"TAF10"	"YDR167W"	789449	790069	"TATA binding protein-Associated Factor"	""	"YDR167W"	TRUE
"ISA2"	"YPR067W"	682220	682777	"Iron Sulfur Assembly"	""	"YPR067W"	TRUE
"EAF6"	"YJR082C"	581914	582255	"Esa1p-Associated Factor"	""	"YJR082C"	TRUE
"BGL2"	"BGL2"	1057783	1058724	"endo-beta-1,3-glucanase"	""	"YGR282C"	FALSE
"RSM18"	"YER050C"	253971	254387	"Ribosomal Small subunit of Mitochondria"	""	"YER050C"	TRUE
"OSW2"	"YLR054C"	248717	250978	"Outer Spore Wall"	""	"YLR054C"	TRUE
"SOK2"	"YMR016C"	303236	305593	"Suppressor Of Kinase"	""	"YMR016C"	TRUE
"OM14"	"YBR230C"	679549	680050	"Outer Membrane Protein of 14 kDa"	""	"YBR230C"	TRUE
"WHI3"	"YNL197C"	267608	269593	"WHIskey"	""	"YNL197C"	TRUE
"VRG4"	"YGL225W"	76894	77907	"Vandate Resistance Glycosylation"	""	"YGL225W"	TRUE
"RFC1"	"YOR217W"	749301	751886	"Replication Factor C"	""	"YOR217W"	TRUE
"YAP1801"	"YHR161C"	420373	422286	"Yeast Assembly Polypeptide"	""	"YHR161C"	TRUE
"PEX7"	"YDR142C"	740473	741600	"PEroXin"	""	"YDR142C"	TRUE
"PUF2"	"YPR042C"	650435	653662	"PUmilio-homology domain Family"	""	"YPR042C"	TRUE
"APS2"	"YJR058C"	544732	545175	"clathrin Associated Protein complex Small subunit"	""	"YJR058C"	TRUE
"ATF2"	"ATF2"	848829	850436	"alcohol acetyltransferase"	""	"YGR177C"	FALSE
"CHZ1"	"YER030W"	213437	213898	"Chaperone for Htz1/H2A-H2B dimer"	""	"YER030W"	TRUE
"UBR2"	"YLR024C"	187663	193281	"RING-type E3 ubiquitin transferase UBR2"	""	"YLR024C"	TRUE
"BET2"	"BET2"	891101	892078	"protein geranylgeranyl transferase type II, beta subunit"	""	"YPR176C"	FALSE
"PHO84"	"YML123C"	24037	25800	"PHOsphate metabolism"	""	"YML123C"	TRUE
"MCM7"	"YBR202W"	625772	628309	"MiniChromosome Maintenance"	""	"YBR202W"	TRUE
"TDA7"	"YNL176C"	305070	306980	"Topoisomerase I Damage Affected"	""	"YNL176C"	TRUE
"CHC1"	"YGL206C"	102543	107504	"Clathrin Heavy Chain"	""	"YGL206C"	TRUE
"PEX27"	"YOR193W"	710446	711576	"PEroXisome related"	""	"YOR193W"	TRUE
"PSF1"	"YDR013W"	473157	473783	"Partner of Sld Five"	""	"YDR013W"	TRUE
"DSE2"	"YHR143W"	385510	386487	"Daughter Specific Expression"	""	"YHR143W"	TRUE
"TRM1"	"YDR120C"	691549	693261	"tRNA (guanine<small><sup>26</sup></small>-<em>N</em><small><sup>2</sup></small>)-dimethyltransferase"	"tRNA methylation"	"YDR120C"	TRUE
"AGC1"	"YPR021C"	600649	603357	"Aspartate-Glutamate Carrier"	""	"YPR021C"	TRUE
"HUL4"	"YJR036C"	500713	503391	"Hect Ubiquitin Ligase"	""	"YJR036C"	TRUE
"TAD1"	"TAD1"	43307	44509	"tRNA-specific adenosine deaminase subunit"	""	"YGL243W"	FALSE
"PAC2"	"YER007W"	164527	166083	"Protein required in the Absence of Cin8p"	""	"YER007W"	TRUE
"SSK1"	"YLR006C"	161755	163893	"Suppressor of Sensor Kinase"	""	"YLR006C"	TRUE
"IDI1"	"IDI1"	327864	328730	"YPL117C-MONOMER"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis // hexaprenyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // mevalonate pathway"	"YPL117C"	FALSE
"ARG81"	"YML099C"	74398	77040	"ARGinine requiring"	""	"YML099C"	TRUE
"RPS6B"	"YBR181C"	591712	592774	"Ribosomal Protein of the Small subunit"	""	"YBR181C"	TRUE
"GIM3"	"YNL153C"	345669	346058	"Gene Involved in Microtubule biogenesis"	""	"YNL153C"	TRUE
"TOS3"	"YGL179C"	163409	165091	"Target Of Sbf"	""	"YGL179C"	TRUE
"YRM1"	"YOR172W"	654210	656570	"Yeast Reveromycin resistance Modulator"	""	"YOR172W"	TRUE
"GYP7"	"YDL234C"	34237	36477	"Gtpase-activating protein for Ypt7 Protein"	""	"YDL234C"	TRUE
